LinkID,HomeID,State,Visit,Type,Sample_Type_Code,SampleID,SampleID_Code,Start_Date,Temp,acFormaldehyde,acAcetaldehyde,acAcetone,acAcrolein,acPropionaldehyde,acCrotonaldehyde,acBenzaldehyde,acGlyoxal,acMethylglyoxal,acHexaldehyde,mdFormaldehyde,mdAcetaldehyde,mdAcetone,mdAcrolein,mdPropionaldehyde,mdCrotonaldehyde,mdBenzaldehyde,mdGlyoxal,mdMethylglyoxal,mdHexaldehyde,ccFormaldehyde,ccAcetaldehyde,ccAcetone,ccAcrolein,ccPropionaldehyde,ccCrotonaldehyde,ccBenzaldehyde,ccGlyoxal,ccMethylglyoxal,ccHexaldehyde,acButyraldehyde,acIsopentanal,acPentanal,aco_Toluladehyde,acm_p_Toluladehyde,acm_Toluladehyde,acp_Toluladehyde,acDimethylglyoxal,mdButyraldehyde,mdIsopentanal,mdPentanal,mdo_Toluladehyde,mdm_p_Toluladehyde,mdm_Toluladehyde,mdp_Toluladehyde,mdDimethylglyoxal,ccButyraldehyde,ccIsopentanal,ccPentanal,cco_Toluladehyde,ccm_p_Toluladehyde,ccm_Toluladehyde,ccp_Toluladehyde,ccDimethylglyoxal,acFormaldehyde_flag,acAcetaldehyde_flag,acAcetone_flag,acAcrolein_flag,acPropionaldehyde_flag,acCrotonaldehyde_flag,acBenzaldehyde_flag,acGlyoxal_flag,acMethylglyoxal_flag,acHexaldehyde_flag
CA042120,CA052,CA,1,OUTDOOR,2,51325,1,"2000-05-12 00:00:00",16.54,4.1461,2.8488,0.6502,NULL,0.7109,NULL,2.8443,0.0771,0.3012,NULL,0.467211,0.390842,0.997322,NULL,0.332529,NULL,0.57209,0.274405,0.400016,NULL,4.1461,2.8488,0.498661,NULL,0.7109,NULL,2.8443,0.137202,0.200008,NULL,0.64716,-0.106431,0.398386,-0.1121,-0.131573,NULL,NULL,-0.0465681,0.302,0.3616,0.376,0.6144,0.3185,NULL,NULL,0.5404,0.64716,0.1808,0.398386,0.3072,0.15925,NULL,NULL,0.2702,,,,NA,,NA,,<DL,,NA
CA042130,CA052,CA,1,"PERSONAL ADULT",3,65637,2,"2000-05-09 00:00:00",NULL,20.76,27.11,2.409,0.746,1.722,0.765,2.553,4.557,4.66,4.144,0.19,0.741,0.401,0.14,0.05,0.13,0.24,0.09,0.2,0.06,20.76,27.11,2.409,0.746,1.722,0.765,2.553,4.557,4.66,4.144,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,,<DL,<DL,,<DL,,,,
CA042132,CA052,CA,1,"REPEAT PERSONAL ADULT",3,51337,1,"2000-05-12 00:00:00",NULL,25.6845,14.1961,1.8961,NULL,2.9204,NULL,0.5443,0.2961,1.8145,NULL,0.803796,0.67241,1.71581,NULL,0.572086,NULL,0.984231,0.472089,0.688192,NULL,25.6845,14.1961,1.8961,NULL,2.9204,NULL,0.492116,0.236045,1.8145,NULL,1.35563,0.304986,2.73588,0.177911,-0.00637458,NULL,NULL,-0.0801163,0.3141,0.3761,0.391,0.6389,0.3312,NULL,NULL,0.562,1.35563,0.18805,2.73588,0.31945,0.1656,NULL,NULL,0.281,,,<DL,NA,,NA,<DL,<DL,,NA
CA043110,CA053,CA,1,INDOOR,1,65627,2,"2000-05-17 00:00:00",21.45,19.98,33.41,5.918,0.858,3.422,0.728,2.67,2.751,2.89,6.076,0.19,0.741,0.4,0.14,0.05,0.13,0.24,0.09,0.2,0.06,19.98,33.41,5.918,0.858,3.422,0.728,2.67,2.751,2.89,6.076,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,,,,,,,,,
CA043130,CA053,CA,1,"PERSONAL ADULT",3,65624,2,"2000-05-17 00:00:00",NULL,28.04,37.22,9.057,0.304,2.717,0.185,4.09,5.193,4.725,6.336,0.191,0.742,0.401,0.14,0.05,0.13,0.241,0.09,0.201,0.06,28.04,37.22,9.057,0.304,2.717,0.185,4.09,5.193,4.725,6.336,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,,,<DL,,<DL,,,,
CA043132,CA053,CA,1,"REPEAT PERSONAL ADULT",3,51335,1,"2000-05-19 00:00:00",NULL,35.8066,30.6699,26.9464,NULL,4.7005,NULL,3.0145,0.9135,2.9852,NULL,0.966041,0.808135,2.06214,NULL,0.687561,NULL,1.1829,0.56738,0.827102,NULL,35.8066,30.6699,26.9464,NULL,4.7005,NULL,3.0145,0.9135,2.9852,NULL,1.71186,0.963861,3.69332,-0.226466,0.0259471,NULL,NULL,0.0489428,0.3119,0.3734,0.3883,0.6344,0.3289,NULL,NULL,0.558,1.71186,0.963861,3.69332,0.3172,0.16445,NULL,NULL,0.279,,,,NA,,NA,,<DL,,NA
CA043210,CA253,CA,2,INDOOR,1,66733,2,"2000-11-08 00:00:00",20.22,21.59,14.89,7.792,0.475,1.805,1.148,3.777,1.988,1.988,2.279,0.191,0.745,0.403,0.141,0.05,0.131,0.242,0.091,0.201,0.06,21.59,14.89,7.792,0.475,1.805,1.148,3.777,1.988,1.988,2.279,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,,,,,,,,,
CA043211,CA253,CA,2,"DUPLICATE INDOOR",1,66772,2,"2000-11-08 00:00:00",20.22,13.95,27.87,7.101,0.558,1.155,0.867,2.736,1.599,0.923,1.607,0.191,0.745,0.403,0.141,0.05,0.131,0.242,0.091,0.201,0.06,13.95,27.87,7.101,0.558,1.155,0.867,2.736,1.599,0.923,1.607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,,,,,,,,,
CA043220,CA253,CA,2,OUTDOOR,2,66796,2,"2000-11-08 00:00:00",15.22,5.84,4.66,4.416,0.953,0.178,0.709,2.927,1.245,1.017,1.075,0.192,0.748,0.404,0.141,0.051,0.131,0.242,0.091,0.202,0.061,5.84,4.66,4.416,0.953,0.178,0.709,2.927,1.245,1.017,1.075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,,,,,,,,,
CA043230,CA253,CA,2,"PERSONAL ADULT",3,66765,2,"2000-11-08 00:00:00",NULL,15.67,13.54,5.627,0.307,2.128,0.595,3.159,1.661,1.661,3.088,0.191,0.745,0.403,0.141,0.05,0.131,0.242,0.091,0.201,0.06,15.67,13.54,5.627,0.307,2.128,0.595,3.159,1.661,1.661,3.088,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,,,<DL,,<DL,,,,
