LinkID,SampleID,HomeID,Type,PM25mass,Validity,Mass_mg,Volume_m3,comments,datestarted,dateended,PM25mass_flag
CA017110,10068,CA027,INDOOR,46.5,NULL,1.292,27.76,"","1999-11-03 00:00:00","1999-11-05 00:00:00",
CA017120,10069,CA027,OUTDOOR,94.9,NULL,2.6985,28.45,"","1999-11-03 00:00:00","1999-11-05 00:00:00",
CA017130,20131,CA027,"PERSONAL ADULT",87.6,NULL,0.799,9.118,"","1999-11-03 00:00:00","1999-11-05 00:00:00",
CA018110,10191,CA028,INDOOR,14.8,NULL,0.415,28.06,"","1999-11-08 00:00:00","1999-11-10 00:00:00",
CA018120,10190,CA028,OUTDOOR,13.9,NULL,0.3945,28.31,"","1999-11-08 00:00:00","1999-11-10 00:00:00",
CA018130,20133,CA028,"PERSONAL ADULT",24.2,0,0.211,8.713,"BGI flow change 17%","1999-11-08 00:00:00","1999-11-10 00:00:00",
CA019110,10196,CA029,INDOOR,23.1,NULL,0.6425,27.87,"","1999-11-10 00:00:00","1999-11-12 00:00:00",
CA019120,10197,CA029,OUTDOOR,24,NULL,0.685,28.49,"","1999-11-10 00:00:00","1999-11-12 00:00:00",
CA019130,20128,CA029,"PERSONAL ADULT",36.2,NULL,0.319,8.807,"","1999-11-10 00:00:00","1999-11-12 00:00:00",
CA020110,10213,CA030,INDOOR,10.9,NULL,0.303,27.78,"","1999-12-13 00:00:00","1999-12-15 00:00:00",
CA020120,10212,CA030,OUTDOOR,28.8,NULL,0.8245,28.59,"","1999-12-13 00:00:00","1999-12-15 00:00:00",
CA020130,20144,CA030,"PERSONAL ADULT",24.6,NULL,0.2255,9.17,"","1999-12-13 00:00:00","1999-12-15 00:00:00",
CA021110,10237,CA031,INDOOR,14.6,NULL,0.4155,28.49,"","2000-01-17 00:00:00","2000-01-19 00:00:00",
CA021120,10238,CA031,OUTDOOR,10.7,NULL,0.307,28.69,"","2000-01-17 00:00:00","2000-01-19 00:00:00",
CA021130,20164,CA031,"PERSONAL ADULT",18.2,NULL,0.17,9.32,"","2000-01-17 00:00:00","2000-01-19 00:00:00",
CA022110,10286,CA032,INDOOR,20.3,NULL,0.563,27.68,"","2000-01-24 00:00:00","2000-01-26 00:00:00",
CA022120,10287,CA032,OUTDOOR,6.1,NULL,0.1745,28.56,"","2000-01-24 00:00:00","2000-01-26 00:00:00",
CA022130,20212,CA032,"PERSONAL ADULT",60.1,NULL,0.538,8.95,"","2000-01-24 00:00:00","2000-01-26 00:00:00",
CA023110,10290,CA033,INDOOR,9.7,NULL,0.267,27.48,"","2000-02-02 00:00:00","2000-02-04 00:00:00",
CA023120,10292,CA033,OUTDOOR,9.6,NULL,0.275,28.53,"","2000-02-02 00:00:00","2000-02-04 00:00:00",
CA023130,20214,CA033,"PERSONAL ADULT",20.3,0,0.185,9.12,"""due to broken o-ring, bad seal""","2000-02-02 00:00:00","2000-02-04 00:00:00",
CA024110,10325,CA034,INDOOR,5.1,NULL,0.1425,27.7395,"","2000-02-09 00:00:00","2000-02-11 00:00:00",
CA024120,10326,CA034,OUTDOOR,6.5,NULL,0.185,28.58,"","2000-02-09 00:00:00","2000-02-11 00:00:00",
CA024130,20241,CA034,"PERSONAL ADULT",17.7,NULL,0.1585,8.9492,"","2000-02-09 00:00:00","2000-02-11 00:00:00",
CA025110,10329,CA035,INDOOR,28.6,0,0.6135,21.42,"subject unplugged pump after only 35 hours.","2000-02-14 00:00:00","2000-02-16 00:00:00",
CA025120,10334,CA035,OUTDOOR,11.9,NULL,0.347,29.07,"","2000-02-14 00:00:00","2000-02-16 00:00:00",
CA025130,20245,CA035,"PERSONAL ADULT",26.1,NULL,0.241,9.23,"","2000-02-14 00:00:00","2000-02-16 00:00:00",
CA026130,20243,CA036,"PERSONAL ADULT",19.4,NULL,0.1785,9.22,"","2000-02-16 00:00:00","2000-02-18 00:00:00",
CA027110,10333,CA037,INDOOR,3.8,NULL,0.104,27.43,"","2000-02-21 00:00:00","2000-02-23 00:00:00",
CA027120,10399,CA037,OUTDOOR,7.8,NULL,0.231,29.49,"","2000-02-21 00:00:00","2000-02-23 00:00:00",
CA027130,20286,CA037,"PERSONAL ADULT",16.1,NULL,0.151,9.37,"","2000-02-21 00:00:00","2000-02-23 00:00:00",
CA028110,10398,CA038,INDOOR,10.1,NULL,0.2785,27.61,"","2000-02-28 00:00:00","2000-03-01 00:00:00",
CA028120,10397,CA038,OUTDOOR,6,NULL,0.17,28.47,"","2000-02-28 00:00:00","2000-03-01 00:00:00",
CA028130,20291,CA038,"PERSONAL ADULT",15.2,NULL,0.138,9.06,"","2000-02-28 00:00:00","2000-03-01 00:00:00",
CA029110,10428,CA039,INDOOR,5.4,NULL,0.151,27.8,"","2000-03-08 00:00:00","2000-03-10 00:00:00",
CA029120,10429,CA039,OUTDOOR,6.5,NULL,0.1785,27.37,"","2000-03-08 00:00:00","2000-03-10 00:00:00",
CA029130,20314,CA039,"PERSONAL ADULT",31.7,NULL,0.2735,8.63,"","2000-03-08 00:00:00","2000-03-10 00:00:00",
CA030110,10431,CA040,INDOOR,5.8,NULL,0.1545,26.5,"11% flow change","2000-03-13 00:00:00","2000-03-15 00:00:00",
CA030120,10430,CA040,OUTDOOR,10.2,NULL,0.274,26.89,"","2000-03-13 00:00:00","2000-03-15 00:00:00",
CA030130,20308,CA040,"PERSONAL ADULT",13.7,NULL,0.12,8.741,"","2000-03-13 00:00:00","2000-03-15 00:00:00",
CA031110,10454,CA041,INDOOR,13.3,NULL,0.3645,27.39,"","2000-03-15 00:00:00","2000-03-17 00:00:00",
CA031120,10453,CA041,OUTDOOR,12.4,NULL,0.334,27.024,"","2000-03-15 00:00:00","2000-03-17 00:00:00",
CA031130,20324,CA041,"PERSONAL ADULT",51.8,NULL,0.484,9.341,"","2000-03-15 00:00:00","2000-03-17 00:00:00",
CA032110,10495,CA042,INDOOR,4,NULL,0.113,28.51,"","2000-04-10 00:00:00","2000-04-12 00:00:00",
CA032120,10494,CA042,OUTDOOR,11,NULL,0.314,28.46,"","2000-04-10 00:00:00","2000-04-12 00:00:00",
CA032130,20345,CA042,"PERSONAL ADULT",70.7,NULL,0.43,6.086,"","2000-04-10 00:00:00","2000-04-12 00:00:00",
CA033110,10489,CA043,INDOOR,8.6,NULL,0.2445,28.27,"","2000-04-12 00:00:00","2000-04-14 00:00:00",
CA033120,10488,CA043,OUTDOOR,9.3,NULL,0.2705,29.06,"","2000-04-12 00:00:00","2000-04-14 00:00:00",
CA033130,20354,CA043,"PERSONAL ADULT",8,0,0.0735,9.22,"""BGI PAMS head became disconnected from the pump, subject thinks it happened abo","2000-04-12 00:00:00","2000-04-14 00:00:00",
CA034110,10525,CA044,INDOOR,17,0,0.4695,27.665,"Rotameter was broken at set up; so lfow rate not verigied assumed removed as set","2000-04-17 00:00:00","2000-04-19 00:00:00",
CA034120,10526,CA044,OUTDOOR,3.3,0,0.092,28.01,"Rotameter was broken at set up;so lfow rate not verigied assumed removed as set","2000-04-17 00:00:00","2000-04-19 00:00:00",
CA034130,20379,CA044,"PERSONAL ADULT",37.9,NULL,0.322,8.487,"14.4% flow change","2000-04-17 00:00:00","2000-04-19 00:00:00",
CA035110,10493,CA045,INDOOR,5.6,NULL,0.1515,27.04,"","2000-04-17 00:00:00","2000-04-19 00:00:00",
CA035120,10492,CA045,OUTDOOR,6,NULL,0.163,26.96,"","2000-04-17 00:00:00","2000-04-19 00:00:00",
CA036110,10529,CA046,INDOOR,66.4,NULL,1.877,28.25,"","2000-04-19 00:00:00","2000-04-21 00:00:00",
CA036120,10528,CA046,OUTDOOR,13.2,NULL,0.3805,28.7844,"","2000-04-19 00:00:00","2000-04-21 00:00:00",
CA036130,20353,CA046,"PERSONAL ADULT",40.2,NULL,0.356,8.849,"","2000-04-19 00:00:00","2000-04-21 00:00:00",
CA037110,10531,CA047,INDOOR,11.5,0,0.278,24.12,"Power outage from 9am-2pm 4/25/00 on all Walnut and Chestnut Streets north of 13","2000-04-24 00:00:00","2000-04-26 00:00:00",
CA037120,10532,CA047,OUTDOOR,10.9,NULL,0.256,23.54,"12% flow change","2000-04-24 00:00:00","2000-04-26 00:00:00",
CA037130,20374,CA047,"PERSONAL ADULT",35.6,NULL,0.329,9.24,"","2000-04-24 00:00:00","2000-04-26 00:00:00",
CA038110,10521,CA048,INDOOR,16.6,NULL,0.4555,27.48,"","2000-05-01 00:00:00","2000-05-03 00:00:00",
CA038120,10522,CA048,OUTDOOR,12.1,NULL,0.3355,27.66,"","2000-05-01 00:00:00","2000-05-03 00:00:00",
CA038130,20373,CA048,"PERSONAL ADULT",26.7,NULL,0.2425,9.08,"","2000-05-01 00:00:00","2000-05-03 00:00:00",
CA039110,10536,CA049,INDOOR,20.8,NULL,0.5805,27.9,"","2000-04-26 00:00:00","2000-04-28 00:00:00",
CA039120,10535,CA049,OUTDOOR,26.3,NULL,0.7675,29.16,"","2000-04-26 00:00:00","2000-04-28 00:00:00",
CA039130,20377,CA049,"PERSONAL ADULT",34.7,NULL,0.3125,9.01,"","2000-04-26 00:00:00","2000-04-28 00:00:00",
CA040110,10519,CA050,INDOOR,26.2,NULL,0.743,28.37,"","2000-05-03 00:00:00","2000-05-05 00:00:00",
CA040120,10518,CA050,OUTDOOR,32,NULL,0.926,28.96,"","2000-05-03 00:00:00","2000-05-05 00:00:00",
CA040130,20368,CA050,"PERSONAL ADULT",21.8,NULL,0.187,8.57,"","2000-05-03 00:00:00","2000-05-05 00:00:00",
CA041110,10576,CA051,INDOOR,12.3,NULL,0.345,28.08,"","2000-05-08 00:00:00","2000-05-10 00:00:00",
CA041120,10575,CA051,OUTDOOR,11.7,NULL,0.3345,28.49,"","2000-05-08 00:00:00","2000-05-10 00:00:00",
CA041130,20370,CA051,"PERSONAL ADULT",31.4,NULL,0.2825,8.991,"","2000-05-08 00:00:00","2000-05-10 00:00:00",
CA042110,10580,CA052,INDOOR,13.9,0,0.401,28.95,"Filter fell from Teflon sheet to the floor","2000-05-09 00:00:00","2000-05-11 00:00:00",
CA042120,10579,CA052,OUTDOOR,10.6,NULL,0.298,28.11,"","2000-05-09 00:00:00","2000-05-11 00:00:00",
CA042130,20416,CA052,"PERSONAL ADULT",15.3,NULL,0.137,8.944,"","2000-05-09 00:00:00","2000-05-11 00:00:00",
CA043110,10591,CA053,INDOOR,12.3,NULL,0.354,28.88,"","2000-05-16 00:00:00","2000-05-18 00:00:00",
CA043120,10592,CA053,OUTDOOR,11.9,NULL,0.3355,28.18,"","2000-05-16 00:00:00","2000-05-18 00:00:00",
CA043130,20412,CA053,"PERSONAL ADULT",15.5,NULL,0.139,8.971,"","2000-05-16 00:00:00","2000-05-18 00:00:00",
CA044130,20414,CA054,"PERSONAL ADULT",36.5,NULL,0.332,9.097,"","2000-05-17 00:00:00","2000-05-19 00:00:00",
CA045110,10581,CA055,INDOOR,32.5,0,0.445,13.68,"Pump believed to have been unplugged by child and then replugged later. Counter","2000-05-22 00:00:00","2000-05-24 00:00:00",
CA045130,20410,CA055,"PERSONAL ADULT",30.6,NULL,0.2785,9.09,"","2000-05-22 00:00:00","2000-05-24 00:00:00",
CA046110,10589,CA056,INDOOR,13.2,NULL,0.379,28.8,"","2000-05-24 00:00:00","2000-05-26 00:00:00",
CA046120,10588,CA056,OUTDOOR,21,NULL,0.5975,28.42,"","2000-05-24 00:00:00","2000-05-26 00:00:00",
CA046130,20409,CA056,"PERSONAL ADULT",18.3,NULL,0.162,8.85,"","2000-05-24 00:00:00","2000-05-26 00:00:00",
CA047110,10619,CA057,INDOOR,22.4,NULL,0.618,27.59,"","2000-05-30 00:00:00","2000-06-01 00:00:00",
CA047120,10620,CA057,OUTDOOR,17.3,NULL,0.4855,28.12,"","2000-05-30 00:00:00","2000-06-01 00:00:00",
CA047130,20429,CA057,"PERSONAL ADULT",27.4,NULL,0.251,9.16,"","2000-05-30 00:00:00","2000-06-01 00:00:00",
CA048110,10618,CA058,INDOOR,18.1,NULL,0.529,29.3,"","2000-06-12 00:00:00","2000-06-14 00:00:00",
CA048120,10617,CA058,OUTDOOR,19.2,NULL,0.559,29.11,"","2000-06-12 00:00:00","2000-06-14 00:00:00",
CA048130,20435,CA058,"PERSONAL ADULT",25.4,NULL,0.226,8.899,"","2000-06-12 00:00:00","2000-06-14 00:00:00",
CA049110,10625,CA059,INDOOR,7.9,NULL,0.22,28,"","2000-06-12 00:00:00","2000-06-14 00:00:00",
CA049120,10626,CA059,OUTDOOR,13.9,NULL,0.395,28.39,"","2000-06-12 00:00:00","2000-06-14 00:00:00",
CA049130,20433,CA059,"PERSONAL ADULT",18.9,NULL,0.1775,9.4,"","2000-06-12 00:00:00","2000-06-14 00:00:00",
CA050110,10629,CA060,INDOOR,21.8,NULL,0.557,25.55,"","2000-06-14 00:00:00","2000-06-16 00:00:00",
CA050120,10630,CA060,OUTDOOR,19.6,NULL,0.5285,26.91,"","2000-06-14 00:00:00","2000-06-16 00:00:00",
CA050130,20431,CA060,"PERSONAL ADULT",24.8,0,0.1905,7.68,"BGI flow change 19.7 %","2000-06-14 00:00:00","2000-06-16 00:00:00",
CA051110,10695,CA061,INDOOR,16.7,NULL,0.454,27.26,"Harvard indoor flow change 10%","2000-06-26 00:00:00","2000-06-28 00:00:00",
CA051120,10696,CA061,OUTDOOR,18.2,NULL,0.517,28.39,"","2000-06-26 00:00:00","2000-06-28 00:00:00",
CA051130,20487,CA061,"PERSONAL ADULT",27.4,NULL,0.2355,8.58,"BGI flow change 14%","2000-06-26 00:00:00","2000-06-28 00:00:00",
CA052110,10697,CA062,INDOOR,20,NULL,0.57,28.5,"","2000-06-26 00:00:00","2000-06-28 00:00:00",
CA052120,10698,CA062,OUTDOOR,19.3,NULL,0.546,28.22,"","2000-06-26 00:00:00","2000-06-28 00:00:00",
CA052130,20485,CA062,"PERSONAL ADULT",16.7,NULL,0.1565,9.393,"","2000-06-26 00:00:00","2000-06-28 00:00:00",
CA053110,10710,CA063,INDOOR,12.8,NULL,0.3685,28.8,"","2000-07-12 00:00:00","2000-07-14 00:00:00",
CA053120,10712,CA063,OUTDOOR,12.7,NULL,0.3545,27.82,"","2000-07-12 00:00:00","2000-07-14 00:00:00",
CA053130,20494,CA063,"PERSONAL ADULT",40.3,NULL,0.354,8.778,"","2000-07-12 00:00:00","2000-07-14 00:00:00",
CA054110,10720,CA064,INDOOR,12.5,NULL,0.3335,26.74,"","2000-07-12 00:00:00","2000-07-14 00:00:00",
CA054120,10721,CA064,OUTDOOR,12.8,NULL,0.3315,25.99,"Harvard outdoor flow change 10%","2000-07-12 00:00:00","2000-07-14 00:00:00",
CA054130,20492,CA064,"PERSONAL ADULT",25.3,NULL,0.222,8.769,"","2000-07-12 00:00:00","2000-07-14 00:00:00",
CA055110,10708,CA065,INDOOR,14.8,NULL,0.341,23.1,"","2000-07-05 00:00:00","2000-07-07 00:00:00",
CA055120,10707,CA065,OUTDOOR,15,NULL,0.347,23.16,"","2000-07-05 00:00:00","2000-07-07 00:00:00",
CA055130,20489,CA065,"PERSONAL ADULT",14.6,NULL,0.109,7.477,"","2000-07-05 00:00:00","2000-07-07 00:00:00",
CA056110,10762,CA066,INDOOR,18.8,NULL,0.542,28.87,"","2000-08-02 00:00:00","2000-08-04 00:00:00",
CA056120,10763,CA066,OUTDOOR,19,NULL,0.543,28.59,"","2000-08-02 00:00:00","2000-08-04 00:00:00",
CA056130,20520,CA066,"PERSONAL ADULT",19,NULL,0.1675,8.839,"","2000-08-02 00:00:00","2000-08-04 00:00:00",
CA057110,10714,CA067,INDOOR,18.4,NULL,0.519,28.1456,"","2000-07-19 00:00:00","2000-07-21 00:00:00",
CA057120,10713,CA067,OUTDOOR,13.5,NULL,0.3805,28.2654,"","2000-07-19 00:00:00","2000-07-21 00:00:00",
CA057130,20495,CA067,"PERSONAL ADULT",72.8,NULL,0.647,8.88347,"","2000-07-19 00:00:00","2000-07-21 00:00:00",
CA058110,10716,CA068,INDOOR,14.6,NULL,0.4035,27.66,"","2000-07-17 00:00:00","2000-07-19 00:00:00",
CA058120,10717,CA068,OUTDOOR,17,NULL,0.466,27.46,"Harvard outdoor flow change 10%","2000-07-17 00:00:00","2000-07-19 00:00:00",
CA058130,20499,CA068,"PERSONAL ADULT",110.7,0,0.5275,4.765,"BGI PAMS was off upon arrival at home for takedown. Battery power seems to have","2000-07-17 00:00:00","2000-07-19 00:00:00",
CA059110,10760,CA069,INDOOR,15.6,NULL,0.4425,28.44,"","2000-07-26 00:00:00","2000-07-28 00:00:00",
CA059120,10759,CA069,OUTDOOR,13.4,NULL,0.3825,28.61,"","2000-07-26 00:00:00","2000-07-28 00:00:00",
CA059130,20516,CA069,"PERSONAL ADULT",57.5,0,0.4705,8.187,"BGI pump wasn't running when taking down.Counter indicates 42.7 hrs of collectio","2000-07-26 00:00:00","2000-07-28 00:00:00",
CA060110,10743,CA070,INDOOR,13.9,NULL,0.4045,29.05,"","2000-07-24 00:00:00","2000-07-26 00:00:00",
CA060120,10742,CA070,OUTDOOR,16.1,NULL,0.4625,28.77,"","2000-07-24 00:00:00","2000-07-26 00:00:00",
CA060130,20497,CA070,"PERSONAL ADULT",22.8,NULL,0.207,9.098,"","2000-07-24 00:00:00","2000-07-26 00:00:00",
CA061110,10795,CA071,INDOOR,17.2,NULL,0.4895,28.53,"","2000-08-07 00:00:00","2000-08-09 00:00:00",
CA061120,10794,CA071,OUTDOOR,22.8,NULL,0.6465,28.36,"","2000-08-07 00:00:00","2000-08-09 00:00:00",
CA062110,10839,CA072,INDOOR,10.3,NULL,0.286,27.85,"","2000-08-29 00:00:00","2000-08-31 00:00:00",
CA062120,10840,CA072,OUTDOOR,9.5,NULL,0.2675,28.04,"","2000-08-29 00:00:00","2000-08-31 00:00:00",
CA062130,20553,CA072,"PERSONAL ADULT",22.6,NULL,0.196,8.667,"","2000-08-29 00:00:00","2000-08-31 00:00:00",
CA063110,10917,CA073,INDOOR,33.3,NULL,0.968,29.03,"","2000-09-18 00:00:00","2000-09-20 00:00:00",
CA063120,10916,CA073,OUTDOOR,37.4,NULL,1.09,29.12,"","2000-09-18 00:00:00","2000-09-20 00:00:00",
CA063130,20626,CA073,"PERSONAL ADULT",40,NULL,0.373,9.321,"","2000-09-18 00:00:00","2000-09-20 00:00:00",
CA065110,10758,CA075,INDOOR,27.9,NULL,0.7585,27.22,"","2000-07-19 00:00:00","2000-07-21 00:00:00",
CA065120,10756,CA075,OUTDOOR,20.5,NULL,0.5475,26.7,"","2000-07-19 00:00:00","2000-07-21 00:00:00",
CA065130,20517,CA075,"PERSONAL ADULT",44.7,NULL,0.384,8.6,"","2000-07-19 00:00:00","2000-07-21 00:00:00",
CA066110,10754,CA076,INDOOR,16.1,NULL,0.433,26.83,"","2000-07-26 00:00:00","2000-07-28 00:00:00",
CA066120,10746,CA076,OUTDOOR,23.6,NULL,0.6315,26.81,"","2000-07-26 00:00:00","1900-07-28 00:00:00",
CA067110,10806,CA077,INDOOR,18.1,NULL,0.3345,18.52,"","2000-07-31 00:00:00","2000-08-01 00:00:00",
CA067120,10807,CA077,OUTDOOR,23.8,0,0.437,18.34,"16 % flow change","2000-07-31 00:00:00","2000-08-01 00:00:00",
CA068110,10800,CA078,INDOOR,18,NULL,0.518,28.74,"","2000-08-14 00:00:00","2000-08-16 00:00:00",
CA068120,10804,CA078,OUTDOOR,25.9,NULL,0.7365,28.4,"","2000-08-14 00:00:00","2000-08-16 00:00:00",
CA068130,20559,CA078,"PERSONAL ADULT",20.5,0,0.162,7.916,"BGI small hole near edge (S reported in mass dbase)","2000-08-14 00:00:00","2000-08-16 00:00:00",
CA069110,10843,CA079,INDOOR,12.4,NULL,0.353,28.55,"","2000-09-05 00:00:00","2000-09-07 00:00:00",
CA069120,10842,CA079,OUTDOOR,16.3,NULL,0.4435,27.15,"Harvard outdoor flow change 10%","2000-09-05 00:00:00","2000-09-07 00:00:00",
CA069130,20574,CA079,"PERSONAL ADULT",30.6,NULL,0.2705,8.83,"","2000-09-05 00:00:00","2000-09-07 00:00:00",
CA070110,10902,CA080,INDOOR,13.3,NULL,0.361,27.0648,"11% flow change","2000-09-11 00:00:00","2000-09-13 00:00:00",
CA070120,10903,CA080,OUTDOOR,14.1,NULL,0.381,27.025,"12% flow change","2000-09-11 00:00:00","2000-09-13 00:00:00",
CA070130,20581,CA080,"PERSONAL ADULT",33.5,NULL,0.297,8.8588,"","2000-09-11 00:00:00","2000-09-13 00:00:00",
CA071110,10935,CA081,INDOOR,12.8,NULL,0.3375,26.41,"","2000-09-20 00:00:00","2000-09-22 00:00:00",
CA071120,10936,CA081,OUTDOOR,19.2,NULL,0.509,26.54,"","2000-09-20 00:00:00","2000-09-22 00:00:00",
CA071130,20621,CA081,"PERSONAL ADULT",30.8,NULL,0.2785,9.04,"","2000-09-20 00:00:00","2000-09-22 00:00:00",
CA072110,10914,CA082,INDOOR,14,NULL,0.392,28.1,"","2000-09-18 00:00:00","2000-09-20 00:00:00",
CA072120,10915,CA082,OUTDOOR,45.1,NULL,1.251,27.73,"","2000-09-18 00:00:00","2000-09-20 00:00:00",
CA072130,20583,CA082,"PERSONAL ADULT",18.4,NULL,0.1685,9.18,"","2000-09-18 00:00:00","2000-09-20 00:00:00",
CA073110,10911,CA083,INDOOR,10.1,NULL,0.28,27.7398,"","2000-09-20 00:00:00","2000-09-22 00:00:00",
