LinkID,SampleID,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Arsenic,Se,Br,Rb,Sr,Y,Zr,Mo,Pd,Ag,Cd,Indium,Sn,Sb,Ba,La,Hg,Pb,datestarted,dateended,Al_flag,Si_flag,P_flag,S_flag,Cl_flag,K_flag,Ca_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Fe_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,Ga_flag,Ge_flag,Arsenic_flag,Se_flag,Br_flag,Rb_flag,Sr_flag,Y_flag,Zr_flag,Mo_flag,Pd_flag,Ag_flag,Cd_flag,Indium_flag,Sn_flag,Sb_flag,Ba_flag,La_flag,Hg_flag,Pb_flag
NJ034110,10444,0.0554514,0.170347,0,0.750347,0.0120312,0.0447222,0.0646181,0.00660069,0.00462847,0.00245139,0.00320833,0.0776042,0.000114583,0.00446875,0.00394097,0.0312813,0.000434028,0,0.000548611,0.00167361,0.00366667,0,0.000503472,0,0.00187847,0.000777778,0,0.00190278,0,0.000413194,0.00403472,0.00281944,0.00591319,0.0126944,0,0.00469792,"2000-03-15 00:00:00","2000-03-17 00:00:00",,,ND,,<DL,,,,,,,,<DL,,<DL,,<DL,ND,,,,ND,,ND,,<DL,ND,<DL,ND,<DL,<DL,<DL,<DL,,ND,
NJ034120,10445,0.0462226,0.13707,0,0.993883,2.28179e-05,0.04368,0.0389534,0.00733759,0.00694968,0.000515033,0.00331186,0.0888269,0.000280334,0.00514055,0.00408767,0.0478524,0.000192322,0,0.00212859,0.0026045,0.00365739,0,0.000472657,0,0.000407463,0,0,0.000453099,0,0,0.00501342,0.00395728,0.0147795,0.00690731,0,0.00361501,"2000-03-15 00:00:00","2000-03-17 00:00:00",,,ND,,<DL,,,,,,,,<DL,,,,<DL,ND,,,,ND,,ND,<DL,ND,ND,<DL,ND,ND,<DL,,<DL,<DL,ND,
NJ036120,10451,0.0222085,0.155152,0,0.880028,0.000954117,0.0478504,0.0396464,0.00336471,0.00119265,0.00152514,0.00293463,0.210773,0,0.00119265,0.00295632,0.0133576,0.000119265,0.000238529,0.000285512,0.000668604,0.00329243,7.22816e-05,0.000404777,0.000332495,4.6983e-05,0,0.000502357,0,0.000740886,0,0.00145647,0.000332495,0.024236,0.00987366,0.000191546,0.00493683,"2000-04-05 00:00:00","2000-04-07 00:00:00",,,ND,,<DL,,,,,,,,ND,<DL,<DL,,<DL,<DL,<DL,,,<DL,,<DL,<DL,ND,<DL,ND,<DL,ND,<DL,<DL,,,<DL,
NJ036110,10452,0.00675072,0.107683,0,0.585365,0.0601072,0.192923,0.0436668,0.00417121,0.00112745,0.000806317,0.0015882,0.0816788,0,0.000691128,0.00225838,0.00792354,0.000139622,0,0,0.000691128,0.00304027,0,0,0,0.000369998,2.44338e-05,0,0.000369998,0,0,0.00506828,0.000530563,0.0142833,0.00792354,0,0.0028797,"2000-04-05 00:00:00","2000-04-07 00:00:00",,,ND,,,,,,,,,,ND,<DL,<DL,,<DL,ND,ND,,,ND,ND,ND,<DL,<DL,ND,<DL,ND,ND,<DL,<DL,<DL,<DL,ND,
CA031120,10453,0.0527309,0.252035,0,0.645352,0.0196862,0.0884029,0.125518,0.00955077,0,0.000610568,0.0026384,0.164372,0,0.000636471,0.00229426,0.00967288,0.000218324,9.62108e-05,0.000584665,0.000440349,0.00253848,0,0.00112493,0,0.000122114,0,0.000244227,0,0,0,0.00822972,0.0044442,0.0196862,0.00588736,7.40083e-05,0.00239417,"2000-03-15 00:00:00","2000-03-17 00:00:00",,,ND,,<DL,,,,ND,,,,ND,<DL,<DL,,<DL,<DL,,,,ND,,ND,<DL,ND,<DL,ND,ND,ND,,,<DL,<DL,<DL,
CA031110,10454,0.0159036,0.147609,0,0.481563,0.0304089,0.0526469,0.088828,0.00462578,0,0.000335889,0.00161373,0.0776926,0,0.000146039,0.0050858,0.00686747,0.000240964,0.00052939,0.00052939,0.000266521,0.00286601,0,0.000167945,0,4.74626e-05,0,0,0.00129974,0.000576853,4.74626e-05,0.00460387,0.00257758,0.0189412,0,0.000554947,0.00163928,"2000-03-15 00:00:00","2000-03-17 00:00:00",,,ND,,,,,,ND,,,,ND,<DL,,,<DL,<DL,,<DL,,ND,<DL,ND,<DL,ND,ND,<DL,<DL,<DL,<DL,<DL,<DL,ND,<DL,
CA012210,10455,0.0345292,0.207668,0,0.472183,0.0335164,0.0630884,0.464693,0.010403,0.00305991,0.000424394,0.00218973,0.111448,0,0.00120185,0.00609486,0.0113695,0,0,0.000353067,0.000470756,0.00291726,0.000117689,0.00221113,0.000328103,0.00183666,0,0.00160128,0,0.00108416,0.000117689,0.00371969,0.00256419,0.0143331,0,0,0.00444722,"2000-03-21 00:00:00","2000-03-23 00:00:00",,,ND,,,,,,,,,,ND,<DL,,,ND,ND,<DL,,,<DL,,<DL,,ND,,ND,<DL,<DL,<DL,<DL,<DL,ND,ND,
CA012220,10456,0.0398609,0.189148,0,0.321843,0.0175861,0.0713044,0.0868522,0.0103548,0.00436174,0.000184348,0.00257043,0.147096,0,0.0016313,0.00537043,0.0130157,0,0.000114783,0.00016,0.00133217,0.00376348,0,0.00149217,0.000229565,0.000253913,0,0,0.000344348,9.04348e-05,0.000688696,0.00473044,0.00158261,0.0164835,0,0,0.0049113,"2000-03-21 00:00:00","2000-03-23 00:00:00",,,ND,,<DL,,,,,<DL,,,ND,<DL,,,ND,<DL,<DL,,,ND,,<DL,<DL,ND,ND,<DL,<DL,<DL,<DL,<DL,<DL,ND,ND,
CA017220,10459,0.239088,0.610452,0,0.239088,0.0281231,0.125247,0.219684,0.0207597,0.00232058,0.000663534,0.00553782,0.254008,0,0.000921775,0.00385926,0.00795524,0.000261827,0,0,0.000401707,0.00222374,0.000520067,0.00350418,0.000380187,0.000663534,0,0,0.000308454,0,0.000685054,0.002959,0.00139522,0.0171156,0.00662817,0.000308454,0.00343244,"2000-03-20 00:00:00","2000-03-22 00:00:00",,,ND,,,,,,,,,,ND,<DL,<DL,,<DL,ND,ND,,,,,<DL,,ND,ND,<DL,ND,<DL,<DL,<DL,<DL,<DL,<DL,
CA017210,10460,0.125219,0.322783,0,0.169426,0.0348501,0.0695738,0.11736,0.00817484,0.00118237,0.000277173,0.00275418,0.121956,0,0.000624515,0.00286996,0.00419267,0.000301732,0.000256121,0.000185951,0.000185951,0.00145954,0.000140341,0.00155076,0,4.56107e-05,0.000554345,0,0.000554345,0.000185951,0,0.00539609,0.00136481,0.0202617,0,0.000322783,0.0016911,"2000-03-20 00:00:00","2000-03-22 00:00:00",,,ND,,,,,,,<DL,,,ND,<DL,<DL,,<DL,<DL,<DL,<DL,,<DL,,ND,<DL,<DL,ND,<DL,<DL,ND,<DL,<DL,,ND,<DL,
