LinkID,HomeID,PufID,Sampling_Date,State,Type,Extraction_Date,GC_MS_Date,Volume_air,Lab_Blank,NAP,ACY,ACE,FLR,1MFL,DBT,PHE,ANT,2MA,1MA,1MP,9MA,4_5MP,3_6DMP,9_10DMA,FLT,PYR,BaFLR,RET,BbFLR,BNT,CPP,BaA,CHR_TRI,BFLTs,BeP,BaP,PER,IP,DBA,BghiP,COR,oxyCD,tCD,cCD,MC5,tNC,cNC,SurrRcv_ACEd10,SurrRcv_ANTd10,SurrRcv_FLTd10,SurrRcv_BePd12,comments,DBT_flag,PHE_flag,ANT_flag,2MA_flag,1MA_flag,1MP_flag,9MA_flag,4_5MP_flag,3_6DMP_flag,9_10DMA_flag,FLT_flag,PYR_flag,BaFLR_flag,RET_flag,BbFLR_flag,BNT_flag,CPP_flag,BaA_flag,CHR_TRI_flag,BFLTs_flag,BeP_flag,BaP_flag,PER_flag,IP_flag,DBA_flag,BghiP_flag,COR_flag,oxyCD_flag,tCD_flag,cCD_flag,MC5_flag,tNC_flag,cNC_flag,NAP_flag,ACY_flag,ACE_flag,FLR_flag,1MFL_flag
NJ099120,NJ199,41311,"2000-12-05 00:00:00",NJ,OUTDOOR,"2001-08-07 00:00:00","2001-09-05 00:00:00",27.934,LBP08071,NULL,NULL,NULL,NULL,NULL,0.478176,8.6354,0.36605,0.0492928,0.72126,0.662391,0.00413556,0.541194,0.155153,0.0032949,0.748941,0.539499,0.00249356,0.0112605,0.0009287,0.0007864,0.00050595,0.0003772,0.0009784,0.00662295,0.00093085,0.0015474,0.00105585,0.0015437,0.00101445,0.00090615,0.0022927,0.0025365,0.00339767,0.00370453,0.00045885,0.00253421,0.00205893,0.901207,0.898706,0.935494,0.906528,"",,,,,,,,,,<DL,,,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,<DL,,,,,,,
NJ099210,NJ299,41293,"2001-02-06 00:00:00",NJ,INDOOR,"2001-12-03 00:00:00","2002-04-06 00:00:00",27.5452,LBP12031,NULL,NULL,NULL,NULL,NULL,2.96924,23.7479,1.02976,0.709308,3.94808,1.59564,0.146703,1.34532,1.11983,0.0032949,4.93432,4.10592,0.331436,1.30019,0.190421,0.0007864,0.00198929,0.0647331,0.0155261,0.00662295,0.00093085,0.0015474,0.00105585,0.0015437,0.00101445,0.00090615,0.0022927,0.0183093,0.329838,0.203758,0.00214499,0.101158,0.0023223,1.06958,0.933406,0.769248,0.499777,"",,,,,,,,,,<DL,,,,,,<DL,,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,,
NJ099220,NJ299,41294,"2001-02-06 00:00:00",NJ,OUTDOOR,"2001-12-03 00:00:00","2002-04-06 00:00:00",28.4016,LBP12031,NULL,NULL,NULL,NULL,NULL,0.747978,13.1592,0.882112,0.0366242,1.65958,0.734015,0.0476944,0.64356,0.362813,0.00870718,1.67579,1.67534,0.0448414,0.0813667,0.0314504,0.0007864,0.00371745,0.00525857,0.0009784,0.0417691,0.0196657,0.0218063,0.0143554,0.0186616,0.0220802,0.012656,0.0344488,0.0303065,0.00347598,0.00375085,0.00361342,0.00354311,0.004498,0.944448,0.837836,0.7767,0.359295,"",,,,,,,,,,,,,,,,<DL,,,<DL,,,,,,,,,,,,,,,,,,,
TX001110,TX001,40005,"1999-06-23 00:00:00",TX,INDOOR,"1999-11-01 00:00:00","1999-12-02 00:00:00",28.4602,LBP40180,1.21306,0.510642,1.31413,3.45141,0.520317,0.0122354,0.112152,0.00581539,NULL,0.0768538,0.0384906,0.00542424,0.0398686,0.0310222,0.0032949,0.0421687,0.0365214,0.00090255,0.0211013,0.0009287,0.00716105,0.00050595,0.0003772,0.00469904,0.00662295,0.00093085,0.00325305,0.00105585,0.0015437,0.00101445,0.00090615,0.0022927,NULL,NULL,NULL,NULL,NULL,NULL,0.667905,0.697508,0.721193,0.69556,"",,,,NA,,,,,,<DL,,,<DL,,<DL,,<DL,<DL,,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,NA,NA,NA,NA,NA,NA,,,,,
TX001120,TX001,40001,"1999-06-23 00:00:00",TX,OUTDOOR,"1999-11-01 00:00:00","1999-12-02 00:00:00",28.8324,LBP40180,2.79507,0.556972,2.01163,6.37384,1.96979,2.36517,30.9983,1.54611,0.390746,1.42772,0.871964,0.0142447,1.5294,0.476635,0.177091,4.95395,2.89132,0.180469,0.426039,0.0913802,0.0273226,0.00659763,0.0218842,0.386188,0.00662295,0.0102387,0.0015474,0.00223328,0.0015437,0.00101445,0.00090615,0.0022927,NULL,NULL,NULL,NULL,NULL,NULL,0.713881,0.759937,0.781319,0.686196,"PUF front",,,,,,,,,,,,,,,,,,,,<DL,,<DL,,<DL,<DL,<DL,<DL,NA,NA,NA,NA,NA,NA,,,,,
TX001123,TX001,40002,"1999-06-23 00:00:00",TX,"BACK OUTDOOR","2009-11-01 00:00:00","1999-12-02 00:00:00",28.8324,LBP40180,1.39127,0.620174,2.96161,5.73212,0.896523,0.011971,0.113709,0.0028483,NULL,0.121001,0.042354,NULL,0.023592,0.0398074,0.0133799,0.0756249,0.208465,0.00090255,0.0248425,0.0009287,0.0007864,NULL,0.0003772,0.0249452,0.00662295,0.00093085,0.0015474,0.00399189,0.0015437,0.00101445,0.00090615,0.0022927,NULL,NULL,NULL,NULL,NULL,NULL,0.586843,0.642066,0.656746,0.583154,"PUF back",,,<DL,NA,,,NA,,,,,,<DL,,<DL,<DL,NA,<DL,,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,NA,NA,NA,NA,NA,NA,,,,,
TX001210,TX201,41254,"2001-02-07 00:00:00",TX,INDOOR,"2001-12-03 00:00:00","2002-03-12 00:00:00",27.3076,LBP12031,NULL,NULL,NULL,NULL,NULL,3.29598,17.9774,0.328718,0.378539,0.340846,3.02812,0.0906965,0.811579,0.853211,0.0173363,2.12782,1.71093,0.144203,1.155,0.0408017,0.0007864,0.00050595,0.00284836,0.0196799,0.0405863,0.00093085,0.0358873,0.00105585,0.0015437,0.00101445,0.00090615,0.0022927,0.00698417,4.3415,3.22372,0.474609,1.47068,0.116899,0.976991,0.919641,0.933806,0.858057,"",,,,,,,,,,,,,,,,<DL,<DL,,,,<DL,,<DL,<DL,<DL,<DL,<DL,,,,,,,,,,,
TX001220,TX201,41253,"2001-02-07 00:00:00",TX,OUTDOOR,"2001-12-03 00:00:00","2002-04-06 00:00:00",28.401,LBP12031,NULL,NULL,NULL,NULL,NULL,0.525968,9.38762,0.612885,0.396754,0.773535,0.407296,0.0501306,0.317018,0.271694,0.0032949,1.64204,2.5538,0.0584764,0.0520973,0.0181682,0.0131856,0.0570309,0.00910615,0.102706,0.0215929,0.0160497,0.0202476,0.010332,0.0156977,0.0173993,0.0104781,0.0258634,0.0262455,0.258494,0.233893,0.0105771,0.13479,0.0033289,0.778943,0.783059,0.673421,0.34877,"",,,,,,,,,,<DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX001221,TX201,41256,"2001-02-07 00:00:00",TX,"DUPLICATE OUTDOOR","2001-12-03 00:00:00","2002-03-12 00:00:00",28.2464,LBP12031,NULL,NULL,NULL,NULL,NULL,0.738848,10.8108,0.395358,0.160599,0.870073,0.487521,0.019308,0.384364,0.271843,0.0180714,1.81848,1.76281,0.0477956,0.3369,0.0295403,0.00373056,NULL,0.0003772,0.457949,0.00662295,0.00093085,0.00625175,0.00105585,0.0015437,0.00101445,0.00090615,0.0022927,0.0025365,0.869352,0.737946,0.145691,0.0366671,NULL,0.909508,0.865422,0.907481,0.810281,"",,,,,,,,,,,,,,,,,NA,<DL,,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,NA,,,,,
TX002110,TX002,40006,"1999-06-29 00:00:00",TX,INDOOR,"1999-11-01 00:00:00","1999-12-02 00:00:00",27.8479,LBP40180,13.5186,1.45082,3.89913,6.43746,7.78976,5.03882,17.6857,0.675842,NULL,7.64049,3.18196,0.648223,0.192272,1.3288,1.38811,0.980795,1.35464,0.0691317,0.651752,0.00453091,0.00507909,0.00191146,0.00189414,0.0555099,0.00662295,0.00093085,0.0015474,0.00105585,0.0015437,0.00101445,0.00090615,0.0022927,NULL,NULL,NULL,NULL,NULL,NULL,0.824467,0.937485,0.82296,0.708286,"",,,,NA,,,,,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,NA,NA,NA,NA,NA,NA,,,,,
