LinkID,HomeID,studytime,home,school_work,other_indoor,neighbor,out_far,car_open,car_clos
CA065250,NULL,3675,2250,600,0,0,0,0,0
CA077250,NULL,3675,1635,1050,0,75,0,30,0
NJ027250,NULL,3675,2700,0,0,0,120,60,0
NJ027150,NULL,3675,1720.01,1285.01,0,0,0,70.005,0
NJ023150,NULL,3675,1879.99,709.995,19.995,40.005,229.995,0,0
NJ096240,NULL,3675,2265,420,30,420,30,0,0
NJ088240,NULL,3675,2160,750,0,0,0,0,0
NJ076240,NULL,3675,1650,1080,60,90,0,0,0
NJ054240,NULL,3675,1980,810,0,60,0,0,150
NJ051240,NULL,3675,2299.99,0,115.005,229.995,0,94.995,19.995
NJ041240,NULL,3675,1740,600,0,660,240,0,0
NJ040240,NULL,3675,1995,0,0,720,0,120,60
NJ039240,NULL,3675,2400,0,90,270,60,0,0
NJ036240,NULL,3675,2580,0,0,360,0,0,0
NJ027240,NULL,3675,2760,0,0,0,90,30,0
NJ026240,NULL,3675,2164.99,454.995,90,75,0,34.995,0
NJ023240,NULL,3675,2880,0,0,0,0,0,0
NJ021240,NULL,3675,1860,735,0,0,165,0,75
NJ013240,NULL,3675,2160,840,0,0,0,0,0
NJ010240,NULL,3675,1980,900,0,0,60,0,0
NJ009240,NULL,3675,2010,690,0,120,0,0,60
NJ004240,NULL,3675,2325,349.995,15,154.995,0,0,94.995
NJ096140,NULL,3675,2220,420,30,360,30,0,0
NJ088140,NULL,3675,1920,780,0,0,0,0,60
NJ076140,NULL,3675,3090,0,0,60,0,0,0
NJ072140,NULL,3675,2730,0,0,30,0,0,0
NJ061140,NULL,3675,2655,0,30,600,0,90,0
NJ054140,NULL,3675,1770,720,150,180,0,60,0
NJ051140,NULL,3675,2160,600,60,0,0,60,0
NJ041140,NULL,3675,1129.99,1545,379.995,139.995,0,0,0
NJ040140,NULL,3675,2100,660,0,120,0,0,0
NJ039140,NULL,3675,2194.99,0,285,289.995,0,49.995,0
NJ036140,NULL,3675,1920,840,0,60,90,30,60
NJ027140,NULL,3675,1615.01,745.005,19.995,19.995,259.995,100.005,120
NJ026140,NULL,3675,1960.01,799.995,0,40.005,0,139.995,0
NJ023140,NULL,3675,1740,930,0,90,0,30,90
NJ021140,NULL,3675,1939.99,799.995,0,90,0,0,109.995
NJ013140,NULL,3675,1875,934.995,0,94.995,0,0,34.995
NJ010140,NULL,3675,2239.99,439.995,0,120,0,0,79.995
NJ009140,NULL,3675,2415,360,0,60,0,0,0
NJ004140,NULL,3675,2569.99,0,130.005,139.995,0,40.005,60
NJ099230,NULL,3675,300,60,30,60,0,0,0
NJ097230,NULL,3675,3240,0,0,0,0,0,0
NJ096230,NULL,3675,2590.01,0,295.005,60,0,60,70.005
NJ094230,NULL,3675,1500,1380,0,0,0,0,60
NJ093230,NULL,3675,2940,0,0,0,0,0,0
NJ091230,NULL,3675,1909.99,510,90,49.995,0,0,139.995
NJ090230,NULL,3675,1260,1380,420,0,0,0,0
NJ088230,NULL,3675,660,840,300,360,0,0,0
NJ087230,NULL,3675,2640,0,0,60,0,60,300
NJ085230,NULL,3675,1920,840,0,0,0,0,120
NJ084230,NULL,3675,1849.99,330,49.995,120,30,180,319.995
NJ082230,NULL,3675,2760,0,180,0,0,0,0
NJ081230,NULL,3675,2325,570,0,0,0,0,60
NJ080230,NULL,3675,1440,1470,0,0,0,0,0
NJ079230,NULL,3675,1972.5,195,127.5,0,300,0,180
NJ078230,NULL,3675,2539.99,0,109.995,19.995,0,0,30
NJ077230,NULL,3675,1669.99,1050,19.995,49.995,0,90,0
NJ076230,NULL,3675,1560,840,340.005,100.005,19.995,0,79.995
NJ075230,NULL,3675,1579.99,960,109.995,90,0,0,139.995
NJ074230,NULL,3675,2790,0,60,0,0,0,120
NJ073230,NULL,3675,2700,0,0,300,0,0,0
NJ071230,NULL,3675,2860.01,0,0,220.005,0,40.005,0
