LinkID,HomeID,QFFID,Sampling_Date,State,Type,Extraction_Date,GC_MS_Date,Volume_air,Lab_Blank,NAP,ACY,ACE,FLR,1MFL,DBT,PHE,ANT,2MA,1MA,1MP,9MA,4_5MP,3_6DMP,9_10DMA,FLT,PYR,BaFLR,RET,BbFLR,BNT,CPP,BaA,CHR_TRI,BFLTs,BeP,BaP,PER,IP,DBA,BghiP,COR,oxyCD,tCD,cCD,MC5,tNC,cNC,SurrRcv_ACEd10,SurrRcv_ANTd10,SurrRcv_FLTd10,SurrRcv_BePd12,comments,DBT_flag,PHE_flag,ANT_flag,2MA_flag,1MA_flag,1MP_flag,9MA_flag,4_5MP_flag,3_6DMP_flag,9_10DMA_flag,FLT_flag,PYR_flag,BaFLR_flag,RET_flag,BbFLR_flag,BNT_flag,CPP_flag,BaA_flag,CHR_TRI_flag,BFLTs_flag,BeP_flag,BaP_flag,PER_flag,IP_flag,DBA_flag,BghiP_flag,COR_flag,oxyCD_flag,tCD_flag,cCD_flag,MC5_flag,tNC_flag,cNC_flag,NAP_flag,ACY_flag,ACE_flag,FLR_flag,1MFL_flag
NJ003110,NJ103,30063,"1999-07-13 00:00:00",NJ,INDOOR,"2000-01-26 00:00:00","2000-03-14 00:00:00",28.27,LBF01260,0.0551171,0.00940584,0.00463842,0.00873074,0.0328043,0.00667493,0.122503,0.0150098,0.00821185,0.0389816,0.0306589,0.0115495,0.012175,0.023863,NULL,0.125594,0.134983,0.0195073,0.0223128,0.00792866,0.0110971,0.0439158,0.0476507,0.134056,0.244174,0.128904,0.102415,0.0266134,0.210239,0.0141065,0.254949,0.237231,NULL,NULL,NULL,NULL,NULL,NULL,0.224254,0.382678,0.543809,0.595385,NULL,<DL,,<DL,<DL,,<DL,<DL,<DL,,NA,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
NJ003120,NJ103,30064,"1999-07-13 00:00:00",NJ,OUTDOOR,"2000-01-26 00:00:00","2000-03-14 00:00:00",28.61,LBF01260,0.0886151,0.0121959,0.00584997,0.0160729,0.137685,0.00997836,0.174256,0.0207289,0.00962869,0.0391991,0.0303863,0.0107028,0.0130372,0.0214007,NULL,0.206101,0.18767,0.0310604,0.00654141,0.0129045,0.0241188,0.0644355,0.094878,0.2529,0.263857,0.146756,0.082735,0.0184367,0.19288,0.0116724,0.233282,0.213446,NULL,NULL,NULL,NULL,NULL,NULL,0.659577,0.708961,0.830668,0.841348,NULL,<DL,,<DL,<DL,,<DL,<DL,<DL,,NA,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,,,,
NJ004110,NJ104,30122,"1999-07-27 00:00:00",NJ,INDOOR,"2000-05-18 00:00:00","2000-06-05 00:00:00",27.7199,LBF05180,0.13212,0.0210811,0.00957307,0.0178989,0.107115,0.00963894,0.192298,0.0206863,0.0144793,0.0628535,0.0448983,0.000796186,0.0178937,0.0446446,NULL,0.137625,0.158236,0.0293316,0.0378844,0.00863269,0.0156064,0.123881,0.0971764,0.239854,0.386034,0.159713,0.219657,0.0344881,0.417904,0.031567,0.27075,0.200788,0.00284282,0.00389272,0.00245347,0.00989552,0.001382,0.00189278,0.496015,0.677307,0.774576,0.708255,NULL,<DL,,<DL,<DL,,,<DL,<DL,,NA,,,<DL,,<DL,<DL,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
NJ004120,NJ104,30123,"2000-07-27 00:00:00",NJ,OUTDOOR,"2000-05-18 00:00:00","2000-06-05 00:00:00",27.4699,LBF05180,0.124418,0.0216523,0.0116814,0.0233594,0.047527,0.0114391,0.251594,0.0253258,0.0133726,0.0459868,0.0363991,0.000492422,0.0191441,0.0256691,NULL,0.283085,0.250063,0.0477053,0.00944137,0.0239121,0.032608,0.0365418,0.099286,0.316466,0.26345,0.115789,0.102917,0.0202377,0.264172,0.0152034,0.212584,0.169895,NULL,0.0033842,0.00273278,0.00696077,0.00189944,0.000995491,0.5694,0.688455,0.775073,0.833192,NULL,<DL,,<DL,<DL,,,<DL,<DL,,NA,,,,<DL,<DL,,,,,,,,,,,,,NA,<DL,<DL,<DL,<DL,<DL,,,,,
NJ005110,NJ105,30127,"1999-08-10 00:00:00",NJ,INDOOR,"2000-12-12 00:00:00","2001-03-01 00:00:00",27.5165,LBF12120,0.0650679,0.010992,0.00763209,0.0184623,0.0301203,0.00812938,0.218386,0.0215246,0.00440364,0.0436339,0.0377822,0.000439084,0.0192017,0.0284008,0.00182743,0.255072,0.214956,0.0311766,0.0292169,0.00790211,0.0164617,0.0248469,0.0722141,0.203764,0.570269,0.279339,0.12942,0.0187483,0.762865,0.0212437,0.998517,0.556195,NULL,0.0094824,0.00479393,0.000535184,0.00338244,0.00207228,0.602465,0.619782,0.746587,0.914718,NULL,<DL,,<DL,<DL,,,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,NA,<DL,<DL,<DL,<DL,<DL,,,,,
NJ005120,NJ105,30126,"1999-08-10 00:00:00",NJ,OUTDOOR,"2000-12-12 00:00:00","2001-03-01 00:00:00",28.68,LBF12120,0.0834955,0.011565,0.0145254,0.0238834,0.205957,0.00699069,0.284966,0.037683,0.00999779,0.0443237,0.0387773,0.000589019,0.0296426,0.0261994,0.00119253,0.372982,0.309166,0.0466458,0.00547903,0.0261883,0.0254834,0.0332246,0.170018,0.359711,0.68316,0.301902,0.279589,0.0587603,0.967533,0.0494929,0.784909,0.779754,NULL,0.00183047,0.000784147,0.000544935,0.00125429,0.00079204,0.518369,0.613574,0.781711,0.966057,NULL,<DL,,,<DL,,,<DL,<DL,,<DL,,,,<DL,<DL,<DL,,,,,,,,,,,,NA,<DL,<DL,<DL,<DL,<DL,,,,,
NJ006110,NJ106,30132,"1999-08-23 00:00:00",NJ,INDOOR,"2000-05-18 00:00:00","2000-06-05 00:00:00",28.7999,LBF05180,0.0735332,0.0115181,0.00674179,0.0106659,0.0209334,0.00534892,0.122326,0.0147911,0.0151921,0.0382672,0.0275258,0.000381421,0.0150265,0.0247975,0.000390666,0.16876,0.173566,0.0316307,0.0252161,0.00983181,0.0182472,0.0801234,0.0794228,0.15775,0.484514,0.227288,0.230833,0.0768668,0.835374,0.0228629,0.671533,0.581705,0.00157395,0.00592506,0.00503516,0.00964859,0.00226615,0.00140549,0.576263,0.764791,0.877641,0.785584,NULL,<DL,,<DL,<DL,,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,<DL,<DL,<DL,<DL,<DL,<DL,,,,,
NJ006120,NJ106,30133,"1999-08-23 00:00:00",NJ,OUTDOOR,"2000-05-18 00:00:00","2000-06-05 00:00:00",28.2,LBF05180,0.116617,0.015244,0.0145271,0.0157661,0.298511,0.0105616,0.229315,0.042018,0.0162578,0.0517944,0.0395214,0.0166341,0.0307703,0.034174,NULL,0.319544,0.282809,0.0639829,0.0140579,0.0363104,0.044679,0.0883932,0.218737,0.386671,0.76736,0.347747,0.281423,0.0643014,0.807907,0.0421296,0.779103,0.647008,NULL,0.000832595,0.00137314,0.00761388,0.000793468,0.000287253,0.376787,0.596957,0.765499,0.830401,NULL,<DL,,,<DL,,,<DL,<DL,,NA,,,,<DL,,,,,,,,,,,,,,NA,<DL,<DL,<DL,<DL,<DL,,,,,
NJ007110,NJ107,30142,"1999-09-07 00:00:00",NJ,INDOOR,"2000-12-21 00:00:00","2001-03-01 00:00:00",29.19,LBF12210,0.0590124,0.0111801,0.00397331,0.0133737,0.0252648,0.00200085,0.286879,0.0135549,0.00631762,0.0394671,0.0303215,0.00355287,0.0111376,0.0240326,NULL,0.120993,0.131509,0.0213492,0.0266644,0.0113259,0.000108098,0.0576988,0.0678472,0.136266,0.789673,0.299233,0.489022,0.0996113,0.633383,0.0467644,0.620435,0.398119,NULL,0.00758305,0.00378187,0.00350514,0.00217599,0.000586552,0.644023,0.698383,0.743953,0.767304,NULL,<DL,,<DL,<DL,,<DL,<DL,<DL,,NA,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,NA,<DL,<DL,<DL,<DL,<DL,,,,,
NJ007111,NJ107,30139,"1999-09-07 00:00:00",NJ,"DUPLICATE INDOOR","2000-12-21 00:00:00","2001-03-01 00:00:00",27.75,LBF12210,0.0760664,0.0104924,0.00486536,0.0138808,0.145277,0.00847555,0.317061,0.0123161,0.00703593,0.038265,0.0338683,0.00310309,0.0105483,0.0240742,0.00186865,0.110539,0.108585,0.0162912,0.0283788,0.00665621,0.00870834,0.0509971,0.0493231,0.0960718,0.713333,0.269386,0.471895,0.093693,0.978419,0.102739,0.598621,0.456079,NULL,0.00540074,0.00266418,0.0011645,0.00146904,NULL,0.72421,0.762902,0.796045,0.794297,NULL,<DL,,<DL,<DL,,<DL,<DL,<DL,,<DL,,,<DL,<DL,<DL,<DL,,,,,,,,,,,,NA,<DL,<DL,<DL,<DL,NA,,,,,
