LinkID,XRF_ID,Number_of_experiment,Sample_ID,Li,Be,Mg,Al,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Arsenic,Se,Rb,Sr,Ag,Cd,Cs,Ba,Tl,Pb,Bi,U,datestarted,dateended,Be_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,Ga_flag,Arsenic_flag,Se_flag,Rb_flag,Sr_flag,Ag_flag,Cd_flag,Cs_flag,Ba_flag,Tl_flag,Pb_flag,Bi_flag,U_flag,Li_flag,Mg_flag,Al_flag
NJ006110,T2424,1,10107,0,-0.0219612,37.2461,23.0434,7.82722,10.9164,3.76128,2.37372,0.172969,95.1019,14.1927,97.4054,0.0937061,0.64575,0.965997,0.178628,0.97167,0.185315,1.18396,0.00145337,1.36753,0.0998814,19.4759,0.0930357,0.0258312,"1999-08-23 00:00:00","1999-08-25 00:00:00",ND,<DL,,<DL,<DL,<DL,<DL,,<DL,<DL,,,,<DL,<DL,,<DL,,<DL,,<DL,<DL,ND,,
NJ006120,T2425,1,10108,0,-0.00712476,38.3071,23.3556,6.79071,13.1249,4.97191,3.17475,0.300457,124.484,16.6699,119.791,0.269136,0.605772,1.04142,0.106513,1.02832,0.174859,0.969117,-0.00725707,3.734,0.0751648,21.0313,0.126156,0.0321997,"1999-08-23 00:00:00","1999-08-25 00:00:00",ND,<DL,,<DL,,<DL,,,,,,,,<DL,<DL,<DL,ND,,<DL,,,<DL,ND,,
NJ006130,T2426,1,20073,0,0.134098,133.864,112.068,24.5788,11.769,6.54428,5.42411,0.3116,125.654,44.6278,201.718,0.464446,0.840334,0.704404,0.261668,2.92999,0.517244,1.4691,-0.0621034,6.55022,0.23435,55.0527,0.307786,0.0703133,"1999-08-23 00:00:00","1999-08-25 00:00:00",<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,,<DL,ND,,<DL,<DL,<DL,<DL,ND,,
NJ008110,T2428,1,10137,0,0.0420882,40.2288,16.8399,2.6613,2.50475,1.83387,1.36531,0.0973767,4.92362,9.0942,728.303,0.108111,0.450548,0.832421,0.139885,0.60507,0.081965,0.640604,0.0214079,1.78519,0.105517,14.0474,0.0936802,0.0519752,"1999-09-28 00:00:00","1999-09-30 00:00:00",<DL,<DL,<DL,<DL,<DL,<DL,<DL,,,<DL,<DL,,,<DL,<DL,<DL,<DL,,,,<DL,<DL,ND,,
NJ008120,T2429,1,10138,0,0.00805477,45.1744,38.6399,8.58929,2.75825,1.68464,4.95872,0.111463,4.93102,10.4201,75.1095,0.120806,0.720277,0.552574,0.0997072,0.672355,0.103026,0.934228,0.0435128,1.50733,0.0841164,17.4353,0.0724014,0.042456,"1999-09-28 00:00:00","1999-09-30 00:00:00",<DL,<DL,<DL,<DL,,<DL,<DL,,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,<DL,<DL,ND,,
NJ008130,T2430,1,20095,0,0.132847,175.098,239.404,14.5234,2.86649,4.50086,6.22297,0.742842,13.8841,35.2845,1856.81,0.294222,0.577263,1.24952,0.280055,2.4364,0.219097,5.40026,0.0713112,6.07556,0.207865,69.3108,0.361886,0.137531,"1999-09-28 00:00:00","1999-09-30 00:00:00",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,ND,<DL,<DL,<DL,<DL,ND,<DL,ND,<DL,<DL,<DL,<DL,ND,,ND
NJ008130,T2430,2,20095,1.21662,0.0999045,241.769,642.497,28.4883,4.64889,15.9004,12.1129,1.27434,49.9967,42.959,4995.23,0.841418,0.816997,4.10497,0.67047,4.40246,0.694892,8.00124,0.0577226,0,0.044402,66.2922,0.583887,0.066603,"1999-09-28 00:00:00","1999-09-30 00:00:00",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,ND,<DL,<DL,<DL,<DL,ND,<DL,ND,<DL,<DL,<DL,<DL,ND,,ND
NJ008130,T2430,3,20095,0.150967,-0.117665,1021.25,-136.181,-0.555025,0.0333015,-0.610528,-0.022201,0.0310814,3.02156,-0.0643829,2.93053,0.0555025,-0.0777035,-79.7394,0.128766,-0.919122,0.0355216,-0.488422,0.548365,-0.208689,0.0488422,1.09007,0.044402,0.0865839,"1999-09-28 00:00:00","1999-09-30 00:00:00",<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,ND,<DL,<DL,<DL,<DL,ND,<DL,ND,<DL,<DL,<DL,<DL,ND,,ND
NJ009110,T2432,1,10162,0,0.0275954,31.8788,34.0292,8.29973,0.575331,7.45728,3.04435,0.460886,71.9953,17.1603,98.4933,0.107727,0.360562,0.542734,0.0829842,1.00012,0.166067,1.01413,0.0242347,2.73322,0.0701798,37.2148,0.172884,0.0423768,"1999-09-30 00:00:00","1999-10-02 00:00:00",<DL,<DL,<DL,,,,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,,<DL,,,<DL,ND,,
NJ009120,T2433,1,10163,0,0.0469797,40.3857,26.392,2.45652,0.71376,8.80044,1.91213,0.150337,39.8454,15.8366,78.8016,0.13386,0.387207,0.858495,0.063457,0.977565,0.103613,1.07155,0.0229013,3.80733,0.0665622,17.6976,0.157017,0.042584,"1999-09-30 00:00:00","1999-10-02 00:00:00",<DL,<DL,<DL,ND,<DL,<DL,<DL,ND,<DL,<DL,<DL,ND,<DL,<DL,<DL,ND,<DL,ND,<DL,<DL,<DL,<DL,ND,,ND
NJ009120,T2433,2,10163,0.41083,0.0304318,51.9298,70.3917,4.55028,1.24626,29.0334,3.88875,0.237658,136.494,21.2878,146.819,0.358661,0.596319,2.89102,0.127524,1.752,0.276785,1.68317,0.0181142,0,0.0275336,20.172,0.281132,0.0224616,"1999-09-30 00:00:00","1999-10-02 00:00:00",<DL,<DL,<DL,ND,<DL,<DL,<DL,ND,<DL,<DL,<DL,ND,<DL,<DL,<DL,ND,<DL,ND,<DL,<DL,<DL,<DL,ND,,ND
NJ009120,T2433,3,10163,0.0739059,-0.0355038,337.069,-44.1334,-0.145638,0.00941938,-0.207226,-0.00434741,0.0130422,0.999903,-0.0195633,0.920201,0.0173896,-0.0362284,-26.6474,0.0427495,-0.299971,0.0101439,-0.160129,0.225341,-0.0673848,0.0166651,0.339822,0.0144914,0.0282581,"1999-09-30 00:00:00","1999-10-02 00:00:00",<DL,<DL,<DL,ND,<DL,<DL,<DL,ND,<DL,<DL,<DL,ND,<DL,<DL,<DL,ND,<DL,ND,<DL,<DL,<DL,<DL,ND,,ND
NJ009130,T2434,1,20096,0,0.0935161,113.249,162.356,21.2017,0.857133,6.97353,4.29698,0.497865,159.364,37.6783,219.206,0.304377,0.601073,1.07784,0.205587,2.6029,0.329119,1.59852,0.0811036,6.89764,0.189117,33.8504,0.231348,0.13669,"1999-09-30 00:00:00","1999-10-02 00:00:00",<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,ND,,
NJ009140,T2435,1,20097,0,0.111205,126.259,112.472,10.6363,1.17601,5.31461,4.13669,0.756655,102.937,27.9672,207.403,0.321922,0.70396,0.793212,0.223739,2.19986,0.456444,1.62673,0.0630212,7.5741,0.174206,41.5182,0.37949,0.123361,"1999-09-30 00:00:00","1999-10-02 00:00:00",<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,<DL,ND,,
NJ011110,T2437,1,10026,0,0.00650354,24.8437,87.74,7.00619,2.59035,1.45958,1.76412,0.368862,189.834,27.1947,184.567,0.126766,0.374485,0.33077,0.0784356,0.647383,0.169075,1.09453,-0.0221105,1.51374,0.0722592,12.6354,0.0857241,0.0265623,"1999-10-19 00:00:00","1999-10-21 00:00:00",<DL,<DL,<DL,<DL,<DL,<DL,,,,<DL,<DL,<DL,<DL,<DL,<DL,,ND,,<DL,<DL,<DL,<DL,ND,,
NJ011120,T2438,1,10027,0,0.0260266,20.8278,18.6808,7.67535,3.12959,1.74377,1.97359,0.36688,140.733,23.0542,181.28,0.129459,0.482652,0.773428,0.0537323,0.592527,0.180461,1.63497,-0.0242512,1.70177,0.0690276,13.8871,0.0761663,0.0281286,"1999-10-19 00:00:00","1999-10-21 00:00:00",<DL,<DL,<DL,<DL,<DL,<DL,,,,<DL,<DL,<DL,<DL,<DL,<DL,,ND,,<DL,,<DL,<DL,ND,,
NJ011130,T2439,1,20023,0,-0.0271147,96.3323,505.143,20.383,4.09003,6.43505,3.65632,0.552305,254.875,36.8361,366.939,0.44025,0.728817,0.86029,0.190449,2.57472,0.600944,2.01292,-0.0498631,5.10111,0.278074,27.4251,0.281631,0.0957405,"1999-10-19 00:00:00","1999-10-21 00:00:00",ND,<DL,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,,<DL,<DL,<DL,,<DL,ND,,<DL,<DL,<DL,<DL,ND,,
NJ013110,T2441,1,10198,0,0.150461,24.1628,36.5093,4.59173,2.16173,22.8451,2.93566,0.520114,617.069,36.6918,149.434,0.167972,0.443033,0.606101,0.150424,0.674894,0.258408,0.623342,0.0306296,1.95413,0.062217,14.0811,0.0672295,-0.000855192,"1999-10-27 00:00:00","1999-10-29 00:00:00",<DL,<DL,<DL,,,,,,,<DL,<DL,<DL,,<DL,,<DL,<DL,,<DL,,<DL,ND,ND,,
