LinkID,SampleID,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Arsenic,Se,Br,Rb,Sr,Y,Zr,Mo,Pd,Ag,Cd,Indium,Sn,Sb,Ba,La,Hg,Pb,datestarted,dateended,Al_flag,Si_flag,P_flag,S_flag,Cl_flag,K_flag,Ca_flag,Ti_flag,V_flag,Cr_flag,Mn_flag,Fe_flag,Co_flag,Ni_flag,Cu_flag,Zn_flag,Ga_flag,Ge_flag,Arsenic_flag,Se_flag,Br_flag,Rb_flag,Sr_flag,Y_flag,Zr_flag,Mo_flag,Pd_flag,Ag_flag,Cd_flag,Indium_flag,Sn_flag,Sb_flag,Ba_flag,La_flag,Hg_flag,Pb_flag
CA065210,11022,0.1579,0.4741,0.0007,0.4456,0.0286,0.116,0.2831,0.0221,0.0036,0.0007,0.0042,0.2362,0.00015,0.001,0.0055,0.0184,0.00065,0.0003,0.0008,0.0005,0.003,0.0003,0.0027,0.0002,0.0016,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.0035,0.0228,0.00425,0.0004,0.0041,"2000-10-23 00:00:00","2000-10-25 00:00:00",,,<DL,,,,,,,,,,ND,<DL,,,ND,<DL,,,,,,<DL,,<DL,ND,ND,<DL,<DL,<DL,,,<DL,<DL,
CA059210,11028,0.0182,0.0806,0.0007,0.3107,0.012,0.0833,0.0581,0.0074,0.0018,0.0005,0.002,0.1354,0.00015,0.001,0.0082,0.0189,0.00065,0.0003,0.0006,0.00015,0.004,0.00015,0.0055,0.0002,0.0009,0.0011,0.0008,0.00105,0.0017,0.0007,0.0037,0.00165,0.0199,0.00425,0.0004,0.0043,"2000-11-15 00:00:00","2000-11-17 00:00:00",,,<DL,,<DL,,,,,,,,ND,<DL,,,ND,ND,,<DL,,<DL,,<DL,,,<DL,<DL,,ND,<DL,<DL,,<DL,ND,
CA059220,11029,0.0217,0.0834,0.0023,0.3764,0.012,0.1045,0.0572,0.0135,0.003,0.0003,0.0024,0.2231,0.00015,0.001,0.0113,0.019,0.00065,0.0003,0.0012,0.0004,0.0047,0.00015,0.0067,0.0002,0.0019,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.00165,0.00985,0.00425,0.0004,0.0062,"2000-11-15 00:00:00","2000-11-17 00:00:00",,,,,<DL,,,,,,,,ND,<DL,,,ND,<DL,,,,ND,,<DL,,<DL,<DL,<DL,<DL,ND,<DL,<DL,<DL,<DL,<DL,
CA061210,11031,0.0423305,0.1612,0.00694783,0.290722,0.012,0.0716651,0.138082,0.0100625,0.00138082,0.000927835,0.00220556,0.142424,0.00015,0.001,0.00744455,0.0130303,0.00065,0.0003,0.000762262,0.00015,0.00360825,0.00015,0.00214308,0.0002,0.0010528,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.00165,0.00985,0.00425,0.0004,0.00560762,"2000-11-15 00:00:00","2000-11-17 00:00:00",,,,,<DL,,,,,,,,ND,<DL,,,ND,ND,,<DL,,<DL,,ND,,ND,ND,ND,<DL,ND,<DL,<DL,<DL,<DL,ND,
CA043210,11032,0.0249,0.0891,0.0007,0.3035,0.012,0.0388,0.0549,0.0066,0.0031,0.00015,0.0031,0.1076,0.00015,0.001,0.0063,0.0069,0.00065,0.0003,0.0006,0.0004,0.0015,0.00015,0.0008,0.0002,0.0009,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.00165,0.00985,0.00425,0.0004,0.00075,"2000-11-06 00:00:00","2000-11-08 00:00:00",,,ND,,<DL,,,,,ND,,,ND,<DL,,,ND,<DL,,,,ND,,<DL,,<DL,<DL,<DL,<DL,ND,<DL,<DL,<DL,ND,<DL,<DL
CA043220,11033,0.0396,0.1277,0.0007,0.4186,0.012,0.0648,0.0938,0.0122,0.005,0.00015,0.0058,0.2291,0.00015,0.001,0.009,0.0133,0.00065,0.0003,0.0002,0.0008,0.0032,0.00015,0.0012,0.0002,0.00025,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.0054,0.0207,0.00425,0.0004,0.0031,"2000-11-06 00:00:00","2000-11-08 00:00:00",,,ND,,<DL,,,,,ND,,,ND,<DL,,,ND,ND,<DL,,,ND,,ND,<DL,<DL,ND,ND,ND,<DL,<DL,,,ND,ND,
CA051220,11035,0.0065865,0.10323,0.0007,0.393396,0.31626,0.142391,0.0894472,0.0126992,0.00423905,0.00210696,0.00653984,0.241888,0.00015,0.00346016,0.00838478,0.052369,0.00065,0.0003,0.000427136,0.00786432,0.00978464,0.00015,0.00130294,0.0002,0.00125628,0.00045,0.0008,0.00105,0.00085,0.0007,0.0609117,0.00585068,0.0331407,0.00425,0.0004,0.0135032,"2000-10-31 00:00:00","2000-11-02 00:00:00",,,ND,,,,,,,,,,ND,,,,ND,ND,,,,ND,,ND,,<DL,ND,<DL,<DL,ND,,,,ND,ND,
NJ094120,11036,0.00125,0.0350899,0.0007,0.434232,0.012,0.0264595,0.0154426,0.00344054,0.00298783,0.000311459,0.0011227,0.0588875,0.00015,0.001,0.00430248,0.0105425,0.00065,0.0003,0.0002,0.00015,0.000981458,0.00015,0.00015,0.0002,0.000622918,0.00045,0.0008,0.0024627,0.00085,0.0007,0.0037,0.00165,0.00985,0.00903594,0.0004,0.0089635,"2000-10-31 00:00:00","2000-11-02 00:00:00",ND,,ND,,ND,,,,,,,,<DL,<DL,,,<DL,<DL,ND,<DL,,<DL,<DL,ND,,<DL,ND,,<DL,ND,<DL,ND,<DL,,<DL,
NJ097110,11042,0.03809,0.234737,0.0007,0.998895,0.012,0.0710947,0.107299,0.0100024,0.013249,0.0014448,0.00624731,0.208367,0.00015,0.0120703,0.0180279,0.041963,0.00065,0.0003,0.00162329,0.00180178,0.00495743,0.00015,0.000754392,0.0002,0.000579265,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.00165,0.00985,0.00425,0.0004,0.00829157,"2000-11-07 00:00:00","2000-11-09 00:00:00",,,ND,,<DL,,,,,,,,<DL,,,,<DL,<DL,,,,<DL,,ND,,ND,ND,<DL,ND,<DL,<DL,<DL,<DL,<DL,ND,
NJ097120,11043,0.735452,1.75027,0.0007,1.22941,0.0895896,0.271194,0.815508,0.068197,0.0204757,0.00506578,0.0251695,1.56558,0.00015,0.0191171,0.0570689,0.0794248,0.00065,0.0003,0.00324542,0.00247808,0.00730137,0.000524848,0.00523852,0.0002,0.004232,0.0010962,0.0008,0.00105,0.00085,0.0007,0.0116862,0.00686289,0.0841086,0.00425,0.0004,0.0189875,"2000-11-07 00:00:00","2000-11-09 00:00:00",,,ND,,,,,,,,,,ND,,,,<DL,ND,,,,,,<DL,,,<DL,<DL,<DL,<DL,,,,<DL,ND,
NJ080210,11044,0.00125,0.0753012,0.0007,0.887134,0.012,0.0276484,0.0434775,0.00498215,0.00197907,0.000455117,0.00182047,0.0754736,0.00015,0.001,0.002,0.0121296,0.00065,0.0003,0.0002,0.000999879,0.00168255,0.00015,0.00015,0.0002,0.000658541,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.00165,0.00985,0.00425,0.0004,0.00309618,"2000-11-14 00:00:00","2000-11-16 00:00:00",ND,,ND,,ND,,,,,,,,ND,<DL,<DL,,<DL,ND,<DL,,,<DL,<DL,ND,,<DL,<DL,<DL,<DL,<DL,<DL,<DL,<DL,ND,ND,
NJ080220,11045,0.00125,0.0557634,0.0007,1.14272,0.012,0.0284869,0.0429967,0.00495454,0.00323137,0.000588724,0.0024442,0.09962,0.00015,0.00213991,0.002,0.0167654,0.00065,0.000611876,0.00150488,0.00207376,0.00248719,0.00015,0.00015,0.0002,0.00111461,0.0012006,0.0008,0.00105,0.00085,0.0007,0.0037,0.00165,0.00985,0.00425,0.000982309,0.00213991,"2000-11-14 00:00:00","2000-11-16 00:00:00",ND,,ND,,ND,,,,,,,,ND,,<DL,,<DL,,,,,<DL,<DL,ND,,,ND,<DL,ND,ND,<DL,<DL,<DL,ND,,
NJ099110,11048,0.0164342,0.211839,0.0007,0.539339,0.012,0.0463452,0.0710084,0.00534257,0.00145337,0.000535273,0.00138561,0.0416361,0.00015,0.001,0.00433639,0.0418733,0.00065,0.0003,0.0002,0.000826625,0.00203607,0.00015,0.00015,0.0002,0.00025,0.00045,0.0008,0.00105,0.00085,0.0007,0.0037,0.00165,0.00985,0.00425,0.0004,0.00455999,"2000-12-05 00:00:00","2000-12-07 00:00:00",,,ND,,<DL,,,,,,,,<DL,<DL,,,<DL,<DL,<DL,,,<DL,<DL,ND,<DL,<DL,ND,<DL,<DL,ND,<DL,ND,<DL,ND,<DL,
