,pm25_in,pm25_pt_in,ambient_temp_c_in,airexrate_in,ambient_rh_in,pm25_ou,pm25_pt_ou,rh_ou,dust_sand,rain_prcp,smoke_haze,temp_max,thunder,wind_avgspeed,wind_fastest_2min,fog_all,snow_all,rain_all,wind_dmg,wind_all,landuse_main_Residential,landuse_near_Park,landuse_near_Residential
318,12.3,-0.0985889243611721,26.7,0.519149,49.895695,21.5,1.220159438719324,65.44443333333334,0,0.0,0,100.0,0,3.8,12.1,0,0,0,0,1,1,1,0
320,5.3,-1.3630797174847822,23.9,0.15301099999999998,51.1371825,22.9,1.399007160971696,77.17303333333331,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
322,5.3,-1.3630797174847822,23.9,0.15301099999999998,51.1371825,19.3,0.9178615016289672,77.2608,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
326,5.3,-1.3630797174847822,23.9,0.15301099999999998,51.1371825,19.3,0.9178615016289672,77.6667,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
330,9.9,-0.4347290366572341,25.6,1.1030799999999998,51.1371825,22.9,1.399007160971696,77.17303333333331,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
332,9.9,-0.4347290366572341,25.6,1.1030799999999998,51.1371825,19.3,0.9178615016289672,77.2608,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
336,9.9,-0.4347290366572341,25.6,1.1030799999999998,51.1371825,19.3,0.9178615016289672,77.6667,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
350,31.9,1.4654659024121797,28.1,0.169999,51.6337775,11.1,-0.5596056773548868,79.15903333333334,0,0.0,0,86.0,0,4.92,15.0,1,1,1,1,1,1,1,0
352,31.9,1.4654659024121797,28.1,0.169999,51.6337775,8.2,-1.3199370541088624,79.42556666666667,0,0.0,0,86.0,0,4.92,15.0,1,1,1,1,1,1,1,0
354,27.0,1.181043126185355,26.9,0.169999,51.6337775,11.1,-0.5596056773548868,79.15903333333334,0,0.0,0,86.0,0,4.92,15.0,1,1,1,1,1,1,1,0
356,27.0,1.181043126185355,26.9,0.169999,51.6337775,8.2,-1.3199370541088624,79.42556666666667,0,0.0,0,86.0,0,4.92,15.0,1,1,1,1,1,1,1,0
358,10.8,-0.300849632068263,25.3,0.21246900000000002,52.875265,11.3,-0.5137235184415546,67.90780000000001,0,0.0,0,99.0,0,5.14,17.0,0,0,0,0,1,1,1,0
360,10.8,-0.300849632068263,25.3,0.21246900000000002,52.875265,10.9,-0.6062010829150518,67.41843333333333,0,0.0,0,99.0,0,5.14,17.0,0,0,0,0,1,1,1,0
362,9.0,-0.5800641082791119,25.3,0.30522699999999997,53.37186,15.7,0.3526528053678009,53.85060000000001,0,0.0,0,104.0,0,4.7,12.1,0,0,0,0,1,1,0,1
364,15.6,0.2778155930930957,25.3,0.30522699999999997,53.37186,15.7,0.3526528053678009,53.85060000000001,0,0.0,0,104.0,0,4.7,12.1,0,0,0,0,1,1,0,1
366,31.4,1.4383212550838165,29.4,0.583501,54.861645,30.2,2.2029580459346745,61.38193333333334,0,0.0,0,108.0,0,4.92,21.0,0,0,0,0,1,1,0,1
368,33.7,1.56011180779375,28.1,0.583501,54.861645,30.2,2.2029580459346745,61.38193333333334,0,0.0,0,108.0,0,4.92,21.0,0,0,0,0,1,1,1,0
370,10.8,-0.300849632068263,15.56,0.538365,56.5997275,6.3,-1.95532484351693,87.94443333333334,0,0.34,0,96.0,1,5.59,25.1,1,1,1,1,1,1,0,1
372,15.9,0.308366385038459,26.7,0.20369600000000002,58.33781000000001,8.5,-1.2314383316975908,83.08333333333333,0,0.0,1,92.0,0,4.92,17.9,1,1,1,1,1,1,1,0
374,15.9,0.308366385038459,26.7,0.20369600000000002,58.33781000000001,8.1,-1.3500529813693587,83.08333333333333,0,0.0,1,92.0,0,4.92,17.9,1,1,1,1,1,1,1,0
376,7.5,-0.8542999511344173,27.2,0.998901,58.33781000000001,8.5,-1.2314383316975908,83.08333333333333,0,0.0,1,92.0,0,4.92,17.9,1,1,1,1,1,1,1,0
378,7.5,-0.8542999511344173,27.2,0.998901,58.33781000000001,8.1,-1.3500529813693587,83.08333333333333,0,0.0,1,92.0,0,4.92,17.9,1,1,1,1,1,1,1,0
380,13.0,-0.011716979911226435,18.33,2.38446,49.3269,13.4,-0.06978868503678777,63.29166666666666,0,0.0,0,74.0,0,6.04,15.0,0,0,0,0,1,1,0,1
382,13.4,0.03604865425810756,23.9,0.794978,61.813975,8.8,-1.1455742615287652,85.3856666666667,0,0.0,0,90.0,0,6.49,17.0,1,1,1,1,1,1,1,0
384,15.2,0.2362467819846143,21.1,0.17683800000000002,49.3269,17.8,0.694349742359301,76.26386666666666,0,0.36,0,85.0,1,3.8,13.0,1,1,1,1,1,1,1,0
386,15.2,0.2362467819846143,21.1,0.17683800000000002,49.3269,17.0,0.5684671975991121,75.80556666666666,0,0.36,0,85.0,1,3.8,13.0,1,1,1,1,1,1,1,0
388,27.0,1.181043126185355,21.7,2.59249,49.3269,17.8,0.694349742359301,76.26386666666666,0,0.36,0,85.0,1,3.8,13.0,1,1,1,1,1,1,1,0
390,27.0,1.181043126185355,21.7,2.59249,49.3269,17.0,0.5684671975991121,75.80556666666666,0,0.36,0,85.0,1,3.8,13.0,1,1,1,1,1,1,1,0
392,46.1,2.110263346123432,26.3974,1.15336,69.2629,13.0,-0.14951588907672045,91.16326666666669,0,0.09,1,85.0,1,5.82,16.1,1,1,1,1,1,1,1,0
394,3.6,-1.909703258918637,24.1246,0.158442,54.5864,5.2,-2.4029601876647466,79.9291,0,0.0,0,67.0,0,8.05,19.9,0,0,0,0,1,1,0,1
396,9.3,-0.5302182488527046,23.88071578947369,0.1414091142857143,49.3269,13.6,-0.030686458060293163,78.05553333333334,0,0.0,0,62.0,0,6.49,17.0,0,0,0,0,1,1,1,0
398,31.4,1.4383212550838165,23.271005263157893,0.0988269,53.6175447368421,13.4,-0.06978868503678777,82.02173333333333,0,0.0,0,60.0,0,4.47,16.1,0,0,0,0,1,1,1,0
400,17.2,0.4350238264290638,19.4908,2.46537,49.3269,3.6,-3.2269795423751466,61.35333333333333,0,0.02,0,61.0,0,5.82,16.1,1,1,1,1,1,1,0,1
402,11.6,-0.19003687107855685,22.553657407407414,1.7137900000000001,56.720342592592594,6.2,-1.9931240920050544,90.75186666666669,0,0.0,0,60.0,0,5.37,13.0,0,0,0,0,1,1,1,0
404,11.0,-0.2724697984752212,24.8261,1.7137900000000001,62.2058,11.7,-0.4240070619333462,90.75186666666669,0,0.0,0,73.0,0,9.62,21.0,1,1,1,1,1,1,0,1
