,pm25_pt_in,ambient_temp_c_in,airexrate_in,ambient_rh_in,pm25_pt_ou,rh_ou,dust_sand,rain_prcp,smoke_haze,temp_max,thunder,wind_avgspeed,wind_fastest_2min,fog_all,snow_all,rain_all,wind_dmg,wind_all,landuse_main_Residential,landuse_near_Park,landuse_near_Residential
98,0.4161120157398441,24.1536,0.508026,60.0728,0.3181028461582728,87.61806666666666,0,0.0,0,80.0,0,3.13,12.1,1,1,1,1,1,1,0,1
100,-0.1113611321728934,23.8387,0.508026,63.76,0.9034320252813308,86.2826,0,0.0,0,80.0,0,3.13,12.1,1,1,1,1,1,1,0,1
102,-0.1113611321728934,23.8387,0.508026,63.76,0.3181028461582728,87.61806666666666,0,0.0,0,80.0,0,3.13,12.1,1,1,1,1,1,1,0,1
104,-0.19003687107855685,24.1298,0.181107,49.8267,-1.034905337636049,85.69843333333334,0,0.0,0,79.0,0,7.38,16.1,1,1,1,1,1,1,1,0
106,-0.19003687107855685,24.1298,0.181107,49.8267,-0.8253954256300836,83.57816666666666,0,0.0,0,79.0,0,7.38,16.1,1,1,1,1,1,1,1,0
108,-0.8542999511344173,23.495,0.181107,57.0915,-1.034905337636049,85.69843333333334,0,0.0,0,79.0,0,7.38,16.1,1,1,1,1,1,1,1,0
110,-0.8542999511344173,23.495,0.181107,57.0915,-0.8253954256300836,83.57816666666666,0,0.0,0,79.0,0,7.38,16.1,1,1,1,1,1,1,1,0
112,0.03604865425810756,22.8406,0.685132,61.6345,-0.6535342200034143,82.3229,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
114,0.03604865425810756,22.8406,0.685132,61.6345,-0.6535342200034143,67.0638,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
116,0.03604865425810756,22.8406,0.685132,61.6345,-0.8763890908886601,77.56246666666667,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
118,0.4161120157398441,22.378,1.34243,62.233000000000004,-0.6535342200034143,82.3229,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
120,0.4161120157398441,22.378,1.34243,62.233000000000004,-0.6535342200034143,67.0638,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
122,0.4161120157398441,22.378,1.34243,62.233000000000004,-0.8763890908886601,77.56246666666667,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
124,0.10534088714427588,26.0687,0.478149,62.1223,-0.3154827110295114,83.28986666666667,0,0.89,0,77.0,1,10.74,40.0,1,1,1,1,1,1,0,1
126,0.10534088714427588,26.0687,0.478149,62.1223,-0.14951588907672045,83.28986666666667,0,0.89,0,77.0,1,10.74,40.0,1,1,1,1,1,1,0,1
128,0.1720063959001845,23.1147,0.5275075714285715,58.9636,-1.260636570296184,83.53163333333333,0,0.0,0,75.0,0,9.4,17.9,0,0,0,0,1,1,0,1
130,-1.11197544380422,24.3586,0.547251,55.6623,-0.5137235184415546,77.26243333333333,0,0.0,0,82.0,0,4.92,14.1,1,1,1,1,1,1,1,0
132,1.3430201483369262,22.2767,2.28783,48.8558,-0.4910425931648721,66.4606,0,0.03,1,86.0,1,7.16,17.9,1,1,1,1,1,1,0,1
134,-0.915028547848984,21.3312,0.126272,56.1524,-0.4019887589687948,81.30216666666666,0,0.0,0,73.0,0,8.05,17.0,0,0,0,0,1,1,0,1
136,-0.915028547848984,21.3312,0.126272,56.1524,-0.8253954256300836,82.5151,0,0.0,0,73.0,0,8.05,17.0,0,0,0,0,1,1,0,1
138,-0.8150192700312987,21.0381,0.281717,57.854,-0.4019887589687948,81.30216666666666,0,0.0,0,73.0,0,8.05,17.0,0,0,0,0,1,1,1,0
140,-0.8150192700312987,21.0381,0.281717,57.854,-0.8253954256300836,82.5151,0,0.0,0,73.0,0,8.05,17.0,0,0,0,0,1,1,1,0
142,0.6054224587831242,23.1544,0.5598069999999999,57.0827,0.487190745030646,83.44443333333334,0,0.36,0,75.0,1,5.59,17.9,1,1,1,1,1,1,0,1
144,0.6054224587831242,23.1544,0.5598069999999999,57.0827,0.2478422690866437,82.70833333333333,0,0.36,0,75.0,1,5.59,17.9,1,1,1,1,1,1,0,1
146,0.9899207021808568,25.265,0.38079,55.5523,0.487190745030646,83.44443333333334,0,0.36,0,75.0,1,5.59,17.9,1,1,1,1,1,1,1,0
148,0.9899207021808568,25.265,0.38079,55.5523,0.2478422690866437,82.70833333333333,0,0.36,0,75.0,1,5.59,17.9,1,1,1,1,1,1,1,0
150,-0.5800641082791119,23.2338,2.81359,57.5722,-1.4423507820233294,86.63943333333332,0,0.0,0,75.0,0,9.62,25.1,0,0,0,0,1,1,1,0
152,-0.5800641082791119,23.2338,2.81359,57.5722,-1.4423507820233294,86.24306666666666,0,0.0,0,75.0,0,9.62,25.1,0,0,0,0,1,1,1,0
154,-1.728223354853016,24.4254,0.34146,58.3109,-1.4423507820233294,86.63943333333332,0,0.0,0,75.0,0,9.62,25.1,0,0,0,0,1,1,1,0
156,-1.728223354853016,24.4254,0.34146,58.3109,-1.4423507820233294,86.24306666666666,0,0.0,0,75.0,0,9.62,25.1,0,0,0,0,1,1,1,0
158,0.024228973517135242,21.1,0.253218,65.3775,-0.08952748773147502,85.27776666666666,0,0.0,0,78.0,0,14.54,23.9,1,1,1,1,1,1,1,0
160,0.024228973517135242,21.1,0.253218,65.3775,-0.21070130380541008,85.16000000000003,0,0.0,0,78.0,0,14.54,23.9,1,1,1,1,1,1,1,0
162,1.64049087016447,24.6028,0.420976,65.3775,-0.08952748773147502,85.27776666666666,0,0.0,0,78.0,0,14.54,23.9,1,1,1,1,1,1,1,0
164,1.64049087016447,24.6028,0.420976,65.3775,-0.21070130380541008,85.16000000000003,0,0.0,0,78.0,0,14.54,23.9,1,1,1,1,1,1,1,0
166,1.3082075369074453,27.1119,1.36628,58.8187,0.6477224019313664,82.85186666666667,0,0.0,0,85.0,0,5.82,17.0,1,1,1,1,1,1,0,1
168,0.20441805778432048,26.4412,0.310734,56.2051,2.5572238364304325,73.32636666666667,0,0.0,0,88.0,0,6.49,15.0,1,1,1,1,1,1,0,1
170,1.4492255420081923,22.8033,0.27261799999999997,58.1554,-0.954575720908975,62.66663333333333,0,1.55,0,71.0,1,8.95,23.9,1,1,1,1,1,1,1,0
172,1.4492255420081923,22.8033,0.27261799999999997,58.1554,-1.1175095161090989,62.66663333333333,0,1.55,0,71.0,1,8.95,23.9,1,1,1,1,1,1,1,0
174,0.20441805778432048,18.8607,8.21359,53.2114,-0.954575720908975,62.66663333333333,0,1.55,0,71.0,1,8.95,23.9,1,1,1,1,1,1,1,0
176,0.20441805778432048,18.8607,8.21359,53.2114,-1.1175095161090989,62.66663333333333,0,1.55,0,71.0,1,8.95,23.9,1,1,1,1,1,1,1,0
178,-1.5051181686798063,24.0313,0.303397,56.8291,-0.9022208308066514,76.59026666666666,0,0.0,0,76.0,0,6.49,16.1,0,0,0,0,1,1,0,1
180,-1.5051181686798063,24.0313,0.303397,56.8291,-1.1739133584424342,76.2585,0,0.0,0,76.0,0,6.49,16.1,0,0,0,0,1,1,0,1
182,-0.23076014372440154,23.1874,0.303397,47.4841,-0.9022208308066514,76.59026666666666,0,0.0,0,76.0,0,6.49,16.1,0,0,0,0,1,1,0,1
184,-0.23076014372440154,23.1874,0.303397,47.4841,-1.1739133584424342,76.2585,0,0.0,0,76.0,0,6.49,16.1,0,0,0,0,1,1,0,1
186,-0.7577890920114846,23.7225,0.294078,62.6054,-0.5137235184415546,82.45730000000002,0,1.17,0,72.0,1,8.28,23.0,1,1,1,1,1,1,1,0
188,0.05945141846073659,23.9931,0.118973,80.2465,0.4540887454366254,80.88463333333334,0,0.0,0,86.0,0,2.68,15.0,1,1,1,1,1,1,1,0
190,-0.3889254817562992,24.6585,0.7427050000000001,54.2515,-0.05017558273372187,62.19006666666667,0,0.0,0,87.0,0,12.75,29.1,0,0,0,0,1,1,1,0
192,0.6309182607109279,26.3099,2.44601,61.8658,0.7250622736928393,72.97103333333331,0,0.0,0,87.0,0,2.91,12.1,1,1,1,1,1,1,1,0
194,1.6157313933375186,23.4536,0.74341,59.8385,1.2593060828192524,80.94633333333333,0,0.0,0,86.0,0,4.03,14.1,1,1,1,1,1,1,1,0
196,1.6157313933375186,23.4536,0.74341,59.8385,0.9322271171389668,80.94633333333333,0,0.0,0,86.0,0,4.03,14.1,1,1,1,1,1,1,1,0
198,-1.6943404232573709,23.5758,0.348138,55.5268,-1.3500529813693587,88.9061,0,0.66,0,84.0,1,7.83,25.1,1,1,1,1,1,1,1,0
200,-2.160230496417772,23.89,0.630101,55.5268,-1.3500529813693587,88.9061,0,0.66,0,84.0,1,7.83,25.1,1,1,1,1,1,1,1,0
202,0.3384019786590634,26.3992,5.14979,54.8187,-0.14951588907672045,81.8385,0,0.0,0,88.0,0,10.07,19.9,1,1,1,1,1,1,0,1
204,0.3384019786590634,26.3992,5.14979,54.8187,-0.6774854471282621,82.2182,0,0.0,0,88.0,0,10.07,19.9,1,1,1,1,1,1,0,1
206,0.03604865425810756,26.4258,0.463663,55.0619,-0.14951588907672045,81.8385,0,0.0,0,88.0,0,10.07,19.9,1,1,1,1,1,1,1,0
208,0.03604865425810756,26.4258,0.463663,55.0619,-0.6774854471282621,82.2182,0,0.0,0,88.0,0,10.07,19.9,1,1,1,1,1,1,1,0
210,-0.0985889243611721,24.7305,0.322916,52.7599,0.15774048353569786,79.5532,0,0.0,0,87.0,0,8.28,19.9,1,1,1,1,1,1,1,0
212,-0.0985889243611721,24.7305,0.322916,52.7599,0.12095862596744987,79.26950000000002,0,0.0,0,87.0,0,8.28,19.9,1,1,1,1,1,1,1,0
214,-0.08590996806244955,28.64,4.30264,70.5701,0.15774048353569786,79.5532,0,0.0,0,87.0,0,8.28,19.9,1,1,1,1,1,1,1,0
216,-0.08590996806244955,28.64,4.30264,70.5701,0.12095862596744987,79.26950000000002,0,0.0,0,87.0,0,8.28,19.9,1,1,1,1,1,1,1,0
218,1.1494546584984902,23.5487,0.502602,46.9829,0.3526528053678009,76.39583333333333,0,0.0,0,85.0,0,7.61,16.1,0,0,0,0,1,1,1,0
220,1.7364690478608509,26.1156,0.525918,21.5908,-0.2521826246278519,78.97386666666667,0,0.0,0,89.0,0,12.75,21.9,0,0,0,0,1,1,1,0
222,-0.048418525053385016,26.4379,2.7444599999999997,58.5448,-0.1093937506947367,74.64536666666666,0,0.31,0,81.0,0,4.25,13.0,1,1,1,1,1,1,0,1
224,-0.048418525053385016,26.4379,2.7444599999999997,58.5448,0.8154787813015615,74.0,0,0.31,0,81.0,0,4.25,13.0,1,1,1,1,1,1,0,1
