,co
479512,0.0
410349,0.2
139990,0.2
369644,0.2
75658,0.5
422236,0.2
567542,0.6
404958,0.2
558437,0.4
102577,0.2
134759,0.1
501762,0.2
174331,0.2
140823,0.4
556737,0.1
390835,0.3
164121,0.6
564446,0.7
565247,0.7
420876,0.2
37083,0.3
289941,0.2
301596,0.1
289440,0.8
308637,0.2
128524,0.2
468587,0.2
543787,0.7
42891,0.4
522687,0.5
227995,0.3
305613,0.1
113355,0.5
30457,0.7
477312,0.5
498462,0.7
130560,0.2
363985,0.1
247134,0.7
17349,0.4
568109,0.9
308941,0.3
246552,0.5
267264,0.4
508387,0.5
441347,0.3
451887,0.2
222374,0.2
121345,0.2
121891,0.4
138540,0.2
370494,0.2
559962,0.2
558962,0.4
346593,0.4
423766,0.1
324277,0.2
567641,0.7
186649,0.1
296467,0.4
232027,0.1
443637,0.1
569666,1.0
332316,0.2
180047,0.4
55261,0.2
153827,0.2
302217,0.1
232299,0.2
441659,0.4
1933,0.2
273804,0.5
402153,0.2
385091,0.3
512762,0.7
162363,0.4
332777,0.2
503512,0.1
368454,0.4
68818,0.3
425551,0.2
114248,0.6
287954,0.2
156299,0.1
355413,0.1
9066,0.3
156725,0.2
366316,0.4
556687,0.1
296091,0.3
193374,0.2
190531,0.2
451987,0.3
534187,1.1
489687,0.3
170617,0.4
285681,0.2
487912,0.4
566552,0.4
498587,0.2
529912,0.7
503737,0.1
506037,0.4
550287,0.4
574157,0.8
550437,0.2
572276,0.9
109264,0.2
268545,0.1
284601,0.2
197573,0.2
48959,0.3
458687,1.7
374695,0.2
233370,0.2
552287,0.3
428830,0.2
370069,0.3
438569,1.0
236234,0.1
463987,0.2
487862,0.4
375071,0.2
78691,0.4
152140,0.3
274790,0.2
192956,0.2
461012,0.4
506912,0.3
7777,0.2
567956,0.6
34687,0.6
269030,0.3
564185,0.3
483237,0.4
508237,0.4
540112,0.1
441769,0.2
304070,0.1
435630,0.5
231917,0.4
220736,0.1
214748,0.5
312279,0.4
281516,0.6
564023,1.2
418921,0.5
2277,0.2
85402,0.2
391721,0.2
200606,0.2
252717,0.3
577235,0.8
28842,1.0
124615,0.2
83761,0.5
170651,0.2
527987,0.4
187174,0.2
175842,0.3
366741,0.2
398024,0.2
58546,0.1
341604,0.3
506762,0.3
480262,0.0
487962,0.4
442312,0.3
156146,0.5
441340,0.3
551537,0.2
436480,0.7
52743,0.1
130322,0.3
565310,0.4
562115,0.7
167557,0.3
271281,0.5
204356,0.4
234715,0.1
473737,0.2
7896,0.3
439965,0.3
336370,0.1
440138,0.5
242956,0.6
558687,0.4
206770,0.2
54617,0.3
152293,0.4
575147,1.1
575246,0.7
229875,0.2
432825,0.2
565085,0.5
341640,0.2
23879,0.5
466437,0.2
260084,0.7
289977,0.2
237150,0.7
567524,0.8
540387,0.3
324228,0.2
171926,0.5
137718,0.2
439589,0.3
341689,0.2
147331,0.1
53205,0.0
398753,0.3
267963,0.2
562358,0.5
431841,0.2
449562,0.5
216975,0.3
281873,0.4
44023,0.6
479337,0.2
269469,0.5
535187,0.1
42018,0.9
16671,0.4
538312,0.5
126986,0.2
244222,0.2
276248,0.1
259940,0.2
111179,0.4
439030,0.6
10951,0.3
419261,0.2
227544,0.4
115676,0.8
188901,0.1
566534,0.8
319697,0.2
528062,0.5
257419,0.3
116460,0.2
423305,0.2
467312,0.3
152506,0.2
573527,0.6
104685,0.3
60478,0.0
560737,0.2
89830,0.3
471012,0.2
150367,0.2
221508,0.3
299053,0.2
57787,0.1
558812,0.4
573653,0.6
560662,0.7
169070,1.0
326657,0.2
267691,0.1
272980,0.5
502137,0.4
493812,0.9
204008,0.2
442962,1.0
151911,0.2
220675,0.3
495787,0.9
458162,0.8
53349,0.2
489662,0.4
574805,0.5
514487,0.5
143474,0.1
575570,0.6
128106,0.5
109181,0.3
103077,0.3
392790,0.2
95099,0.4
60835,0.1
132938,0.2
353167,0.3
383185,0.2
311769,0.5
577061,0.5
59345,0.2
104530,0.2
572870,0.7
486762,0.2
66795,0.4
374185,0.3
520962,0.3
203105,0.2
497287,0.8
86116,0.2
319576,0.4
434780,0.3
262201,0.2
147832,0.2
27449,0.6
34110,1.4
202739,0.4
15055,0.6
491687,0.5
363645,0.1
238901,0.6
162105,0.3
435849,0.2
534562,0.3
535837,0.2
357479,0.2
450912,0.3
19015,0.6
480137,0.4
269259,0.5
533412,0.8
542387,0.3
100055,0.2
561237,0.3
272266,0.2
421337,0.1
414501,0.3
225631,0.1
130713,0.3
568172,0.7
502637,0.3
