,ozone
7361,28.0
8123,32.0
3353,55.0
8152,68.0
5893,18.0
7134,22.0
3656,55.0
5932,30.0
3298,44.00000000000001
4693,39.0
8674,54.00000000000001
8104,24.0
6173,38.0
2063,50.0
7263,61.0
2581,27.0
5253,25.0
2762,20.0
5221,19.0
5864,60.0
3202,33.0
3931,30.0
2662,55.99999999999999
6116,26.0
4994,44.00000000000001
7213,53.0
6418,39.0
8643,47.0
5976,31.0
7252,61.0
1952,25.0
3649,37.00000000000001
3712,47.0
8458,50.0
5231,19.0
7449,67.0
1933,31.0
4245,59.00000000000001
3635,33.0
5055,28.0
2046,38.0
6698,30.0
4643,35.0
8589,38.0
2515,57.99999999999999
2466,33.0
8302,61.0
2395,29.0
3624,20.0
2193,36.00000000000001
7280,84.0
1920,50.0
4223,62.0
4881,34.0
6105,20.0
2671,17.0
7560,20.0
1967,22.0
6341,18.0
2942,42.0
1928,49.0
4621,31.0
1811,29.0
6283,40.99999999999999
8628,29.0
6650,22.0
8472,37.00000000000001
6652,21.0
2533,35.0
2429,48.0
3282,50.0
8624,6.999999999999999
3112,20.0
2917,52.00000000000001
6282,40.99999999999999
1830,48.0
2801,36.00000000000001
4947,32.0
6624,23.0
6594,21.0
1566,48.0
6840,52.00000000000001
5451,48.0
4543,40.99999999999999
5095,73.0
2206,32.0
2469,32.0
6319,12.0
2387,22.0
6868,35.0
2928,50.0
4642,34.0
2019,28.0
4152,23.0
5321,57.0
5834,60.0
6375,27.0
4191,44.00000000000001
2780,27.0
7276,45.0
1798,73.0
2724,33.0
7011,27.0
3674,23.0
3718,57.0
7360,28.0
6540,45.0
3776,29.0
6434,37.00000000000001
6661,25.0
7059,34.0
2221,26.0
6103,17.0
1489,40.99999999999999
4240,61.0
7365,24.0
5850,45.0
3262,40.99999999999999
7592,30.0
5623,24.0
2419,19.0
4976,44.00000000000001
4075,26.0
6547,33.0
6300,19.0
1970,22.0
5906,25.0
8494,22.0
1576,28.0
8366,39.0
8679,54.00000000000001
2636,33.0
2304,28.0
3122,23.0
8095,26.0
8657,30.0
6727,20.0
5685,39.0
1955,29.0
4541,40.99999999999999
6331,36.00000000000001
5137,23.0
3349,40.99999999999999
2861,30.0
1592,43.0
5765,40.0
8068,53.0
4739,35.0
7510,38.0
2263,12.0
1727,69.0
6451,48.0
6120,40.0
2591,49.0
8692,48.0
3679,51.0
1813,34.0
3838,37.00000000000001
4697,39.0
7329,49.0
2288,31.0
2494,36.00000000000001
3810,34.0
5251,24.0
7056,24.0
6243,48.0
5793,61.0
2751,21.0
5062,37.00000000000001
3158,32.0
7034,25.0
2410,36.00000000000001
2149,46.0
5276,27.0
5398,40.0
5710,50.0
2518,75.0
8602,34.0
3962,32.0
8308,33.0
5396,45.0
8487,40.99999999999999
3520,62.0
3398,30.0
6020,21.0
1570,32.0
3308,50.0
7210,43.0
3442,19.0
2020,32.0
3573,22.0
2833,24.0
7397,40.0
2212,32.0
3698,25.0
1829,48.0
6584,50.0
3968,38.0
3118,24.0
6408,27.0
5367,43.0
6073,22.0
5952,21.0
2157,37.00000000000001
5874,35.0
1523,19.0
1797,69.0
6301,15.0
3363,20.0
6494,40.0
5723,50.0
4542,40.99999999999999
7163,45.0
4134,39.0
5531,45.0
7610,29.0
3055,30.0
2183,33.0
4810,27.0
8623,27.0
7519,45.0
2371,34.0
3283,50.0
6271,40.0
3196,44.00000000000001
4734,32.0
7140,24.0
6071,24.0
5250,24.0
5627,32.0
5868,51.0
4789,37.00000000000001
6078,29.0
3804,16.0
4694,32.0
2807,29.0
2458,26.0
2299,19.0
4407,25.0
4475,34.0
2283,32.0
6883,28.0
1839,31.0
3845,32.0
3653,55.0
7013,11.0
2108,75.0
8192,34.0
7523,22.0
3510,29.0
4968,18.0
5680,35.0
1540,16.0
2378,30.0
4762,32.0
8154,78.0
4175,40.0
3549,38.0
4786,40.99999999999999
3132,19.0
4851,9.000000000000002
7322,31.0
2010,24.0
1639,23.0
1683,36.00000000000001
6671,24.0
2358,21.0
5109,37.00000000000001
4172,48.0
2721,19.0
5047,25.0
7637,33.0
6220,28.0
4013,18.0
8492,45.0
7319,48.0
3051,17.0
4328,19.0
3364,20.0
4649,28.0
8406,53.0
