,ambient_temp_c_in,airexrate_in,ambient_rh_in,pm25_pt_ou,rh_ou,dust_sand,rain_prcp,smoke_haze,temp_max,thunder,wind_avgspeed,wind_fastest_2min,fog_all,snow_all,rain_all,wind_dmg,wind_all,landuse_main_Residential,landuse_near_Park,landuse_near_Residential
118,22.378,1.34243,62.233000000000004,-0.6535342200034143,82.3229,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
162,24.6028,0.420976,65.3775,-0.08952748773147502,85.27776666666666,0,0.0,0,78.0,0,14.54,23.9,1,1,1,1,1,1,1,0
276,23.89,0.5463,42.44677,-0.21070130380541008,69.29076666666667,0,0.0,0,99.0,0,6.04,17.9,0,0,0,0,1,1,0,1
198,23.5758,0.348138,55.5268,-1.3500529813693587,88.9061,0,0.66,0,84.0,1,7.83,25.1,1,1,1,1,1,1,1,0
82,22.3189,0.942037,38.7948,0.10240342693237453,50.85713333333333,0,0.0,0,81.0,0,7.61,19.9,1,1,1,1,1,1,0,1
170,22.8033,0.27261799999999997,58.1554,-0.954575720908975,62.66663333333333,0,1.55,0,71.0,1,8.95,23.9,1,1,1,1,1,1,1,0
0,25.07,0.255743,49.92,-1.0078828163442182,86.69386666666668,0,0.19,0,91.0,1,4.7,17.9,0,0,0,0,1,1,0,1
10,25.69,0.211152,44.72,-0.12938927200626102,69.06523333333332,0,0.0,0,98.0,0,2.46,13.0,1,1,1,1,1,1,0,1
122,22.378,1.34243,62.233000000000004,-0.8763890908886601,77.56246666666667,0,0.0,0,75.0,0,8.05,17.9,1,1,1,1,1,1,0,1
336,25.6,1.1030799999999998,51.1371825,0.9178615016289672,77.6667,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
218,23.5487,0.502602,46.9829,0.3526528053678009,76.39583333333333,0,0.0,0,85.0,0,7.61,16.1,0,0,0,0,1,1,1,0
372,26.7,0.20369600000000002,58.33781000000001,-1.2314383316975908,83.08333333333333,0,0.0,1,92.0,0,4.92,17.9,1,1,1,1,1,1,1,0
292,25.6,1.14465,46.41953,-0.5596056773548868,76.47223333333334,0,1.17,0,97.0,1,3.8,21.9,1,1,1,1,1,1,0,1
224,26.4379,2.7444599999999997,58.5448,0.8154787813015615,74.0,0,0.31,0,81.0,0,4.25,13.0,1,1,1,1,1,1,0,1
172,22.8033,0.27261799999999997,58.1554,-1.1175095161090989,62.66663333333333,0,1.55,0,71.0,1,8.95,23.9,1,1,1,1,1,1,1,0
12,25.69,0.211152,44.72,-0.27313675764105705,69.21526666666666,0,0.0,0,98.0,0,2.46,13.0,1,1,1,1,1,1,0,1
248,24.8747,0.364092,39.4672,-0.190169963859311,71.9348,0,0.0,0,95.0,0,4.03,14.1,1,1,1,1,1,1,0,1
286,25.6,1.14465,46.41953,0.08373681470672545,77.3972,0,1.17,0,97.0,1,3.8,21.9,1,1,1,1,1,1,0,1
142,23.1544,0.5598069999999999,57.0827,0.487190745030646,83.44443333333334,0,0.36,0,75.0,1,5.59,17.9,1,1,1,1,1,1,0,1
226,24.1808,0.285222,53.0197,-0.1093937506947367,74.64536666666666,0,0.31,0,81.0,0,4.25,13.0,1,1,1,1,1,1,0,1
360,25.3,0.21246900000000002,52.875265,-0.6062010829150518,67.41843333333333,0,0.0,0,99.0,0,5.14,17.0,0,0,0,0,1,1,1,0
