,aqi_pm25
57843,safe
1074487,safe
1064542,safe
1093117,safe
953464,safe
251958,safe
1123475,safe
77217,safe
40824,safe
809113,unhealthy for sensitive groups
1087231,safe
1011340,safe
783370,safe
1054054,unhealthy for sensitive groups
125372,safe
436054,safe
1037727,safe
453578,safe
1040403,unhealthy for sensitive groups
1129438,safe
460406,unhealthy for sensitive groups
1081189,safe
998380,safe
1025586,safe
707568,safe
710183,safe
451382,safe
903626,safe
25992,safe
1089607,unhealthy for sensitive groups
1104384,safe
678578,unhealthy for sensitive groups
171402,safe
618812,safe
1022468,unhealthy for sensitive groups
549944,unhealthy for sensitive groups
179686,unhealthy for sensitive groups
29223,safe
979772,unhealthy for sensitive groups
876135,safe
715356,safe
422830,safe
38592,safe
823950,safe
1104682,safe
320655,unhealthy for sensitive groups
894462,safe
122831,unhealthy for sensitive groups
884726,unhealthy for sensitive groups
13230,safe
29727,safe
2880,safe
250164,safe
676241,unhealthy for sensitive groups
767599,safe
1043269,safe
531738,safe
314218,safe
952639,unhealthy for sensitive groups
662252,safe
645176,unhealthy for sensitive groups
887818,unhealthy for sensitive groups
827274,unhealthy for sensitive groups
745988,safe
507873,safe
1117504,safe
523520,unhealthy for sensitive groups
1118142,safe
107560,safe
570041,safe
1142351,safe
1080990,unhealthy for sensitive groups
1000224,safe
520652,safe
32967,safe
991484,safe
1121030,safe
326387,unhealthy for sensitive groups
721292,safe
897998,safe
735406,unhealthy for sensitive groups
99438,safe
374198,unhealthy for sensitive groups
37458,safe
1083549,safe
524803,unhealthy for sensitive groups
580872,unhealthy for sensitive groups
519805,safe
923137,safe
581023,unhealthy for sensitive groups
770480,safe
672576,safe
15084,safe
467767,safe
194547,unhealthy for sensitive groups
546747,unhealthy for sensitive groups
1123934,safe
580368,unhealthy for sensitive groups
1121789,safe
29961,safe
122659,unhealthy for sensitive groups
296278,safe
394454,safe
833488,safe
261420,safe
1028142,safe
631789,safe
444699,unhealthy for sensitive groups
9702,unhealthy for sensitive groups
840752,safe
383377,safe
859440,unhealthy for sensitive groups
1002072,safe
132715,safe
432533,unhealthy for sensitive groups
670874,safe
1095802,safe
1000110,safe
1100743,safe
908530,safe
861202,safe
1130943,safe
752998,safe
477187,safe
361787,safe
473306,safe
12681,safe
402297,unhealthy for sensitive groups
1150047,safe
268409,unhealthy for sensitive groups
419302,unhealthy for sensitive groups
564383,safe
844638,safe
99153,unhealthy for sensitive groups
443914,unhealthy for sensitive groups
1099810,unhealthy for sensitive groups
929687,safe
1557,safe
213408,unhealthy for sensitive groups
999550,unhealthy for sensitive groups
1057469,safe
29583,safe
1108307,unhealthy for sensitive groups
1108123,safe
52304,safe
998772,safe
1080224,safe
1044862,safe
862973,safe
1125697,safe
517114,safe
352976,safe
21465,safe
1090903,safe
1157764,safe
8028,safe
406205,safe
1088702,unhealthy for sensitive groups
873607,safe
629230,safe
68075,safe
1022363,safe
240155,safe
1083339,safe
975991,unhealthy for sensitive groups
859326,safe
157949,safe
34506,safe
15471,safe
30888,safe
492357,safe
98243,safe
1157041,unhealthy for sensitive groups
1021708,safe
456641,safe
452075,safe
258335,safe
143087,safe
129595,unhealthy for sensitive groups
931213,safe
1017008,unhealthy for sensitive groups
494435,safe
120440,safe
1021473,safe
975435,safe
135183,safe
918879,safe
182239,safe
1006422,safe
2601,safe
421884,safe
178919,safe
261343,safe
33489,safe
1010085,unhealthy for sensitive groups
167542,safe
953749,safe
1163484,safe
292885,safe
849996,safe
496060,safe
394961,unhealthy for sensitive groups
430789,unhealthy for sensitive groups
1163518,unhealthy for sensitive groups
3672,safe
1083584,safe
11682,safe
636448,safe
421264,safe
1146373,safe
725112,safe
647050,safe
363590,safe
1051268,safe
664100,unhealthy for sensitive groups
1139704,unhealthy for sensitive groups
505174,safe
882760,safe
26415,safe
938274,safe
1110009,safe
280753,unhealthy for sensitive groups
795484,safe
596833,unhealthy for sensitive groups
1090607,unhealthy for sensitive groups
1026253,unhealthy for sensitive groups
1024574,safe
1161560,unhealthy for sensitive groups
994314,safe
571295,safe
488625,safe
1062347,safe
476812,safe
102635,unhealthy for sensitive groups
1037927,safe
22572,safe
1111905,safe
449505,safe
1052380,safe
215459,safe
684810,safe
838100,safe
1090242,safe
1161152,safe
1070026,safe
770444,safe
469111,safe
141193,safe
50021,unhealthy for sensitive groups
823122,safe
1143797,safe
58129,safe
307971,unhealthy for sensitive groups
228987,unhealthy for sensitive groups
1120062,safe
531342,unhealthy for sensitive groups
266038,safe
1057225,safe
208638,unhealthy for sensitive groups
237106,unhealthy for sensitive groups
1076027,unhealthy for sensitive groups
492543,unhealthy for sensitive groups
136997,safe
784957,safe
38682,safe
928712,safe
741250,safe
986668,safe
858681,safe
866067,safe
683441,safe
214465,safe
1033883,safe
643160,safe
867518,safe
1055510,unhealthy for sensitive groups
438279,safe
997050,safe
1016258,safe
605652,safe
644281,safe
1040037,safe
26730,safe
41175,safe
793266,safe
830378,safe
623670,safe
36477,safe
38952,safe
293552,safe
1093412,safe
1128577,safe
36081,safe
936333,unhealthy for sensitive groups
428617,safe
905267,safe
14301,safe
803812,safe
41382,safe
832964,safe
435296,safe
1091522,safe
900379,safe
395160,unhealthy for sensitive groups
1134196,safe
973228,safe
1045933,safe
66337,unhealthy for sensitive groups
868113,safe
1043748,safe
719330,safe
779330,safe
890819,unhealthy for sensitive groups
167395,unhealthy for sensitive groups
1037491,unhealthy for sensitive groups
664502,safe
39132,safe
663860,unhealthy for sensitive groups
78523,safe
974741,safe
1056104,safe
1013941,unhealthy for sensitive groups
120131,safe
3951,safe
165801,safe
1074417,unhealthy for sensitive groups
645257,unhealthy for sensitive groups
409137,unhealthy for sensitive groups
28512,safe
621659,unhealthy for sensitive groups
174713,safe
681178,unhealthy for sensitive groups
756961,safe
452771,safe
327472,safe
1061184,unhealthy for sensitive groups
45129,unhealthy for sensitive groups
647528,safe
1057034,safe
188404,unhealthy for sensitive groups
1017928,safe
685295,safe
310267,unhealthy for sensitive groups
449980,safe
75943,safe
12195,safe
266307,safe
16596,unhealthy for sensitive groups
1076677,safe
735707,safe
696392,safe
341319,safe
724860,safe
230244,safe
1158240,safe
1098557,safe
1012872,safe
1157696,safe
694209,safe
750279,unhealthy for sensitive groups
1159280,safe
404368,unhealthy for sensitive groups
3006,safe
425869,safe
354478,safe
66983,unhealthy for sensitive groups
589621,safe
86214,unhealthy for sensitive groups
1091312,unhealthy for sensitive groups
1161245,safe
423208,unhealthy for sensitive groups
1359,safe
4104,safe
122919,safe
83081,unhealthy for sensitive groups
695120,safe
81990,safe
991674,safe
22743,safe
595967,unhealthy for sensitive groups
1039653,safe
32760,safe
472547,safe
507566,unhealthy for sensitive groups
118334,safe
17109,safe
27531,safe
36468,safe
65986,safe
22824,safe
787351,safe
432122,unhealthy for sensitive groups
1166255,safe
1012707,unhealthy for sensitive groups
723670,unhealthy for sensitive groups
1007242,unhealthy for sensitive groups
955229,safe
1139679,unhealthy for sensitive groups
1090198,safe
1164958,unhealthy
578312,safe
766916,safe
974044,safe
877810,safe
961331,unhealthy for sensitive groups
636904,safe
916485,safe
374519,unhealthy for sensitive groups
998258,safe
1001563,safe
497430,safe
1159339,safe
1132569,safe
1087752,safe
243184,safe
553976,safe
161885,unhealthy for sensitive groups
908734,safe
1034152,safe
1061583,unhealthy for sensitive groups
1045106,safe
1104716,safe
1151740,safe
773669,safe
621812,safe
998373,safe
120489,safe
311800,safe
1007721,unhealthy for sensitive groups
776787,safe
1110759,safe
978991,safe
107905,safe
745422,unhealthy for sensitive groups
300737,safe
52101,safe
262676,safe
1000470,unhealthy for sensitive groups
643636,safe
1023913,unhealthy for sensitive groups
910577,safe
1030209,unhealthy for sensitive groups
1165158,safe
717266,safe
1153727,safe
84508,unhealthy for sensitive groups
767461,unhealthy for sensitive groups
1000919,unhealthy for sensitive groups
34317,safe
1131496,safe
502639,safe
1088423,safe
1021318,safe
25308,safe
231610,safe
318335,safe
13275,safe
1014773,safe
1131403,safe
1125706,safe
101959,safe
27585,safe
1113777,safe
851211,safe
483654,unhealthy for sensitive groups
590765,safe
816373,safe
881663,unhealthy for sensitive groups
1065352,safe
1121065,safe
109499,safe
1112802,safe
5202,safe
1111275,safe
286557,unhealthy for sensitive groups
1052979,safe
52661,safe
24786,safe
999757,safe
54900,safe
848117,safe
24732,safe
1069811,safe
1121859,safe
701057,safe
228751,safe
173106,safe
640958,unhealthy for sensitive groups
30141,safe
781333,safe
341689,unhealthy for sensitive groups
82283,unhealthy for sensitive groups
950442,safe
844769,safe
41919,safe
684404,unhealthy for sensitive groups
1120261,safe
1098956,safe
46621,unhealthy for sensitive groups
1128237,safe
1001977,safe
478142,safe
8280,safe
1148513,safe
1079322,safe
1020604,safe
548575,safe
857175,safe
1146729,safe
595185,safe
340219,safe
160229,safe
956178,safe
201085,safe
1081469,unhealthy for sensitive groups
702,safe
195492,safe
1091907,unhealthy for sensitive groups
33624,safe
1141585,safe
682123,safe
77592,unhealthy for sensitive groups
193177,safe
741233,safe
956921,unhealthy for sensitive groups
153369,unhealthy for sensitive groups
1028677,safe
663405,safe
821509,safe
1072469,safe
503426,safe
653021,safe
40626,safe
999863,safe
1036091,unhealthy for sensitive groups
1113776,safe
36153,safe
919858,safe
1118857,safe
366629,unhealthy for sensitive groups
1008227,safe
656860,unhealthy for sensitive groups
188948,safe
1139115,safe
999656,safe
32589,safe
416810,unhealthy for sensitive groups
249814,safe
355799,safe
1149195,safe
1032568,safe
814525,safe
1151595,safe
11835,safe
1069318,unhealthy for sensitive groups
593944,safe
76573,safe
942207,unhealthy for sensitive groups
212728,safe
422022,safe
32679,safe
486514,unhealthy for sensitive groups
1142190,safe
551773,safe
234145,unhealthy for sensitive groups
1100133,safe
482873,unhealthy for sensitive groups
590261,safe
186983,safe
1044557,safe
288138,unhealthy for sensitive groups
822040,safe
523494,unhealthy for sensitive groups
705027,safe
1036552,safe
326353,unhealthy for sensitive groups
1038702,safe
922340,safe
857597,unhealthy for sensitive groups
286659,unhealthy for sensitive groups
633255,safe
21888,safe
556460,safe
1002661,safe
768732,safe
23958,safe
300964,unhealthy for sensitive groups
1113175,safe
285517,safe
368279,safe
776396,safe
491956,safe
889374,safe
784406,safe
1020483,unhealthy for sensitive groups
487650,safe
531,safe
433520,safe
1080494,unhealthy for sensitive groups
914641,safe
853355,safe
295435,safe
991265,safe
443191,safe
111904,safe
822365,safe
271929,safe
1121527,safe
41691,safe
10998,safe
1089632,unhealthy for sensitive groups
63960,safe
207743,safe
509011,safe
646340,safe
526389,safe
1136777,safe
608065,safe
363388,safe
473032,safe
907568,safe
161633,unhealthy for sensitive groups
26451,safe
631026,unhealthy for sensitive groups
162294,unhealthy for sensitive groups
22338,safe
946029,safe
594810,safe
1028667,safe
180730,safe
375401,safe
953530,safe
255624,safe
1071728,safe
1062241,safe
1005515,unhealthy for sensitive groups
910020,safe
1048493,unhealthy for sensitive groups
1131965,safe
1065683,safe
1001494,unhealthy for sensitive groups
689170,safe
761405,safe
845923,safe
1165577,safe
1064612,safe
809048,unhealthy for sensitive groups
519882,safe
342282,safe
1059273,safe
35676,safe
40329,safe
292067,unhealthy for sensitive groups
729421,safe
543350,safe
316376,safe
302483,unhealthy for sensitive groups
15804,safe
1007232,unhealthy for sensitive groups
856858,safe
1040368,unhealthy for sensitive groups
874308,safe
415023,safe
1000682,safe
585841,safe
76963,unhealthy for sensitive groups
958555,safe
1056789,safe
1155397,safe
1073156,safe
16731,safe
237656,unhealthy for sensitive groups
899734,safe
15534,unhealthy for sensitive groups
19953,unhealthy for sensitive groups
715287,safe
70858,safe
960820,unhealthy for sensitive groups
264998,safe
854560,safe
972848,unhealthy for sensitive groups
911510,safe
6291,safe
717895,safe
1133754,safe
328778,safe
563516,unhealthy for sensitive groups
1110008,safe
401067,unhealthy for sensitive groups
1059543,safe
1063713,unhealthy for sensitive groups
1011200,safe
889849,safe
1039057,unhealthy for sensitive groups
506832,safe
221861,unhealthy for sensitive groups
537329,safe
1051604,unhealthy for sensitive groups
1002380,safe
624819,safe
778740,safe
866172,safe
1001790,safe
684047,safe
888309,safe
888391,safe
240840,safe
764645,safe
267091,unhealthy for sensitive groups
165765,safe
298475,unhealthy for sensitive groups
133500,safe
41640,safe
318351,safe
13014,safe
939374,safe
13248,safe
301063,unhealthy for sensitive groups
411264,safe
1123270,safe
520351,safe
329322,unhealthy for sensitive groups
65177,unhealthy for sensitive groups
183968,unhealthy for sensitive groups
1066553,safe
841479,safe
1119328,safe
29502,safe
606114,unhealthy for sensitive groups
1094612,safe
1148037,safe
87283,safe
918545,safe
985635,safe
400365,safe
1120464,safe
452385,safe
560217,unhealthy for sensitive groups
786543,safe
452426,safe
37989,safe
1001647,unhealthy for sensitive groups
822414,safe
31374,safe
1110941,unhealthy for sensitive groups
778179,safe
106116,safe
726781,safe
819306,safe
383899,unhealthy for sensitive groups
1007686,unhealthy for sensitive groups
1137681,safe
1002652,safe
20934,safe
651569,safe
537952,safe
458462,safe
1048883,safe
771161,safe
437679,safe
649661,unhealthy for sensitive groups
842779,safe
551232,unhealthy for sensitive groups
13392,safe
1111459,safe
41811,safe
978170,safe
591355,safe
1024913,safe
826904,safe
795314,safe
1091112,safe
1078688,safe
734141,unhealthy for sensitive groups
3339,safe
1020474,safe
270835,safe
755417,unhealthy for sensitive groups
888070,unhealthy for sensitive groups
463858,safe
266384,unhealthy for sensitive groups
583132,unhealthy for sensitive groups
842778,safe
147587,safe
188083,safe
10152,safe
640724,safe
625314,safe
1035090,safe
687361,safe
493525,unhealthy for sensitive groups
1155985,safe
544722,safe
809150,unhealthy for sensitive groups
1019665,safe
97270,unhealthy for sensitive groups
480112,unhealthy for sensitive groups
12789,safe
296835,unhealthy for sensitive groups
75404,safe
6318,safe
399365,safe
469602,safe
382619,safe
665652,unhealthy for sensitive groups
999136,safe
436358,safe
64171,safe
800237,safe
375241,unhealthy for sensitive groups
1084549,safe
452174,safe
307582,unhealthy for sensitive groups
1037266,unhealthy for sensitive groups
663084,safe
901187,safe
810491,safe
249301,safe
400732,unhealthy for sensitive groups
63203,safe
832522,safe
346218,safe
401947,safe
13716,safe
849452,safe
792575,safe
237932,unhealthy for sensitive groups
874953,unhealthy for sensitive groups
900582,safe
18738,safe
237330,unhealthy for sensitive groups
719297,safe
717846,safe
1148538,safe
1054639,safe
763000,safe
711483,safe
13833,safe
840366,safe
988931,unhealthy for sensitive groups
417122,safe
29862,safe
760575,safe
893788,safe
890288,safe
1072434,safe
111260,safe
1002791,safe
242838,unhealthy for sensitive groups
388070,safe
211165,safe
398130,safe
1009990,unhealthy for sensitive groups
549856,unhealthy for sensitive groups
35307,safe
39069,safe
438490,safe
778065,safe
873067,safe
5922,safe
1084759,unhealthy for sensitive groups
998028,safe
249691,safe
439961,safe
682655,safe
747448,safe
17235,safe
1140622,safe
590124,safe
1151876,safe
613165,safe
20772,safe
561048,unhealthy for sensitive groups
675880,unhealthy for sensitive groups
718635,safe
1101329,unhealthy for sensitive groups
1084044,safe
1022633,safe
610361,safe
1053671,safe
321417,unhealthy for sensitive groups
499778,safe
577729,unhealthy for sensitive groups
674611,unhealthy for sensitive groups
1148939,safe
944046,safe
1105688,unhealthy for sensitive groups
1063166,unhealthy for sensitive groups
1093837,safe
134758,unhealthy for sensitive groups
808999,unhealthy for sensitive groups
7146,safe
885874,unhealthy for sensitive groups
820164,safe
1022869,unhealthy for sensitive groups
15831,safe
1105610,safe
71621,safe
1010556,safe
979027,safe
18054,safe
328240,unhealthy for sensitive groups
1165427,safe
499142,safe
36729,safe
1123830,safe
1117959,safe
623116,safe
549,safe
69832,unhealthy for sensitive groups
293736,safe
531721,safe
9279,unhealthy for sensitive groups
684152,safe
503687,safe
1081329,unhealthy for sensitive groups
35352,safe
564745,safe
203031,safe
1112836,safe
998217,safe
1039697,unhealthy for sensitive groups
547630,safe
1118212,safe
406481,safe
407248,safe
843185,safe
1030908,safe
345588,safe
1000991,safe
1044017,safe
715506,safe
136867,safe
953163,safe
967693,safe
1125783,safe
81456,unhealthy for sensitive groups
257176,safe
497064,safe
736366,safe
541909,safe
171451,safe
469473,safe
23157,safe
1067620,safe
150555,safe
393781,safe
371974,unhealthy for sensitive groups
30798,safe
669822,safe
945334,safe
727005,safe
57537,unhealthy for sensitive groups
463015,safe
1079719,safe
892842,safe
947217,safe
