,aqi_pm10
42152,safe
39918,safe
159,safe
20714,safe
29598,safe
168670,safe
149970,safe
100293,safe
56425,safe
1366,safe
105433,safe
54920,safe
944,safe
2919,safe
152870,safe
84598,safe
446,safe
118817,safe
23182,safe
229,safe
334,safe
161445,safe
941,safe
49295,safe
74888,safe
98535,safe
3151,unhealthy for sensitive groups
54261,safe
133514,safe
606,safe
55152,safe
128142,safe
129897,safe
76365,safe
980,safe
114076,safe
137436,safe
5763,safe
84360,safe
1093,safe
169695,safe
161770,safe
121076,safe
63630,safe
22296,safe
66829,safe
338,safe
99390,safe
594,safe
43861,safe
20282,safe
724,safe
141670,safe
164870,unhealthy for sensitive groups
62898,safe
5424,safe
200,safe
46400,safe
137442,safe
367,safe
88752,safe
87778,safe
54216,safe
71444,safe
693,safe
69749,safe
114515,safe
124239,safe
151795,safe
129296,safe
71761,safe
160695,safe
24419,safe
892,safe
33493,unhealthy for sensitive groups
135066,unhealthy for sensitive groups
146670,safe
145745,safe
165245,safe
683,safe
98303,safe
137328,safe
324,safe
145620,safe
138070,safe
1037,safe
77772,safe
91072,safe
149645,safe
145995,safe
78896,safe
869,safe
34,safe
54627,safe
1005,unhealthy for sensitive groups
130466,safe
94219,safe
34689,safe
38856,safe
137315,safe
65816,safe
55457,safe
104006,safe
65512,safe
120361,safe
30965,safe
94594,safe
116172,safe
88275,safe
149,safe
143845,safe
81824,unhealthy for sensitive groups
155720,safe
131901,safe
21284,safe
13787,safe
39088,safe
135393,safe
166145,safe
1006,safe
90255,safe
98901,safe
14918,safe
74375,unhealthy for sensitive groups
28145,safe
56242,safe
214,safe
76231,safe
733,safe
153495,safe
984,safe
136945,safe
71261,unhealthy for sensitive groups
138595,safe
2514,safe
102149,safe
86,safe
597,safe
43397,unhealthy for sensitive groups
63,safe
3065,safe
85276,safe
127,safe
743,safe
601,safe
121726,safe
163920,safe
937,safe
104568,safe
37843,safe
144995,safe
99845,safe
124909,safe
63398,safe
47393,safe
140520,safe
499,safe
27792,safe
114,safe
244,safe
135005,safe
37782,safe
1101,safe
87302,safe
148895,safe
508,safe
130137,safe
18908,safe
402,safe
136541,safe
142745,safe
55127,safe
92306,safe
750,safe
153645,safe
80174,safe
850,safe
789,safe
142895,safe
675,safe
44642,safe
134933,safe
135975,safe
163645,safe
36470,safe
112924,safe
76159,safe
119987,safe
135587,safe
7634,safe
151245,safe
102623,safe
19594,safe
5571,safe
375,safe
517,safe
22704,safe
41410,safe
86616,unhealthy for sensitive groups
792,safe
71859,safe
15358,safe
532,safe
159895,safe
81066,safe
4298,safe
93673,safe
63316,safe
979,safe
14056,safe
50831,safe
25194,safe
35,safe
142645,safe
109475,safe
58777,safe
876,safe
127931,safe
132555,safe
101221,safe
66159,safe
38444,safe
95757,safe
170420,safe
163270,safe
1068,safe
137596,safe
149245,safe
71555,unhealthy for sensitive groups
95968,safe
184,safe
39836,safe
62934,safe
166370,safe
128382,safe
139470,safe
21130,safe
657,safe
43227,safe
47573,safe
751,safe
40431,safe
169220,safe
30184,safe
122457,safe
35188,safe
31991,safe
104353,safe
128906,safe
23528,safe
98926,safe
17657,safe
15930,safe
570,safe
107702,safe
67318,safe
11887,safe
32308,safe
335,safe
121361,safe
168620,safe
104300,safe
71029,safe
30749,safe
110253,safe
61146,safe
164720,safe
102976,unhealthy for sensitive groups
82824,safe
53883,safe
163595,safe
101747,safe
67525,safe
101185,safe
59721,safe
149570,safe
138420,safe
68201,safe
31210,safe
86600,safe
10176,safe
125997,safe
166195,safe
24263,safe
2661,safe
494,safe
27066,safe
34652,safe
29134,safe
66854,safe
33020,safe
16041,safe
975,safe
290,safe
139020,safe
58607,safe
69517,safe
105218,safe
10858,safe
115018,safe
141720,safe
89033,safe
72705,safe
75071,safe
13347,safe
100,safe
13029,safe
137707,unhealthy for sensitive groups
55,safe
3212,safe
29858,safe
116367,safe
80138,safe
132668,safe
129321,safe
114807,safe
137795,safe
3102,safe
41822,safe
90022,safe
142370,safe
98231,safe
21440,safe
68,safe
139995,safe
102927,unhealthy for sensitive groups
11152,safe
71777,safe
141070,safe
124568,safe
230,safe
26654,safe
55274,safe
120273,safe
1523,safe
134678,safe
24125,safe
57695,safe
109827,safe
79295,safe
93869,safe
112693,safe
97656,safe
137522,safe
4885,safe
102048,safe
23917,unhealthy for sensitive groups
122482,safe
96679,safe
247,safe
437,safe
91281,safe
222,safe
149870,safe
146395,safe
960,safe
137239,safe
145120,safe
144245,safe
1105,safe
149345,safe
913,safe
4,safe
312,safe
707,safe
1097,safe
1559,safe
33492,safe
157070,safe
163145,safe
115782,safe
73617,safe
157045,safe
22852,safe
110350,safe
119678,safe
137277,safe
60267,safe
100489,safe
158120,safe
41260,safe
55225,safe
48,safe
39124,safe
169270,safe
61244,safe
81481,safe
152670,safe
67550,safe
881,safe
38526,safe
371,safe
103077,safe
6252,safe
31344,safe
3785,unhealthy for sensitive groups
108325,safe
39588,safe
61940,unhealthy for sensitive groups
137372,safe
138820,safe
120760,safe
75669,safe
93235,safe
56474,safe
140670,safe
679,safe
84874,unhealthy for sensitive groups
137628,safe
132923,safe
12009,safe
14350,safe
157345,safe
58133,safe
44825,safe
118647,safe
329,safe
129783,safe
127638,safe
5408,safe
114832,safe
28609,safe
33797,safe
1644,safe
64610,safe
11826,safe
128187,unhealthy for sensitive groups
24309,safe
161,safe
107238,safe
92709,safe
58838,safe
114670,safe
26198,safe
117004,safe
157620,safe
22557,safe
101247,safe
138045,safe
131,safe
120991,safe
60842,safe
24567,safe
296,safe
146920,safe
155945,unhealthy for sensitive groups
150645,safe
26834,safe
5041,safe
56,safe
156070,safe
11740,safe
88801,unhealthy for sensitive groups
22333,safe
91157,safe
49259,safe
29403,safe
154195,safe
96829,safe
72946,safe
90477,safe
143095,safe
165995,safe
135163,safe
131682,safe
8360,safe
162370,safe
12622,safe
119873,safe
22450,safe
136735,safe
7204,unhealthy for sensitive groups
126777,safe
13140,safe
139120,safe
925,safe
140745,safe
89790,safe
128931,safe
102133,safe
137319,safe
19741,safe
40150,safe
113845,safe
59267,safe
52955,safe
145945,safe
19705,safe
116002,unhealthy for sensitive groups
151345,safe
13762,safe
345,safe
61806,safe
40565,safe
53114,safe
165145,safe
125786,safe
9491,safe
53993,safe
162245,safe
31576,safe
121433,safe
7010,safe
12182,unhealthy for sensitive groups
11247,safe
92245,safe
28475,safe
145320,safe
21811,unhealthy for sensitive groups
18614,safe
10868,safe
562,safe
84265,safe
226,safe
16204,safe
46913,safe
20705,safe
1066,safe
21664,safe
873,safe
144720,safe
59,safe
118006,safe
62681,safe
137300,safe
147545,safe
91317,safe
87436,safe
107898,safe
160470,safe
109791,safe
95943,safe
61992,safe
61538,safe
74545,safe
70699,safe
138945,safe
43495,unhealthy for sensitive groups
11446,safe
123421,safe
11594,safe
145195,safe
64619,safe
65084,safe
26508,safe
167395,safe
111655,safe
36506,safe
25868,unhealthy for sensitive groups
63594,safe
35348,safe
143720,safe
34310,safe
1350,safe
165195,safe
137995,safe
101051,safe
75535,safe
32040,safe
61891,safe
128126,safe
134924,safe
81432,safe
1103,safe
34921,safe
2488,safe
116587,safe
37466,safe
878,safe
117333,safe
151370,safe
79079,safe
138470,safe
6855,safe
136654,safe
22851,safe
122749,safe
12365,safe
45985,safe
74937,safe
96607,safe
144320,safe
70480,safe
83154,safe
98453,safe
101479,safe
91378,safe
40947,safe
8,safe
530,unhealthy for sensitive groups
2660,safe
159970,safe
38685,safe
140195,safe
140370,safe
155495,safe
76623,unhealthy for sensitive groups
64973,safe
144670,safe
137624,safe
18418,safe
140945,safe
156470,unhealthy for sensitive groups
150195,safe
489,safe
140145,safe
131876,safe
134633,safe
137660,safe
27697,safe
78432,safe
161245,safe
141470,safe
566,safe
45400,safe
93771,safe
132070,safe
4768,safe
166595,safe
167270,safe
360,safe
37746,safe
144470,safe
464,safe
504,safe
37186,safe
139195,safe
670,safe
133893,safe
70186,safe
2918,safe
163445,safe
168995,safe
26492,safe
40614,safe
20273,safe
110083,safe
125591,safe
52651,safe
34421,safe
155970,unhealthy for sensitive groups
133295,safe
86286,safe
462,safe
122863,safe
82873,safe
114385,safe
157370,safe
128727,safe
162345,safe
131064,safe
111415,safe
45351,safe
137500,safe
100440,safe
511,safe
137417,safe
129552,safe
54688,safe
150945,safe
17085,safe
117528,safe
81,safe
73251,safe
22695,safe
133805,safe
725,safe
32687,safe
144770,safe
159095,safe
126582,safe
73643,safe
158020,safe
1375,safe
32223,safe
40,safe
3056,safe
9466,safe
69919,safe
170,safe
69043,safe
167145,safe
14167,safe
33956,safe
148920,safe
143245,safe
47866,safe
80468,safe
41162,safe
61842,safe
135409,safe
20075,safe
156320,safe
18320,safe
4017,safe
55839,safe
875,safe
690,safe
840,safe
731,safe
116233,safe
137296,safe
148770,safe
18372,safe
26223,safe
64179,safe
130235,safe
69553,safe
168920,safe
104425,safe
64326,safe
150420,safe
13286,safe
43165,safe
9482,safe
153045,unhealthy for sensitive groups
40284,safe
482,safe
684,safe
757,safe
107872,safe
853,safe
576,safe
79259,safe
148845,safe
78441,safe
806,safe
366,safe
165395,safe
276,safe
44694,safe
33004,safe
61659,safe
141370,safe
123141,unhealthy for sensitive groups
27530,safe
78246,unhealthy for sensitive groups
47988,safe
38428,safe
165295,safe
15159,safe
57670,safe
113038,safe
91732,safe
108532,safe
120556,safe
53762,safe
695,safe
99622,safe
70444,safe
81582,safe
153945,safe
55591,safe
195,safe
7443,safe
139945,safe
165,safe
90327,safe
21700,safe
127566,safe
142520,safe
2955,safe
32076,safe
134148,safe
169820,safe
156170,safe
84813,safe
168495,safe
112498,safe
37336,safe
168545,safe
46583,safe
133065,safe
113047,safe
781,safe
22842,safe
167820,safe
26260,safe
139570,safe
138245,safe
681,safe
74228,safe
73874,safe
68417,safe
131973,safe
82458,safe
103810,safe
125120,safe
93689,safe
24410,safe
57402,safe
39846,safe
108496,safe
112339,safe
46315,safe
121482,safe
100086,safe
1050,safe
314,safe
65169,safe
90023,safe
75231,safe
65731,safe
149895,safe
74277,unhealthy for sensitive groups
218,safe
15110,safe
117771,safe
84314,safe
106150,safe
132264,safe
148370,safe
762,safe
121751,safe
8307,safe
53968,safe
108068,safe
159195,safe
68612,unhealthy for sensitive groups
98695,safe
265,safe
43299,safe
133841,safe
167570,safe
157895,safe
46681,safe
136266,safe
7719,safe
169945,safe
64094,safe
40248,safe
85639,safe
938,safe
123300,safe
97009,safe
11394,safe
141545,safe
152770,safe
114823,safe
130287,safe
87824,safe
998,unhealthy for sensitive groups
239,safe
27949,safe
460,safe
97277,safe
163470,safe
30099,safe
42969,safe
153395,safe
58606,safe
17242,safe
287,safe
40724,safe
3334,safe
140295,safe
81591,safe
1019,safe
610,safe
121888,safe
157595,safe
891,safe
20551,safe
137262,safe
34163,safe
141395,safe
303,safe
70931,safe
108826,safe
132677,unhealthy for sensitive groups
68820,safe
152745,safe
115538,safe
144970,safe
854,safe
25342,safe
167920,safe
15306,safe
96398,safe
59937,safe
162720,safe
51135,safe
50259,safe
38917,safe
32798,unhealthy for sensitive groups
51001,safe
104166,safe
61770,safe
78746,safe
144895,safe
48269,unhealthy for sensitive groups
206,safe
370,safe
160845,safe
92196,safe
18160,safe
160395,safe
20429,safe
15195,safe
9577,safe
93225,safe
166070,safe
492,safe
147770,safe
537,safe
40483,safe
686,safe
24901,safe
129702,safe
112081,safe
71957,safe
899,safe
53569,safe
759,safe
63764,safe
119012,safe
18381,safe
166520,safe
103969,safe
21994,safe
44520,safe
54921,safe
123372,safe
85286,unhealthy for sensitive groups
90376,safe
6277,safe
90487,safe
123645,safe
86103,safe
92307,safe
165420,safe
368,safe
163820,safe
7946,safe
93699,safe
150595,safe
763,safe
91915,safe
130271,safe
130773,safe
103078,safe
71127,safe
91683,safe
155870,safe
137220,safe
777,safe
78710,safe
44155,safe
52857,safe
66381,safe
59730,safe
918,safe
37551,safe
136056,safe
25929,safe
65486,safe
9201,unhealthy for sensitive groups
141570,safe
145295,safe
163195,safe
120572,safe
113809,safe
71322,safe
22010,safe
90987,safe
107666,safe
89549,safe
83618,unhealthy for sensitive groups
20568,safe
142920,safe
42802,safe
11309,safe
901,safe
71908,safe
59669,safe
125932,safe
66195,safe
141695,safe
480,safe
143420,safe
148820,safe
70212,safe
802,safe
0,safe
141420,safe
29341,safe
160195,safe
8271,unhealthy for sensitive groups
108780,safe
256,safe
157220,safe
73349,safe
80968,safe
155145,safe
12760,safe
81350,safe
4360,safe
41358,safe
161320,safe
3931,safe
136638,safe
112388,safe
151445,safe
85517,safe
52259,safe
101999,safe
31027,unhealthy for sensitive groups
34725,safe
84118,safe
134342,safe
126786,safe
1461,safe
48099,unhealthy for sensitive groups
96192,safe
76854,safe
144645,safe
146870,safe
114430,safe
111193,safe
95891,safe
4213,safe
49026,safe
34188,safe
129117,safe
70980,safe
89961,unhealthy for sensitive groups
70418,safe
35579,safe
61574,safe
162470,safe
161695,safe
241,safe
165695,safe
1039,safe
488,safe
17033,safe
165820,safe
782,safe
107228,safe
174,safe
137688,safe
106663,safe
166170,safe
19643,safe
25316,safe
126835,safe
126468,unhealthy for sensitive groups
1026,safe
44337,safe
43763,safe
23574,safe
80004,unhealthy for sensitive groups
100077,safe
21753,safe
161945,safe
108630,safe
46351,safe
55384,safe
68942,safe
73068,safe
157695,safe
126517,unhealthy for sensitive groups
158820,safe
14020,unhealthy for sensitive groups
12797,safe
678,safe
589,safe
19006,safe
109253,safe
663,safe
142345,safe
158870,safe
7145,safe
35322,safe
157545,safe
701,safe
42348,safe
135199,safe
73483,safe
125542,safe
137139,safe
603,unhealthy for sensitive groups
64195,safe
14902,safe
92297,safe
101005,safe
887,safe
154545,safe
46037,safe
159770,safe
119288,safe
128922,safe
28707,safe
989,safe
150545,safe
156920,safe
17572,safe
20283,safe
168570,safe
11888,safe
122677,safe
784,safe
29943,safe
86884,safe
4638,safe
49481,safe
77622,safe
153895,safe
9960,safe
170360,safe
124934,safe
70858,safe
122,safe
13192,safe
128321,safe
23512,safe
145820,safe
69275,safe
60352,safe
121556,safe
42,safe
53105,safe
140445,safe
58,safe
74509,safe
58839,safe
9492,safe
147720,safe
81298,unhealthy for sensitive groups
65,safe
101917,safe
958,safe
29671,safe
81360,safe
91182,safe
16,safe
25783,safe
147620,safe
1096,safe
86214,safe
29,safe
20026,safe
30526,unhealthy for sensitive groups
88019,unhealthy for sensitive groups
25084,safe
55385,safe
137692,safe
26407,safe
44557,safe
811,safe
130563,safe
107042,safe
147195,unhealthy for sensitive groups
91451,safe
20515,safe
389,safe
156895,safe
286,safe
52589,safe
152495,safe
140570,safe
82958,safe
860,safe
83288,safe
106088,safe
93271,safe
61073,safe
5225,safe
60963,safe
963,safe
131989,safe
61012,safe
156,safe
70859,safe
82641,safe
9,safe
19447,safe
22297,safe
112056,safe
21863,safe
158995,unhealthy for sensitive groups
153720,safe
107970,safe
170440,safe
111168,safe
41420,safe
135215,safe
119606,safe
68648,safe
12597,safe
61976,safe
32101,safe
18675,safe
46510,safe
119581,safe
85871,safe
38,safe
90693,safe
66793,unhealthy for sensitive groups
120653,safe
15367,safe
157745,safe
54578,safe
87677,safe
62290,safe
110520,safe
34823,unhealthy for sensitive groups
90425,safe
29599,unhealthy for sensitive groups
9099,safe
73849,safe
130861,safe
3066,unhealthy for sensitive groups
154420,safe
103199,safe
137637,safe
87132,safe
30294,safe
5078,safe
103737,safe
75927,safe
76329,safe
127992,safe
57983,safe
142095,safe
143020,safe
83886,safe
19496,safe
550,safe
110803,safe
105022,safe
119411,safe
21802,safe
1024,safe
115063,safe
24015,safe
15514,safe
36907,safe
166220,safe
52344,safe
43226,safe
32092,safe
768,safe
154245,safe
861,safe
852,safe
56758,safe
112153,safe
63862,safe
60584,safe
158170,safe
19704,safe
130482,safe
29207,safe
149395,safe
525,safe
719,safe
18382,safe
149795,safe
139620,safe
107836,safe
31406,unhealthy for sensitive groups
23234,safe
793,safe
168270,safe
124019,safe
74571,unhealthy for sensitive groups
635,safe
164820,safe
144395,safe
155620,safe
20466,safe
123132,safe
1043,safe
110852,safe
26736,safe
107310,safe
116968,safe
74757,safe
19107,safe
118378,safe
86677,safe
170320,safe
155045,safe
115258,unhealthy for sensitive groups
116038,unhealthy for sensitive groups
574,safe
153770,safe
1660,safe
111877,safe
145045,unhealthy for sensitive groups
5617,safe
94585,safe
19557,safe
16775,safe
68283,safe
35055,unhealthy for sensitive groups
3445,unhealthy for sensitive groups
114004,safe
90229,safe
141045,safe
143970,safe
169470,safe
108679,safe
133223,safe
440,safe
26553,safe
28438,safe
164745,safe
61769,safe
161020,safe
107434,safe
419,safe
170095,safe
44374,safe
26371,safe
107506,safe
554,safe
124779,safe
54395,safe
72018,safe
168095,safe
1067,unhealthy for sensitive groups
1018,safe
160445,safe
947,safe
68014,safe
26113,safe
721,safe
137423,safe
123177,safe
404,safe
43691,safe
85981,safe
163220,safe
3658,safe
149495,safe
463,safe
137448,safe
10287,safe
414,safe
53752,safe
283,safe
120377,safe
169070,safe
170415,safe
165120,safe
166920,safe
133505,safe
1081,safe
981,safe
94353,safe
18676,safe
168970,safe
71091,safe
14522,safe
9639,unhealthy for sensitive groups
165720,safe
107604,unhealthy for sensitive groups
66329,safe
307,safe
6608,safe
61760,safe
164995,safe
154220,safe
131804,safe
73,safe
78126,safe
156045,safe
108764,safe
165570,safe
51599,safe
159870,safe
92147,safe
739,safe
66280,safe
1021,safe
128711,safe
939,unhealthy for sensitive groups
69259,safe
137398,unhealthy for sensitive groups
9924,safe
54346,safe
518,safe
69406,safe
41590,safe
150170,safe
105650,safe
88141,unhealthy for sensitive groups
42750,unhealthy for sensitive groups
144745,safe
6121,safe
133586,safe
142495,safe
269,safe
4980,safe
12303,safe
95907,safe
27298,safe
28661,safe
137252,safe
109338,safe
30331,safe
160820,safe
145395,safe
25048,unhealthy for sensitive groups
137770,safe
117154,safe
755,safe
113491,safe
1,safe
44276,safe
132086,safe
158620,safe
18225,safe
24603,safe
101469,safe
971,safe
89497,safe
39373,safe
105881,safe
121141,safe
466,safe
61064,safe
113784,safe
98463,safe
153295,safe
83,safe
106345,safe
170345,safe
71591,safe
2857,unhealthy for sensitive groups
844,safe
14771,safe
134439,safe
133902,safe
124398,safe
137461,safe
114369,safe
445,safe
58195,safe
51527,safe
122554,safe
151845,safe
92977,safe
20404,safe
102097,safe
8186,unhealthy for sensitive groups
99,safe
194,safe
99231,safe
57304,safe
137650,safe
96362,safe
78005,safe
148320,safe
788,safe
203,safe
155170,safe
127212,safe
114190,safe
1902,unhealthy for sensitive groups
129881,safe
27396,safe
285,safe
162170,safe
32174,safe
56010,safe
143595,safe
822,unhealthy for sensitive groups
1046,safe
31396,safe
95040,safe
65279,safe
137716,unhealthy for sensitive groups
163095,safe
136751,safe
5372,unhealthy for sensitive groups
67025,safe
146020,safe
15661,safe
146845,safe
962,safe
69284,safe
668,safe
158570,safe
769,safe
21562,safe
1070,safe
168420,safe
36018,safe
63447,safe
112648,safe
94101,safe
122067,safe
3187,safe
82974,safe
23868,safe
21294,safe
110204,safe
75695,unhealthy for sensitive groups
77,safe
19349,safe
164220,safe
22186,safe
520,safe
25022,safe
7479,safe
100309,safe
746,safe
27975,safe
306,safe
128541,safe
69089,safe
150620,safe
74998,safe
131549,safe
36214,unhealthy for sensitive groups
14669,safe
82494,safe
138145,safe
97302,safe
76390,safe
156845,safe
112267,safe
107897,safe
676,safe
379,safe
30,safe
268,safe
121157,safe
20715,safe
160945,safe
96005,safe
51563,safe
139670,safe
41028,safe
118169,safe
586,safe
170245,safe
70443,safe
68247,safe
85175,safe
150820,safe
13055,safe
709,safe
59499,safe
6363,unhealthy for sensitive groups
79527,safe
78514,safe
148595,safe
920,safe
18712,safe
1033,safe
74339,unhealthy for sensitive groups
16628,safe
57170,safe
121352,safe
70382,safe
158520,safe
78905,safe
112202,safe
95720,safe
95024,safe
73865,safe
111861,safe
106284,safe
58875,safe
112462,safe
113455,safe
31173,safe
55840,safe
6803,unhealthy for sensitive groups
1010,safe
836,safe
47867,unhealthy for sensitive groups
49661,unhealthy for sensitive groups
814,safe
130676,safe
137480,safe
318,safe
32370,safe
144220,safe
26663,safe
99829,safe
618,safe
111083,safe
148695,safe
23659,safe
89265,safe
156420,safe
74692,safe
47,safe
927,safe
58097,safe
156445,safe
42237,safe
24420,safe
58829,safe
15048,safe
60841,safe
170425,safe
507,safe
149820,safe
142,safe
84033,safe
186,safe
96875,safe
105012,safe
906,safe
92379,safe
66744,safe
42116,safe
114953,safe
160620,safe
4894,safe
86652,safe
143520,safe
163295,safe
37515,safe
87958,safe
166245,safe
12993,safe
46501,safe
20751,safe
54529,safe
80663,safe
73715,safe
163345,safe
96313,safe
34653,safe
163970,safe
168195,safe
16791,safe
27249,safe
68673,safe
17804,safe
87628,safe
139695,safe
127167,safe
51758,safe
152120,safe
127176,safe
111229,safe
146270,safe
87347,safe
6985,safe
104,safe
159745,safe
111314,safe
322,safe
31112,safe
105290,safe
14229,unhealthy for sensitive groups
118055,safe
97888,safe
159245,safe
162045,safe
90719,safe
141495,safe
51759,safe
131407,safe
60548,safe
68811,safe
25332,safe
349,safe
66512,safe
120581,safe
116074,unhealthy for sensitive groups
162745,safe
59257,safe
119216,safe
149195,safe
50308,safe
91610,safe
96777,safe
126221,safe
18098,safe
163320,safe
44410,safe
154,safe
139895,safe
6314,safe
80200,safe
148495,safe
105217,safe
25672,safe
60368,safe
16592,safe
31694,safe
526,safe
31246,safe
77025,safe
149770,safe
132167,safe
130101,safe
169645,safe
31174,safe
108594,safe
161645,safe
36250,safe
160920,safe
141170,safe
54679,safe
79942,safe
150095,safe
140620,safe
619,safe
55143,safe
13493,safe
24394,safe
1229,unhealthy for sensitive groups
51063,safe
70895,safe
15946,safe
50357,safe
167,safe
132361,safe
472,safe
113419,safe
145870,safe
159645,safe
155545,safe
64826,safe
45851,safe
84359,safe
22,safe
113605,safe
6020,unhealthy for sensitive groups
25427,safe
6131,safe
8324,unhealthy for sensitive groups
117674,safe
11299,safe
111922,safe
20898,safe
135923,safe
152995,safe
15747,safe
125201,safe
62620,safe
73401,safe
12944,safe
11430,safe
612,safe
76149,safe
137290,safe
33029,unhealthy for sensitive groups
396,safe
10611,safe
43923,unhealthy for sensitive groups
54225,safe
84144,safe
136699,safe
114645,safe
135729,safe
130332,safe
23133,safe
8737,safe
7909,safe
137845,safe
152445,safe
151195,safe
481,safe
68893,safe
27200,safe
58463,safe
40300,safe
66427,safe
500,safe
166345,safe
493,safe
72921,safe
90718,safe
59071,safe
92761,safe
46279,safe
917,safe
72885,safe
148170,safe
22150,safe
47377,safe
94631,safe
4601,safe
14523,safe
1072,safe
70016,safe
92111,safe
103309,safe
30465,safe
29805,safe
126,safe
119971,safe
423,safe
68005,safe
155345,safe
39150,safe
137656,safe
155120,safe
137490,safe
4115,unhealthy for sensitive groups
31870,safe
85492,safe
64387,safe
17379,safe
79161,safe
27974,safe
50770,safe
101246,safe
166020,safe
148020,safe
2909,safe
53053,safe
84143,safe
955,safe
101710,safe
1020,safe
105872,safe
135312,safe
122408,safe
155220,safe
65047,safe
153795,safe
32565,safe
1084,safe
38062,safe
11924,safe
21579,safe
64277,safe
134290,safe
104593,safe
50624,safe
28670,safe
19679,safe
157120,safe
95272,safe
146145,safe
71081,safe
151595,safe
148270,safe
76793,safe
165595,safe
47096,safe
292,safe
99597,safe
159795,safe
133877,safe
83680,safe
33467,safe
81798,safe
15,safe
136444,safe
101368,safe
147020,safe
164770,safe
164070,safe
114661,safe
74561,safe
137545,safe
160795,safe
20852,safe
37345,safe
27965,safe
21615,safe
98462,safe
91183,safe
149470,safe
43665,safe
1042,safe
982,safe
50588,safe
67087,safe
120946,safe
137487,safe
17241,safe
137395,safe
24754,safe
28429,safe
38758,safe
83484,safe
119447,safe
549,safe
61378,safe
113650,safe
76427,safe
137184,safe
80638,safe
75463,unhealthy for sensitive groups
55555,safe
91,safe
156295,safe
156795,safe
61476,safe
167770,safe
260,safe
23538,safe
9638,safe
103300,safe
9381,safe
55823,safe
91500,safe
158370,safe
159470,safe
108264,safe
1816,safe
137338,safe
162770,safe
673,safe
116428,safe
4069,safe
141220,safe
151420,safe
143220,safe
35107,safe
118914,safe
164,safe
18234,safe
140895,safe
48867,safe
51697,safe
49490,safe
63728,safe
115343,safe
91647,safe
165520,safe
98865,safe
47475,safe
123067,safe
43201,safe
65918,safe
116197,safe
161520,safe
20983,safe
76280,safe
148945,safe
395,safe
41956,safe
166645,safe
149720,safe
137474,safe
169145,safe
53517,safe
146595,safe
168070,safe
133029,safe
101087,safe
34420,safe
159545,safe
103944,safe
2367,safe
79967,safe
110937,safe
84777,safe
73411,safe
87909,safe
135596,safe
154345,safe
65990,safe
137404,unhealthy for sensitive groups
15600,safe
111630,safe
155,safe
151470,safe
132248,safe
29109,safe
141020,safe
50867,safe
148220,safe
158745,safe
137720,safe
88203,safe
546,safe
426,safe
39784,safe
136832,safe
528,safe
145545,safe
53410,safe
119792,safe
154795,safe
8048,unhealthy for sensitive groups
84216,safe
168720,safe
71212,safe
131646,safe
132034,safe
134229,safe
82030,safe
160970,safe
148795,safe
45485,safe
76391,safe
