,ozone
31603,42.0
15012,44.00000000000001
29770,30.0
2973,26.0
32138,32.0
8441,37.00000000000001
11413,40.0
25211,30.0
3479,50.0
14304,44.00000000000001
6914,52.00000000000001
14987,46.0
6948,40.99999999999999
12116,38.0
23229,29.0
22794,52.00000000000001
4992,36.00000000000001
25531,53.0
27265,31.0
9062,54.00000000000001
33581,34.0
10557,24.0
19479,31.0
17679,24.0
14801,22.0
10809,18.0
774,18.0
14697,22.0
13174,38.0
658,24.0
18693,28.0
30944,35.0
17853,40.0
20488,21.0
119,67.0
21413,40.0
3331,49.0
328,27.0
18499,47.0
25688,69.0
20327,70.0
1012,50.0
22050,40.0
26829,19.0
24825,42.0
17405,44.00000000000001
27831,52.00000000000001
22093,46.0
28292,25.0
8547,43.0
23950,49.0
33424,44.00000000000001
34499,43.0
16257,40.0
21836,42.0
19059,29.0
18283,14.0
6922,63.0
1493,35.0
14915,45.0
28952,40.0
14689,29.0
32513,46.0
30169,49.0
33550,44.00000000000001
11574,63.0
16667,14.0
8985,49.0
28273,33.0
3827,46.0
11991,62.0
15318,42.0
20344,33.0
22277,21.0
4016,47.0
4104,32.0
9421,24.0
10133,17.0
32640,25.0
14259,30.0
12874,29.0
3300,46.0
8709,40.99999999999999
21654,36.00000000000001
26481,21.0
6877,47.0
21721,33.0
26091,20.0
2196,36.00000000000001
26359,20.0
14794,36.00000000000001
25333,19.0
27336,37.00000000000001
3338,25.0
12960,33.0
19388,21.0
29621,37.00000000000001
15402,48.0
9972,62.0
8513,35.0
2990,43.0
7922,9.000000000000002
3502,23.0
20689,18.0
1930,43.0
5248,30.0
8558,21.0
16233,19.0
8001,45.0
11463,23.0
18592,33.0
34875,21.0
22607,22.0
2192,26.0
13083,25.0
26024,19.0
1894,55.99999999999999
1145,34.0
18001,17.0
5249,27.0
13351,64.0
8938,31.0
18132,18.0
1539,47.0
27934,54.00000000000001
750,36.00000000000001
15620,15.0
21388,42.0
6169,40.99999999999999
20057,34.0
25817,53.0
10921,36.00000000000001
31989,100.0
25401,52.00000000000001
183,17.0
34801,54.00000000000001
16838,44.00000000000001
8732,32.0
30847,23.0
23431,31.0
9623,34.0
19336,21.0
18937,29.0
8162,30.0
7886,21.0
33819,37.00000000000001
10422,36.00000000000001
30993,57.0
24324,17.0
2957,46.0
1097,18.0
1490,28.0
12019,47.0
15496,36.00000000000001
13687,21.0
4674,52.00000000000001
18008,24.0
29100,29.0
7169,37.00000000000001
32717,25.0
1739,33.0
19806,85.0
22363,27.0
465,31.0
23698,66.0
18980,12.0
9951,55.0
16411,20.0
306,43.0
16323,13.0
12797,30.0
26620,32.0
33339,29.0
2113,34.0
8986,48.0
27478,37.00000000000001
26199,21.0
20228,44.00000000000001
28151,19.0
11273,64.0
3324,53.0
20072,23.0
18895,26.0
27054,36.00000000000001
373,50.0
32572,33.0
23353,23.0
6680,31.0
7287,33.0
22926,40.0
20356,21.0
7138,54.00000000000001
5251,26.0
27288,29.0
17578,53.0
31754,31.0
11610,28.0
34542,39.0
21021,26.0
33158,26.0
22851,35.0
33941,43.0
29652,29.0
13996,16.0
31858,37.00000000000001
26167,24.0
27487,12.0
17778,40.0
31542,40.0
28987,28.0
15682,52.00000000000001
10158,46.0
20456,64.0
4651,43.0
34585,37.00000000000001
11833,44.00000000000001
11906,66.0
32375,28.0
3024,43.0
699,42.0
6,33.0
18848,16.0
24335,16.0
1018,38.0
24438,52.00000000000001
21568,45.0
15337,44.00000000000001
2678,27.0
30958,60.0
24547,26.0
12285,35.0
12335,31.0
21492,38.0
7829,47.0
17228,42.0
33374,66.0
9036,45.0
29060,23.0
17969,40.0
12742,20.0
19870,26.0
22247,36.00000000000001
27325,34.0
23540,36.00000000000001
29084,35.0
1282,25.0
34863,31.0
18054,27.0
2278,44.00000000000001
13951,24.0
2230,45.0
11207,59.00000000000001
28675,24.0
12539,29.0
20934,32.0
27214,31.0
26259,36.00000000000001
3001,35.0
24334,23.0
24342,44.00000000000001
32220,37.00000000000001
31360,30.0
5223,22.0
22475,66.0
28930,30.0
7404,35.0
26969,25.0
22081,40.0
3629,10.0
