,no2
552540,13.1
899856,24.9
792195,18.0
235545,16.3
879966,17.2
213066,29.2
420601,15.0
486022,13.1
373323,15.1
88759,35.0
690466,21.3
887891,6.3
634405,22.6
940678,49.1
183070,34.3
779826,8.0
159054,14.6
212144,39.1
689453,32.4
705132,27.6
615542,4.5
506423,5.8
659416,23.4
858962,35.8
700704,9.0
62484,16.0
490637,4.1
832823,16.5
112326,23.4
324003,7.8
443672,7.2
548136,35.6
692320,9.8
19206,5.8
3483,10.5
799973,11.0
850609,28.4
402267,11.6
821264,1.7
537219,60.0
549375,2.1
926276,44.2
793267,12.3
68388,42.0
469451,19.8
318718,13.0
944701,43.2
145132,3.8
170247,14.5
134939,4.0
218804,24.7
210901,26.1
22860,1.2
364616,7.4
336414,24.0
522798,35.1
796116,23.9
886134,5.4
894848,21.2
483509,32.0
992629,43.7
17874,10.0
462572,9.9
288377,32.8
961081,28.9
726793,5.7
971348,20.1
482030,32.8
47084,23.0
402370,18.7
505096,4.4
579123,23.0
586741,17.9
1034024,29.1
177469,7.2
776581,16.0
1033466,22.6
860310,19.9
148527,17.1
951253,18.9
913898,13.0
9810,7.2
42297,44.0
972385,7.8
92119,9.0
777144,5.0
978754,23.3
548796,8.1
1044717,12.6
49421,2.0
286007,50.9
27666,7.4
932909,19.8
752364,13.3
346229,32.3
88600,55.0
225361,23.4
660763,9.0
341188,9.9
192592,8.3
517191,11.5
765584,53.0
1036478,4.2
642054,44.1
133762,13.4
942530,25.6
1020437,38.1
707125,15.3
736478,8.8
888980,9.1
542273,5.0
69302,16.0
12141,3.3
193743,16.4
722179,1.1
540636,4.2
502407,4.9
932045,6.4
556515,2.4
801791,11.3
1002323,8.3
803854,9.9
305845,25.2
498440,9.4
967196,20.4
740920,21.1
990426,21.8
665215,34.5
319830,6.2
736491,8.1
116074,10.5
952867,38.8
252950,23.8
222519,41.7
83901,28.0
810351,43.3
594378,11.9
626485,34.7
432222,15.2
877266,36.7
618637,5.4
404867,18.6
174279,31.6
57485,36.0
393869,9.3
460100,36.3
655189,6.9
842484,8.8
520396,13.7
189707,3.0
682485,8.8
989841,5.2
286346,34.8
351381,25.8
216403,45.9
855963,23.1
118723,18.6
118296,3.4
204125,8.2
529257,9.8
462901,26.8
88239,7.0
494883,12.5
99474,11.5
261708,40.2
35334,4.1
763937,5.5
762003,17.2
614592,8.1
472634,27.5
328115,13.6
313786,24.0
443069,9.1
9828,4.4
659374,14.9
718280,25.8
929126,7.9
15192,4.8
461514,29.7
23283,15.5
428129,22.3
424732,43.1
480514,13.3
227322,32.2
194271,22.7
81528,33.0
640862,6.9
52208,7.0
500584,5.9
419919,7.4
759212,32.8
667668,0.7
678527,18.2
556684,8.6
594571,22.1
589777,34.7
646148,23.1
24687,11.8
709672,28.8
537694,10.0
868178,21.1
880873,8.9
662611,2.1
1023076,20.0
830638,18.1
601220,15.7
1019472,11.2
477797,17.4
341491,18.5
763898,36.8
487827,18.4
111069,46.0
249437,13.9
902699,6.6
535529,2.3
855686,5.9
966548,42.0
477448,4.1
526176,13.9
119858,11.1
130070,10.8
913356,9.4
1485,6.0
788418,5.7
936316,5.9
756268,36.9
877426,42.0
463244,9.5
250540,16.9
761096,11.6
989760,6.5
259278,15.8
653850,0.6
53088,14.0
342543,18.7
379225,20.9
963477,26.1
1038222,10.1
699503,19.6
800065,7.4
583257,27.1
436613,12.2
114383,3.3
163454,25.7
759236,24.9
4077,1.9
30276,16.0
699465,9.4
828068,16.7
235019,5.7
760366,3.8
503604,10.9
228164,36.7
1044930,4.3
58696,12.0
847701,27.6
715556,11.5
38837,44.0
904220,9.6
614053,29.7
45693,19.0
740785,11.5
456934,21.3
263058,12.2
536883,27.4
894940,26.2
334417,11.4
336238,31.0
417820,32.7
1021272,5.4
123351,30.0
97462,49.7
933514,12.1
110274,24.0
1007156,12.0
15336,5.2
710238,21.2
537530,32.8
342264,13.5
536719,25.3
387611,17.5
812842,39.4
1018756,30.8
7497,7.3
118177,4.8
141899,28.8
162817,30.7
406236,22.4
687052,13.7
6993,0.9
114666,7.0
64547,13.0
975220,29.3
467730,11.3
879903,12.3
574339,13.5
815816,69.8
520400,3.6
782111,8.0
92631,29.2
40536,20.0
703929,18.9
23616,33.3
617998,5.1
797300,6.8
1019798,16.6
515540,36.7
940610,37.0
153366,25.4
7290,3.1
473503,54.0
622763,34.1
969793,23.3
23697,20.9
19134,0.8
601383,18.0
387801,12.1
58067,15.0
745822,25.3
799569,11.9
904085,12.9
249061,6.3
429190,7.6
817139,8.4
953427,0.4
1002107,39.9
824854,16.7
120998,30.0
732477,18.5
962613,18.9
49787,14.0
1002010,40.0
462538,19.3
246783,6.5
760295,7.0
630897,24.2
961758,8.6
1023907,33.6
694627,13.0
261289,11.3
614071,22.9
447137,1.9
4563,3.2
463056,10.5
482819,27.0
1027180,36.6
128920,14.3
735495,2.2
35811,7.2
757627,39.2
577847,20.8
139615,36.6
878270,30.8
1012941,2.9
1045275,21.9
1009191,5.0
969746,29.9
924716,11.4
494950,8.6
16803,20.0
760328,6.4
598900,10.6
714977,10.0
566553,1.5
556549,6.3
727050,12.7
160286,36.5
81438,55.0
583763,36.9
614693,2.8
317943,5.0
1046779,11.9
972673,28.4
698408,26.5
1013452,11.0
494937,3.4
128032,21.9
920587,23.1
29763,8.7
21006,16.1
390451,8.7
250502,20.0
263418,14.2
9270,8.1
105686,13.0
331455,35.4
139778,12.3
363340,10.9
356647,43.8
849515,8.2
35793,25.3
202677,7.7
452129,13.2
449558,4.6
206920,36.2
496193,4.6
634121,4.3
234676,11.5
195651,12.6
619622,11.3
34380,1.5
710357,17.8
78784,24.0
709668,15.2
431673,25.6
1038548,4.3
14832,1.3
474462,11.8
670429,6.7
379179,6.2
697572,32.9
29142,8.8
207145,50.8
258000,4.4
635964,17.4
20007,25.5
416780,26.7
556786,5.7
512649,8.2
661460,18.7
760480,39.1
413587,15.5
19665,14.9
491276,3.5
76687,7.0
955742,35.3
964431,18.8
368347,20.4
350744,37.8
660931,18.8
177718,12.2
265657,30.6
88751,38.0
759179,24.2
907387,21.1
707845,13.1
547633,21.2
32085,1.1
713036,13.6
666731,8.7
639053,36.7
481829,36.3
762361,12.1
848520,30.2
462222,31.9
946051,26.3
555720,36.5
346888,18.5
442265,13.2
602242,27.7
839229,14.6
637597,45.1
228842,23.7
377820,2.3
644390,18.5
30915,1.2
906005,39.8
259212,7.0
399422,23.9
44982,30.0
716297,25.5
445732,15.2
611492,8.7
643420,24.5
524824,14.4
152649,8.0
990905,37.1
1045167,5.1
496371,26.0
284788,34.1
673229,6.4
1440,2.0
536567,37.9
817366,53.7
150263,28.5
917404,17.8
533580,38.4
915323,11.0
15093,7.1
715264,15.0
655394,13.1
284869,20.3
882642,8.3
346699,8.8
536669,19.1
151546,8.1
261993,9.5
746761,16.8
674968,31.3
97827,27.0
366782,23.1
966976,18.0
117034,3.7
769200,8.0
266655,10.8
625866,31.0
413816,17.7
32373,2.7
523692,4.4
212124,32.5
1010797,11.4
684060,37.3
654567,45.3
1046084,13.8
880650,15.5
231475,53.2
225713,42.6
203336,41.0
322264,7.0
990210,6.7
212075,24.1
17496,31.0
1016576,24.4
869854,11.5
585783,24.0
188734,2.8
376775,22.4
540399,15.3
632687,50.2
857164,19.9
1002935,19.1
730527,10.3
675115,11.4
474621,25.2
267859,22.0
160647,24.0
83557,50.0
36387,8.6
15264,4.1
845688,8.8
951055,19.2
1045362,8.0
31140,2.4
723829,5.9
874978,22.1
152000,52.1
213667,9.2
735562,7.7
681834,19.4
492601,3.0
730165,9.1
573216,9.4
313643,17.5
800754,12.2
695110,18.3
334274,53.2
1014936,0.1
769944,30.0
418152,8.9
52580,5.0
917845,3.9
705761,9.1
1003734,19.9
792816,35.0
346536,30.7
423286,21.7
975996,9.7
45289,44.0
973245,36.4
757056,12.0
286745,31.3
89559,8.0
343278,18.1
364495,14.8
383925,3.5
1044429,29.6
967005,32.1
665862,14.4
10440,13.0
269915,15.2
325822,15.4
1004535,0.5
597930,37.4
406649,33.4
141589,26.1
975789,7.9
859495,43.4
636374,14.2
899890,25.4
739781,20.9
950864,39.5
992086,36.3
753623,4.3
1029251,2.5
876976,2.0
103551,44.8
687212,8.8
913923,13.5
400180,24.0
619223,6.7
1046709,28.2
252581,6.7
7515,2.7
422849,17.1
793611,37.0
965358,5.7
624102,6.9
248533,7.4
514929,28.8
184591,8.9
435079,6.9
374087,10.5
916714,6.6
51105,15.0
747012,5.3
460791,8.0
467468,32.3
688155,6.5
163815,38.7
633092,13.9
748356,29.5
297837,35.3
472092,37.1
487288,9.5
484533,37.3
938603,18.1
635902,8.6
580964,37.9
699969,6.9
704796,34.4
605846,14.3
735390,5.0
944215,61.8
4032,1.2
251202,4.4
666698,7.1
715983,15.2
39999,22.0
268695,11.8
464618,40.7
499620,4.4
309697,37.7
970610,45.1
761051,24.8
639788,14.9
867897,12.7
28593,6.1
895154,6.1
17856,14.5
305468,13.7
759417,7.1
525086,28.0
343618,35.3
502088,8.1
955382,19.4
499983,7.5
874843,12.1
219893,21.0
976509,15.2
45087,20.0
396544,17.1
763172,13.2
902548,43.3
74666,24.0
905316,7.5
856685,8.8
261461,2.8
304778,21.9
582735,24.7
163982,69.0
13815,3.6
391331,35.2
736780,15.6
606485,21.1
985218,9.7
190962,4.1
759587,20.5
114786,39.4
309713,41.7
288463,40.2
854921,15.9
892231,13.9
451809,7.1
991878,16.1
29367,13.0
185115,5.2
896633,19.6
758920,36.8
762951,3.0
606667,21.0
1033639,16.5
1041203,36.7
599274,7.4
348389,10.7
126651,10.0
420998,34.3
467746,19.8
769301,30.0
471441,1.9
356676,44.6
718768,27.5
932155,3.7
747314,21.9
818173,26.7
236409,12.6
103088,25.0
400289,15.7
580047,5.8
209688,8.7
880479,39.9
177740,11.8
288145,43.7
490220,21.6
154887,9.9
624311,6.6
961792,7.2
477675,34.6
260440,11.7
203274,17.0
30438,3.7
199632,44.8
763134,6.7
642793,23.0
113529,24.0
31077,12.9
523462,25.2
90868,22.0
763870,38.2
371860,3.6
660879,41.8
147215,17.1
1045053,28.1
957986,11.7
36726,7.2
252246,7.4
540287,18.8
382747,3.7
488999,24.8
605460,20.9
952100,37.8
343895,2.4
458919,34.6
298845,19.5
331775,13.4
523545,10.2
810032,34.4
921213,23.1
878857,5.5
428780,52.3
487958,25.0
22509,0.8
459036,40.9
1035072,10.0
901936,18.2
716180,30.6
93610,17.3
527288,13.9
451425,19.6
785662,9.9
962287,1.4
962800,5.7
602786,1.8
241759,11.3
276166,18.6
112267,16.9
516523,17.7
794338,2.3
640481,6.2
119213,15.0
875066,14.2
212195,27.3
41937,21.0
840748,2.3
375009,3.2
105759,27.6
506938,17.6
28602,6.9
449275,23.7
1046555,5.3
417626,9.7
606469,3.0
3762,5.9
829218,18.8
88235,22.0
124276,21.0
153005,13.6
436245,25.3
764077,6.5
34569,0.6
597223,11.0
561235,6.4
414114,11.5
463937,18.1
721993,24.4
896949,6.7
677318,9.1
748175,9.2
974439,1.7
898008,37.6
600068,8.7
969505,19.7
802140,15.6
573688,9.2
813128,28.1
381801,4.0
293314,24.9
540835,16.7
840456,5.9
224797,23.0
132475,7.7
761303,43.7
419738,4.2
322530,10.8
463988,24.2
674139,11.1
324606,14.2
656887,5.2
95182,14.5
958685,11.8
1003446,13.3
992586,15.4
691000,37.0
552166,9.9
899075,23.8
423091,42.0
466516,7.2
901289,36.2
692609,14.1
426942,35.3
333196,22.5
759733,19.4
857097,6.8
919840,26.8
799262,9.6
535525,10.6
273041,41.1
899318,10.5
736336,11.3
309470,1.4
838025,14.2
245800,21.2
752984,30.7
1021085,18.0
778892,3.0
761943,21.4
772565,8.0
378662,6.0
13266,4.8
549893,29.7
335231,8.7
44111,28.0
585732,26.4
465800,19.1
741234,31.3
454637,31.2
846565,40.5
478813,19.8
825733,13.9
170263,25.4
537190,47.0
543423,15.2
410373,45.4
781708,49.0
133024,11.7
130195,10.7
903304,33.0
363480,15.9
887853,5.1
887189,8.3
1000469,15.3
763481,12.9
764421,10.2
237064,2.5
710759,37.2
604439,26.3
46357,37.0
498919,13.2
104871,46.0
761585,20.0
1022500,28.3
903556,9.9
337418,41.4
816950,6.3
25065,9.6
903086,5.1
646941,15.4
639374,30.8
350920,38.8
82697,44.0
761791,21.9
788229,25.5
642038,15.8
454270,16.4
794212,12.7
69955,16.0
25560,0.2
215389,19.0
131126,16.0
59417,10.0
203445,20.6
867238,4.3
346022,20.2
555966,8.0
281322,21.6
857063,8.4
718148,20.4
140504,6.3
93837,14.3
491359,3.5
269059,8.0
488933,6.7
310830,7.4
731494,1.5
89239,27.0
795385,8.0
460083,25.7
770868,14.0
270267,33.6
475100,10.9
595239,8.4
797426,6.9
283874,11.1
500605,10.3
587564,18.8
1045251,32.0
905631,16.8
678158,7.7
976419,34.3
512666,28.1
441050,24.1
599303,12.3
687376,15.4
458713,41.2
861672,4.6
470225,5.4
375022,6.8
736369,29.7
941945,4.7
778300,13.0
1045084,32.5
922099,45.3
549546,9.5
802934,13.0
264423,38.1
651209,23.7
1011542,5.4
803791,7.5
533034,7.7
945223,31.6
362049,20.9
535759,28.6
496239,42.1
952982,7.6
759480,14.5
725360,20.8
615583,7.2
73908,22.0
83507,39.0
1032393,20.0
895091,5.0
631566,39.5
596339,18.2
277362,14.6
629953,36.8
659702,17.6
30294,7.8
5499,3.2
391803,17.9
734094,27.6
26262,1.4
858676,28.4
597619,30.1
406511,24.8
637819,22.7
423446,6.9
22986,16.2
22536,2.7
495556,38.7
734195,6.2
464463,43.1
972025,12.6
586245,25.2
335830,44.9
871689,16.1
710315,5.4
732805,27.6
211612,7.3
808347,9.2
660165,6.3
302911,41.1
484414,29.1
410328,42.9
440958,4.2
490896,25.3
315768,10.2
1029539,7.2
535365,34.9
446632,23.7
580332,9.7
342788,9.9
888450,12.7
472995,13.3
147112,23.6
595256,25.2
997367,15.0
828102,24.8
449575,26.1
207178,41.9
1047131,1.9
483676,16.3
980200,6.4
971733,7.0
43795,20.0
387928,8.2
533870,9.4
989140,10.1
405278,71.4
991712,20.4
428540,16.6
401433,7.8
415434,8.6
296836,3.2
312754,13.8
406859,40.4
30978,0.6
120287,1.8
933937,5.1
494126,5.9
226391,8.8
997993,9.4
379702,16.7
499571,8.3
114233,48.0
872789,47.6
170821,19.7
875196,41.5
604932,4.3
534135,39.9
297644,26.3
672101,21.1
231081,2.5
559423,2.2
178556,15.1
43572,43.0
418157,4.5
285638,7.3
844493,8.4
554131,10.9
191747,4.4
832368,39.9
557426,15.8
86159,31.0
449114,17.4
749124,11.7
919710,21.5
426938,21.4
319527,4.5
947322,18.3
1028531,17.8
759698,14.2
413178,5.3
710438,6.6
315038,3.6
443322,27.3
174897,27.7
506444,2.9
740400,8.3
1047242,21.3
646090,40.2
437351,16.2
391104,34.5
415666,40.3
98166,8.3
645590,19.0
1026049,48.0
188925,8.2
855803,7.6
821963,3.7
589252,16.2
558253,13.0
686904,12.8
20052,17.6
503478,13.2
864974,9.2
760119,22.6
670008,3.9
765027,32.1
337402,53.7
532378,21.4
283269,53.7
933379,2.3
168914,39.3
812586,11.1
896848,8.1
996617,19.7
165508,31.1
557637,1.3
470755,18.6
548753,19.2
432023,3.4
919420,3.7
869157,25.3
118668,6.8
763181,10.9
59827,21.0
476978,25.8
611429,31.3
302907,33.1
761229,7.2
807222,8.6
1033826,12.4
75455,3.0
727492,4.5
24759,13.2
355676,20.4
273032,40.0
507856,27.1
473622,35.1
716953,38.3
114555,2.7
35631,6.5
730569,19.8
824665,23.3
901726,39.0
759105,30.0
1037756,3.6
823720,13.3
762806,6.9
880290,19.7
722015,15.8
190383,13.0
500416,5.1
196179,17.1
36288,1.3
856883,13.8
21204,7.4
186691,20.8
753992,27.3
631730,38.1
660427,38.6
960730,10.2
328366,33.7
828345,4.2
317452,15.6
348988,18.0
804673,9.2
203437,25.1
482669,16.2
246375,11.0
1014830,11.8
501760,12.8
430466,2.5
797334,5.0
1044047,22.1
543918,11.7
429834,5.2
828615,27.8
139669,32.6
371818,4.4
737090,9.3
257824,1.2
598917,21.2
403665,15.5
2448,8.7
1012635,9.4
621733,9.0
280521,17.7
736638,3.3
522,2.0
924489,9.5
5427,15.3
234006,16.7
16056,0.7
548443,15.2
804362,17.5
358323,50.2
550011,20.6
634778,22.6
908643,6.9
493147,17.1
1045900,15.0
841366,9.4
772351,33.0
360084,41.2
1039907,42.8
124865,4.5
752118,44.0
706224,16.2
545125,32.0
225566,39.7
543293,20.3
769704,20.0
910281,7.4
674135,1.1
869123,17.2
958748,5.5
762785,8.7
229744,23.3
609492,13.6
279697,27.4
663705,19.0
961902,20.0
180640,21.1
700158,10.0
47685,38.0
1034096,22.4
886937,4.0
1007127,6.9
327486,36.9
396156,55.8
997799,23.4
112095,15.8
432126,8.7
77245,15.0
862437,9.3
784440,39.0
169318,15.6
790078,27.0
665690,8.8
26172,7.8
33759,3.2
960552,11.6
637429,36.0
119967,1.5
528587,26.2
73543,14.0
108669,20.0
586119,30.1
652385,29.6
561264,6.1
728685,23.5
597959,41.8
15795,0.9
715536,13.5
668025,13.5
630303,22.1
199967,54.6
284641,16.7
893113,16.9
530888,16.9
860591,25.8
563401,33.8
1047282,4.6
584012,14.3
821466,6.4
861870,18.6
914872,22.4
728442,6.6
739076,16.6
318950,8.0
673126,14.7
59224,4.0
534209,41.1
101829,30.6
673480,7.9
227087,12.0
174640,43.4
698184,34.2
26586,32.5
945421,1.7
482467,12.5
668987,2.1
129214,6.4
224121,19.4
822440,10.9
669000,9.4
441,25.0
910474,22.4
462516,25.2
696680,36.8
204285,7.7
750438,40.2
546466,21.0
89231,15.0
825951,21.9
997396,19.9
232003,27.1
500155,8.7
510747,10.0
566364,3.9
955814,26.9
1012752,1.4
484575,27.5
409930,21.8
610360,24.2
50164,17.0
67030,7.0
418360,12.4
440469,26.9
105122,39.0
760915,32.7
901444,35.2
734857,5.8
49102,35.0
974058,22.5
910499,10.6
43463,49.0
782653,25.0
728013,25.6
640472,21.8
896423,27.1
1033063,23.2
965934,8.1
827816,9.3
503146,8.8
594235,6.0
36423,3.1
336853,26.3
96062,11.8
135836,27.5
925898,12.4
930155,12.0
740299,31.8
605408,24.8
670163,1.8
984118,13.5
438666,3.1
710310,25.3
411262,20.0
562738,13.8
71566,23.0
21825,10.2
237277,51.3
518957,1.7
711226,11.5
835656,10.2
828995,2.9
858386,4.2
473420,23.0
763977,4.6
824501,3.4
72052,8.0
955225,1.7
1017656,19.5
957435,4.6
593587,16.3
873684,32.0
400955,21.3
518306,12.4
1019015,22.1
134407,6.3
770830,10.0
126048,10.2
914305,10.6
762455,10.6
885231,4.1
662468,23.5
1019692,33.3
702171,20.4
716298,18.5
1025156,25.4
1046162,13.0
639809,45.4
7227,0.7
975374,11.8
4716,3.8
584263,6.7
435180,1.7
347218,22.3
260178,9.5
621098,10.3
486051,13.5
490547,48.8
215741,13.8
227338,39.4
295493,19.4
995601,3.8
761487,12.1
669705,9.2
955688,17.6
868833,7.1
58168,12.0
123329,26.0
453398,22.4
427119,18.3
309885,45.3
1039340,3.0
84158,5.0
985099,5.7
25677,0.9
791750,5.9
138769,34.0
431665,18.0
746844,15.9
407055,31.3
680703,17.8
773829,17.0
370173,8.5
684517,12.0
637478,36.2
618515,11.5
291652,18.7
489084,7.3
1026867,14.2
806311,24.9
12015,12.5
501752,5.4
736944,9.9
1019717,32.9
398718,38.1
833815,11.0
36657,22.6
14058,8.8
265123,23.8
249811,3.7
91587,18.0
621880,3.5
405450,56.2
269751,23.8
111923,3.7
515237,19.3
465216,14.2
124428,15.9
715161,21.8
584893,7.4
244619,10.9
578129,48.3
803451,9.2
595671,0.7
523081,29.5
283718,3.8
84010,10.0
140585,12.3
426389,35.4
728791,19.4
286544,21.0
1028540,3.4
293335,33.7
998434,9.9
327112,32.2
304754,4.2
1040166,18.0
801350,7.9
616030,14.4
450505,20.3
509213,22.1
65247,10.0
637297,20.8
718545,21.6
373205,21.1
965248,4.2
222486,43.4
558942,29.1
760557,2.6
82063,50.0
780886,6.0
622700,4.2
1024033,44.3
691984,11.3
761961,6.4
982102,14.3
586254,26.8
180468,6.8
429677,25.9
890408,17.0
742924,15.3
793733,8.0
21015,1.7
300107,25.7
407890,27.4
226195,18.8
166876,5.7
109045,4.5
505599,8.5
760100,11.6
228042,41.8
66362,32.0
286765,33.1
924968,33.6
819134,12.2
337351,61.1
1045629,38.4
722847,4.7
4842,4.0
698576,33.3
721830,13.3
460858,26.3
413229,25.8
842837,9.4
372681,5.5
1045802,12.1
754942,37.0
948735,37.5
536505,10.6
803337,9.4
369620,9.9
186968,4.2
1045228,31.3
867418,3.7
356848,19.8
438738,11.3
612676,16.5
332139,12.3
856307,16.2
139301,44.6
65658,16.0
225491,23.8
920495,25.8
728787,4.8
367291,49.0
872029,4.4
23607,17.3
35289,0.2
943106,37.8
569540,14.0
717282,11.1
977893,41.1
145780,44.0
52430,15.0
218664,25.2
826959,32.4
127121,8.1
593038,24.4
727844,5.3
17136,1.7
573215,11.7
161012,37.0
281966,11.5
545150,54.5
773044,16.0
212648,12.5
913196,4.9
492937,2.5
1031178,29.8
640490,10.5
886748,2.9
957626,16.6
1041437,50.4
872659,14.8
345868,30.3
834109,6.6
483757,13.1
554113,25.8
747881,9.4
389975,19.4
458794,20.9
768797,32.0
310381,10.6
976563,30.7
764530,4.6
119747,16.9
180481,37.5
254149,4.9
492667,12.2
80582,4.0
478535,21.5
797561,11.6
860314,48.5
997232,20.4
49278,37.0
184126,7.3
905161,26.1
1042816,30.0
972347,2.4
1028549,5.5
930951,35.1
744143,15.8
41872,9.0
837512,23.3
184314,16.0
892067,10.5
222437,47.1
423344,32.8
848860,15.6
1008098,9.1
776102,7.0
137094,27.3
666,14.0
335083,20.8
25272,10.4
715969,50.8
506150,11.9
286535,26.2
399401,26.5
121185,25.3
925056,20.7
449571,24.7
644341,28.1
307554,12.6
856055,15.7
167567,49.7
3294,32.8
1014864,0.1
333774,29.5
971373,8.2
112464,25.0
819143,16.6
968857,18.1
86364,26.0
1009589,13.3
971949,4.4
318014,18.1
483202,28.4
195282,2.6
869463,6.6
86695,18.0
967446,2.1
85770,22.0
1046331,27.4
290022,27.2
809103,24.0
426268,21.1
481661,40.6
22428,1.5
892983,13.4
541559,4.2
953508,8.4
591259,8.3
836630,12.8
631708,43.6
906064,11.1
466668,14.9
18621,1.3
273511,14.8
832857,14.9
972338,21.3
436795,8.8
1019040,11.3
643734,40.2
390237,14.9
459,6.0
212333,49.0
266078,14.3
444321,5.9
340259,27.1
468105,20.2
1014709,22.6
391979,14.8
984480,19.6
259928,22.5
974265,3.3
28710,2.2
249459,11.4
661502,15.0
797082,4.6
697642,7.6
52299,17.0
290414,26.4
1046167,6.3
394276,11.4
50789,22.0
603,16.0
61851,4.0
339473,11.2
597975,19.2
939649,25.5
356990,42.1
1010437,9.1
238684,5.4
5175,12.2
139976,24.0
48050,46.0
455650,12.6
97217,12.4
683392,12.4
199258,5.6
36642,6.5
885008,1.2
516289,13.9
720054,3.7
444161,38.0
338158,4.5
191004,10.5
528141,34.7
36243,3.0
89768,26.0
848394,31.6
974821,33.5
874465,2.8
946310,15.2
746142,12.8
388460,10.0
860814,7.2
141465,21.4
342335,23.0
764207,10.6
677658,14.0
92930,7.2
116194,31.9
126417,4.6
123608,15.5
255600,10.9
499987,11.5
955391,2.4
705468,20.3
1032483,9.8
1030602,25.2
757175,21.7
358990,21.3
831558,33.5
484140,26.4
866079,14.2
489937,6.0
978199,17.1
464972,44.8
455347,13.5
650138,14.9
278922,14.1
617711,8.9
242508,29.4
286973,19.8
75706,25.0
460264,21.4
20169,19.6
466845,25.6
341791,13.9
762721,24.8
844702,9.5
232656,28.0
216,15.0
45111,13.0
889639,21.4
1028430,4.4
91004,25.0
450093,5.8
1039628,3.1
133782,16.8
989535,12.7
807420,24.8
370533,3.9
651381,33.2
6750,1.5
289421,12.4
793258,23.4
5733,11.9
944042,36.5
1018997,32.3
464123,6.9
952820,45.0
203724,22.2
873151,38.8
1071,15.0
1018223,6.2
984408,13.7
674114,3.0
539747,18.6
820101,8.6
438489,6.0
1046401,10.9
2916,6.9
954223,15.7
325662,20.7
495435,46.6
436301,8.7
670667,0.3
8784,13.5
167858,58.0
697487,28.0
784048,33.0
335599,24.1
457642,34.5
951830,27.9
236360,18.9
679633,2.9
908672,5.3
588294,21.1
619454,9.1
480955,12.9
947572,20.8
251009,9.4
221713,33.9
453558,1.8
1042697,26.7
891387,15.7
265992,35.2
902796,20.0
683912,14.8
302399,46.3
341397,14.0
12501,1.8
751829,41.8
926436,22.1
734548,14.1
654186,4.1
190371,5.4
401818,22.5
4680,12.8
625754,26.3
204848,20.0
1046408,56.9
421697,16.0
996231,20.8
858953,8.6
582383,9.3
34560,1.6
689168,15.9
116320,34.0
641223,4.4
832886,14.4
1034919,5.5
754303,52.4
216923,32.5
539332,3.8
369841,8.4
672675,0.7
220164,27.3
1009373,2.9
706082,25.6
593002,32.6
329188,44.4
664431,26.0
265631,4.8
991759,23.3
303531,7.5
415767,22.4
434519,15.8
787473,5.5
462930,17.4
78621,31.0
49741,23.0
539866,8.1
16533,19.6
375256,6.1
687659,17.2
11601,10.2
897003,2.9
697684,33.6
124849,2.2
102156,8.0
25461,8.4
609413,2.0
29970,9.6
1045632,7.8
261478,20.4
49085,12.0
367467,44.6
296496,23.6
358709,47.5
401731,15.5
629650,28.9
20619,29.5
657825,27.5
164871,26.8
846166,19.1
522310,34.4
118844,2.5
113696,22.0
517886,16.9
250133,1.5
458666,11.0
920961,4.9
568053,4.6
152490,24.4
145373,7.8
759466,3.6
1022712,9.2
432554,21.0
730531,8.0
108885,7.7
154561,10.6
208201,36.3
646920,9.1
512813,3.8
789389,31.1
953036,23.4
772254,20.0
721040,17.0
457075,15.2
931638,7.0
908584,34.2
582399,28.0
863344,7.7
391645,15.1
858357,2.0
772972,8.0
740152,18.2
939501,6.4
210758,48.7
91658,55.0
693834,13.4
105579,7.2
224556,26.2
339842,40.8
837710,3.2
383860,10.6
809427,22.1
522294,34.5
96436,22.0
356969,25.5
640371,18.3
877199,28.0
131625,3.8
450434,6.9
841710,4.9
25164,1.0
9315,9.3
795700,9.9
203153,33.2
3015,14.2
760678,15.1
40229,32.0
787124,26.4
410835,36.5
597594,33.4
977114,34.2
302684,8.4
456758,27.7
953915,5.2
258599,7.9
151876,36.0
762937,5.4
772225,22.0
286937,36.0
58227,14.0
124468,8.5
155793,25.3
410126,10.1
1000044,14.4
790805,7.1
2718,36.1
481812,23.7
922477,25.7
269555,14.0
242545,17.9
109610,21.0
68723,5.0
9207,12.5
46781,16.0
736156,5.2
284465,48.5
4140,3.5
63208,13.0
3321,11.9
1000541,7.4
150766,37.4
185010,41.3
759362,35.2
498159,9.3
876598,4.5
148665,2.7
72039,4.0
81661,55.0
409611,32.3
851813,11.6
314686,8.9
827110,14.9
152147,29.3
589928,13.7
759961,34.5
746725,20.9
168194,33.3
705405,11.3
897743,26.2
949485,4.1
140197,30.4
1046696,44.1
488130,25.1
389571,14.2
360608,19.7
43409,50.0
546399,1.5
257628,9.2
635016,17.7
772909,12.0
807886,4.3
671348,9.5
832087,23.3
52032,12.0
474679,29.2
774421,13.0
938018,23.3
487539,26.9
893399,27.3
146515,8.1
233017,43.1
205753,36.0
367679,16.8
546966,22.4
8838,24.2
722011,11.4
547583,16.3
994868,33.1
679153,1.7
850445,24.3
595782,22.9
273901,46.3
691442,23.5
1019116,33.0
154531,19.1
837521,16.3
928791,52.2
226065,37.9
372153,4.7
545441,35.2
700032,11.0
144690,14.2
65919,6.0
892193,7.3
446075,3.8
13923,6.9
186976,12.3
1038683,22.9
147125,30.5
104699,16.8
