,no2
241141,58.2
733071,9.2
587845,6.6
71360,30.0
79878,6.0
280873,23.7
438527,12.6
388179,13.5
512330,19.7
861357,9.8
1046781,21.3
290014,11.2
856593,13.2
117698,12.4
783947,32.0
143306,8.5
761960,22.8
82145,40.0
64555,17.0
384648,23.8
853724,25.0
978343,15.1
62341,15.0
1044642,10.0
201522,19.0
1034402,3.5
551826,9.3
597724,4.9
954495,5.2
909689,4.3
942017,1.9
273200,52.0
858638,16.9
408405,22.4
492979,19.7
754467,52.0
118492,2.4
626866,6.0
277245,21.0
350677,29.2
163798,14.9
21537,5.6
220795,28.7
25398,0.8
360423,28.7
239716,11.2
1007698,8.5
784915,29.0
664350,26.1
211667,14.6
879937,12.4
674782,22.3
209598,36.1
495775,35.8
36711,11.6
117145,10.1
1042193,24.0
521790,29.5
853733,38.5
246320,1.3
862340,16.5
102961,55.0
978084,32.2
491597,0.1
1035292,10.9
590638,27.0
204356,30.1
279255,19.3
851459,44.1
38309,31.0
698072,7.3
752700,19.1
337398,54.4
290247,34.0
651733,19.6
243058,10.3
460454,33.6
944224,17.0
638254,28.5
368915,16.8
393944,35.7
655398,15.2
962494,30.7
474798,18.9
19062,5.7
229568,14.5
81013,37.0
247212,28.4
344469,16.7
652654,9.8
4158,5.1
659076,29.3
647773,22.3
764492,2.0
160106,8.9
764015,8.8
740257,39.7
101774,8.7
630016,25.1
669831,6.4
837386,6.0
482483,25.8
14688,12.7
506002,14.2
832819,16.2
1026422,7.6
90950,27.0
185522,11.2
130347,2.9
154364,14.3
721704,24.4
687540,17.2
384332,19.1
568769,15.7
547922,8.0
397825,13.6
406645,28.0
339313,20.6
588182,3.6
656727,21.4
1002035,33.6
14553,28.1
441489,7.5
892672,12.5
1005174,15.1
304791,24.2
764013,19.7
379506,7.8
7335,2.7
408965,36.1
1010581,13.5
198293,29.0
946458,9.3
357477,51.0
54787,23.0
1046354,47.5
993926,24.9
261135,16.6
723670,7.6
36822,1.7
794086,30.1
34668,4.0
806378,21.3
341221,27.3
363509,10.0
521891,5.9
1026795,19.1
851720,6.7
321059,5.5
208049,34.7
811645,20.4
835269,17.9
326099,1.8
651671,4.1
695005,21.3
96590,19.7
242835,12.4
1003547,7.9
126912,5.3
128426,15.4
450283,12.5
926402,15.0
958418,1.6
647760,11.8
911789,3.2
1032674,12.4
786213,20.9
574935,27.2
126224,9.8
362701,29.8
376084,9.0
990163,10.6
57992,13.0
189373,7.1
13914,23.3
257481,3.5
236262,7.3
955857,4.7
37723,20.0
322612,7.3
621262,7.3
373029,25.2
869274,13.0
278578,22.6
634712,14.8
990545,35.6
759743,31.5
456232,31.7
491471,6.5
753148,7.5
754933,34.4
31518,0.4
761400,22.2
858924,17.5
585918,13.1
429307,13.0
844862,8.8
178602,35.4
760564,6.7
845771,13.2
897066,2.3
779742,22.0
759845,18.0
584254,4.4
456626,6.3
53863,22.0
630281,19.1
763609,28.2
749750,10.9
26181,4.2
1004085,7.2
760416,7.5
852057,16.2
761968,9.9
934691,6.8
1001252,10.9
96305,29.0
762281,16.0
732834,17.5
551490,18.4
639316,40.9
906820,7.1
316586,11.3
711835,11.4
405027,25.0
897356,21.7
5571,26.5
214708,20.9
945988,4.4
20439,18.9
763291,13.5
793418,5.1
243724,6.9
82467,6.0
832557,5.8
660207,29.6
993245,38.1
1015431,11.0
887765,7.2
304297,8.8
422228,31.3
103157,36.3
762302,15.0
274378,7.5
169035,24.1
759501,19.3
780801,6.0
297045,12.5
457302,32.7
764055,17.5
299876,3.0
361295,28.3
265783,4.6
940225,46.8
878954,13.5
942386,12.8
318542,12.5
350699,27.1
11997,6.9
747482,15.5
321921,12.0
4959,9.6
673471,12.4
484021,11.3
596571,28.5
124377,21.0
5697,7.5
162055,20.9
256803,12.3
407173,32.3
774106,3.0
80196,35.0
691291,14.9
185119,15.5
559778,7.1
215892,31.7
363823,42.9
891513,16.1
981713,9.6
664547,27.3
387569,2.5
351567,8.1
259937,10.5
351955,43.4
979696,11.7
641572,41.3
116169,16.0
194981,7.5
742469,11.3
910688,7.4
717324,21.9
520666,8.8
916815,37.2
20853,9.1
738428,14.9
320603,1.6
