,aqi_no2
835118,safe
866448,safe
183774,safe
762627,safe
331627,safe
560042,safe
1024652,safe
938612,safe
873617,safe
704434,safe
928935,safe
848898,safe
776073,safe
385688,safe
579290,safe
122516,safe
900814,safe
834613,safe
641550,safe
190139,safe
360934,safe
87215,safe
785725,safe
49868,safe
615866,safe
566721,safe
524479,safe
493772,safe
1044909,safe
864848,safe
613406,safe
11664,safe
104695,safe
95890,safe
203287,safe
622836,safe
724633,safe
339490,unhealthy for sensitive groups
941814,safe
733439,safe
679157,safe
1047080,safe
756926,safe
97651,safe
650663,safe
235434,safe
951859,safe
1044668,safe
66874,unhealthy for sensitive groups
1047292,safe
713175,safe
492815,safe
356036,safe
759821,safe
817971,safe
694102,safe
740094,safe
157140,safe
13806,safe
708769,safe
576130,safe
114739,safe
472126,safe
25749,safe
275663,safe
714998,safe
495791,safe
583918,safe
476944,safe
374746,safe
642408,safe
95023,safe
152528,safe
1046447,safe
450941,safe
835757,safe
1004413,safe
1046516,safe
698978,safe
685683,safe
256144,safe
183699,safe
355869,safe
345340,safe
648664,safe
719067,safe
1014500,safe
395405,safe
987241,safe
170447,safe
272525,safe
1045264,safe
24606,safe
153898,safe
148984,safe
437974,safe
886197,safe
182040,safe
606019,safe
59228,safe
673648,safe
124710,safe
746667,safe
475293,unhealthy for sensitive groups
604115,safe
562734,safe
180519,safe
376565,safe
86934,unhealthy for sensitive groups
141514,safe
644075,safe
512830,safe
482983,safe
833579,safe
646249,safe
494466,safe
910470,safe
390761,safe
187528,safe
197723,safe
360586,safe
385704,safe
228319,safe
508993,safe
193597,safe
229437,safe
345042,safe
514707,safe
1006686,safe
37551,safe
1010394,safe
895541,safe
252074,safe
486977,safe
729607,safe
494983,safe
535361,safe
148137,safe
13392,safe
477796,safe
436250,safe
1046527,safe
889135,safe
523527,safe
994991,safe
320883,safe
113499,safe
645013,safe
222957,safe
10935,safe
19017,safe
1045689,safe
535861,safe
506038,safe
81184,safe
590022,safe
879080,safe
227795,safe
36441,safe
469517,safe
387615,safe
12357,safe
504243,safe
616846,safe
511513,safe
899129,safe
1006488,safe
485890,safe
75119,safe
331271,safe
339662,safe
555118,safe
828723,safe
143310,safe
759625,safe
778930,safe
514866,safe
138243,safe
446126,safe
100243,safe
796830,safe
404851,safe
26937,safe
385294,safe
782741,safe
761780,safe
882364,safe
672184,safe
4995,safe
113835,safe
731117,safe
431776,safe
155678,safe
704648,safe
369701,safe
634015,safe
459926,safe
11547,safe
65805,safe
377363,safe
182868,safe
21744,safe
6795,safe
229018,safe
1041284,safe
926087,safe
501986,safe
703627,safe
1014437,safe
760749,safe
922855,safe
834181,safe
729098,safe
1044573,safe
220189,safe
799464,safe
32697,safe
178092,safe
100594,safe
762747,safe
769481,safe
990145,safe
993029,safe
474949,safe
445379,safe
1046663,safe
109795,safe
873176,safe
621995,safe
781355,safe
529929,safe
816291,safe
377816,safe
764795,safe
507003,safe
259196,safe
189214,safe
907232,safe
375153,safe
444392,safe
119811,safe
1030539,safe
10800,safe
300408,safe
816392,safe
448411,safe
330630,safe
635685,safe
291632,safe
41745,safe
421079,safe
52224,safe
342715,safe
1032267,safe
320482,safe
1044,safe
527292,safe
17271,safe
372485,safe
1022208,safe
109960,safe
792778,safe
861130,safe
580906,safe
28188,safe
734389,safe
73556,safe
723502,safe
80865,safe
686842,safe
101791,safe
485488,safe
951821,safe
665047,safe
511521,safe
238152,safe
822881,safe
438682,safe
257133,safe
763768,safe
27738,safe
665907,safe
64179,safe
650373,safe
800061,safe
487481,safe
980119,safe
376720,safe
620631,safe
803026,safe
800695,safe
762958,safe
588756,safe
666075,safe
461649,safe
416492,safe
685896,safe
282674,safe
675992,safe
428439,safe
557167,safe
331473,safe
95916,safe
969573,safe
279111,safe
434666,safe
182729,safe
155118,safe
155940,safe
760342,safe
739361,safe
337184,safe
178304,safe
1035461,safe
433081,safe
192081,safe
298354,safe
632099,safe
192395,safe
230733,safe
737493,safe
512166,safe
894524,safe
868275,safe
1003903,safe
189972,safe
909743,safe
459391,safe
628148,safe
65779,safe
856496,safe
962584,safe
141903,safe
710242,safe
993155,safe
300032,safe
875527,safe
937777,safe
704102,safe
938684,safe
602734,safe
110560,safe
381524,safe
409259,safe
27810,safe
665694,safe
935096,safe
945079,safe
197534,safe
823905,safe
13833,safe
491912,safe
824375,safe
46797,safe
144568,safe
719264,safe
941911,safe
134613,safe
783556,safe
16155,safe
933451,safe
36738,safe
519879,safe
217090,safe
916445,safe
494130,safe
665841,safe
692782,safe
726851,safe
1037891,safe
296483,safe
253109,safe
155043,safe
909777,safe
729775,safe
17937,safe
233796,safe
315793,safe
383716,safe
473458,safe
924527,safe
569055,safe
81416,safe
231879,safe
317858,safe
578014,safe
384632,safe
76720,safe
423269,safe
129051,safe
34272,safe
822919,safe
185398,safe
325219,safe
132681,safe
926213,safe
451615,safe
261920,safe
532551,safe
940984,safe
93509,safe
166229,safe
418840,safe
708907,safe
378849,safe
448720,safe
367409,safe
863067,safe
433781,safe
1024008,safe
212472,safe
132123,safe
27009,safe
120178,safe
674459,safe
156971,safe
434860,safe
774115,safe
300123,safe
518793,safe
417697,safe
472117,safe
880839,safe
343810,safe
404323,safe
948562,safe
936802,safe
819723,safe
852183,safe
899667,safe
16020,safe
66346,safe
788485,safe
458843,safe
808700,safe
323475,safe
291179,safe
214163,safe
596388,safe
946602,safe
638640,safe
476695,safe
398752,safe
716794,safe
1006841,safe
683616,safe
359379,safe
817807,safe
972851,safe
837172,safe
396287,safe
849364,safe
831583,safe
297081,safe
1018968,safe
911066,safe
7614,safe
453039,safe
821504,safe
5103,safe
173067,safe
209265,safe
24696,safe
1007379,safe
859810,safe
386388,safe
940912,safe
367920,safe
857567,safe
115452,safe
97389,safe
591092,safe
667235,safe
397004,safe
223726,safe
80192,safe
248403,safe
82954,safe
199107,safe
763863,safe
712256,safe
716344,safe
885832,safe
400113,safe
637420,unhealthy for sensitive groups
895003,safe
290748,safe
532210,safe
717773,safe
700052,safe
475387,unhealthy for sensitive groups
162407,safe
377045,safe
181668,safe
609168,safe
445400,safe
606334,safe
455802,safe
870735,safe
324179,safe
1013762,safe
565979,safe
1002298,safe
830483,safe
890971,safe
133867,safe
569458,safe
414822,safe
950945,safe
294328,safe
247379,safe
97299,safe
604649,safe
946818,safe
503931,safe
558139,safe
71918,safe
714494,safe
702979,safe
25326,safe
273339,safe
468295,safe
16137,safe
525488,safe
602294,safe
224741,safe
186792,safe
411340,safe
870538,safe
473441,safe
806626,safe
54005,safe
476343,safe
452660,safe
187023,safe
220950,safe
166216,safe
246727,safe
59936,safe
1034966,safe
271983,safe
292479,safe
429446,safe
628720,safe
944190,safe
687174,safe
287068,safe
547105,safe
412841,safe
763376,safe
1046745,safe
936325,safe
731691,safe
634996,safe
1043678,safe
759573,safe
436647,safe
945637,safe
692656,safe
542703,safe
725986,safe
77907,safe
34875,safe
1045722,safe
919512,safe
979806,safe
27018,safe
786843,safe
13437,safe
393412,safe
653896,safe
171521,safe
71541,safe
154548,safe
356344,safe
627935,safe
32238,safe
528193,safe
594441,safe
430137,safe
705136,safe
469167,safe
839015,safe
407877,safe
104028,safe
458384,safe
710549,safe
842295,safe
437701,safe
348943,safe
15840,safe
25101,safe
306377,safe
585569,safe
180343,safe
1036876,safe
336483,safe
885353,safe
892168,safe
760207,safe
991597,safe
243715,safe
2115,safe
67034,safe
931185,safe
1001756,safe
226322,safe
589428,safe
193056,safe
984235,safe
815753,safe
317319,safe
986511,safe
642101,safe
62911,safe
315969,safe
552511,safe
596922,safe
362839,safe
914368,safe
877014,safe
856467,safe
26199,safe
366159,safe
712388,safe
379405,safe
232300,safe
362317,safe
109824,safe
749939,safe
620934,safe
721007,safe
129770,safe
371912,safe
61084,safe
769238,safe
764900,safe
720239,safe
690717,safe
74269,safe
154728,safe
761127,safe
697016,safe
196658,safe
637700,safe
438384,safe
1045064,safe
551331,safe
838763,safe
536988,safe
111642,safe
302324,safe
719231,safe
894776,safe
629524,safe
616026,safe
415628,safe
500424,safe
74122,safe
266995,safe
268053,safe
1037837,safe
762399,safe
663927,safe
513539,safe
268954,safe
46165,safe
278977,safe
763483,safe
790620,safe
542331,safe
1033351,safe
446661,safe
99195,safe
610199,safe
231351,safe
554256,safe
188351,safe
1020552,safe
929732,safe
925646,safe
904119,safe
16191,safe
897579,safe
416920,safe
735348,safe
873180,safe
173239,safe
275970,safe
668294,safe
939433,safe
818270,safe
59208,safe
369349,safe
858042,safe
447990,safe
595573,safe
662985,safe
761126,safe
746495,safe
569527,safe
500769,safe
808419,safe
840899,safe
35163,safe
990201,safe
299889,safe
224366,safe
849301,safe
762834,safe
989679,safe
8712,safe
4419,safe
715208,safe
453553,safe
743958,safe
67262,safe
627939,safe
497295,safe
764736,safe
1000460,safe
555762,safe
593961,safe
626047,safe
9657,safe
27189,safe
636301,safe
151945,safe
292581,safe
170293,safe
713818,safe
880776,safe
22644,safe
6453,safe
402121,safe
810250,safe
113046,safe
89052,safe
771872,safe
468109,safe
682002,safe
706624,safe
318738,safe
519293,safe
371680,safe
253184,safe
110893,unhealthy for sensitive groups
307309,safe
39225,safe
888879,safe
760602,safe
585078,safe
127517,safe
277220,safe
449665,safe
761811,safe
824312,safe
1046192,safe
459930,safe
612476,safe
765782,safe
183770,safe
928834,safe
53339,safe
851636,safe
761809,safe
594210,safe
1045779,safe
857979,safe
982660,safe
923040,safe
397658,safe
862592,safe
993173,safe
950009,safe
977983,safe
15948,safe
1040958,safe
476969,safe
151481,safe
450986,safe
655246,safe
534377,safe
29565,safe
