"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/09/2020","AQS","480391004","1","11.8","ppb","10","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/10/2020","AQS","480391004","1","17.9","ppb","16","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/11/2020","AQS","480391004","1","3.8","ppb","3","Manvel Croix Park","19","79.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/12/2020","AQS","480391004","1","3.6","ppb","3","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/13/2020","AQS","480391004","1","6.1","ppb","6","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/14/2020","AQS","480391004","1","3.1","ppb","3","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/15/2020","AQS","480391004","1","3.9","ppb","3","Manvel Croix Park","19","79.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/16/2020","AQS","480391004","1","12.3","ppb","11","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/17/2020","AQS","480391004","1","6.4","ppb","6","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/18/2020","AQS","480391004","1","6.1","ppb","6","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/19/2020","AQS","480391004","1","3.3","ppb","3","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/20/2020","AQS","480391004","1","7.6","ppb","7","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/21/2020","AQS","480391004","1","8.2","ppb","8","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/22/2020","AQS","480391004","1","7.2","ppb","7","Manvel Croix Park","19","79.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/23/2020","AQS","480391004","1","10.3","ppb","9","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/24/2020","AQS","480391004","1","5.6","ppb","5","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/25/2020","AQS","480391004","1","3.9","ppb","3","Manvel Croix Park","23","96.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/26/2020","AQS","480391004","1","5.2","ppb","5","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/27/2020","AQS","480391004","1","3.7","ppb","3","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/28/2020","AQS","480391004","1","9","ppb","8","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/29/2020","AQS","480391004","1","17.9","ppb","16","Manvel Croix Park","19","79.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/30/2020","AQS","480391004","1","10.6","ppb","9","Manvel Croix Park","23","96.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/31/2020","AQS","480391004","1","4.4","ppb","4","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/01/2020","AQS","480391004","1","18.6","ppb","17","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/02/2020","AQS","480391004","1","11","ppb","10","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/03/2020","AQS","480391004","1","8.1","ppb","8","Manvel Croix Park","24","100.0000","42602","Nitrogen dioxide (NO2)","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
