"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/03/2020","AQS","480391004","1","0.03","ppm","28","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/04/2020","AQS","480391004","1","0.034","ppm","31","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/05/2020","AQS","480391004","1","0.044","ppm","41","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/06/2020","AQS","480391004","1","0.046","ppm","43","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/07/2020","AQS","480391004","1","0.043","ppm","40","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/08/2020","AQS","480391004","1","0.047","ppm","44","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/09/2020","AQS","480391004","1","0.039","ppm","36","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/10/2020","AQS","480391004","1","0.032","ppm","30","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/11/2020","AQS","480391004","1","0.035","ppm","32","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/12/2020","AQS","480391004","1","0.032","ppm","30","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/13/2020","AQS","480391004","1","0.03","ppm","28","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
