Report: TAMIS002 - Raw Data Report (JMP) for 01/01/2008 - 09/01/2020
User: TAMIS User, Run Date: 09/11/2020 15:16:16

"?" represents a missing value.
"SOC" stands for Sampler Occurrence Code.  It distinguishes between different samplers of the same type at a site at the same time. This is a user defined code that once assigned should not be changed.
"AQS Code" is a unique code for the site.  It is a combination of the state FIPS code, county FIPS code and the site EPA code.

For more information about terminology and column definitions visit https://www17.tceq.texas.gov/tamis/index.cfm?fuseaction=report.terms&rt=1802
For questions about AMCVs visit http://www.tceq.texas.gov/toxicology/AirToxics.html/#list

State	Region	County	City	AQS Code	Site Name	Latitude	Longitude	Year	Month	Day	Date	Start Hour	Start Minute	Start Time	Duration	Sampler Type	SOC	Pm2.5 - Local Conditions (ug/m3 (LC)) <88101>
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	02	12	20080212	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	6.4
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	13	20080213	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	8.8
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	14	20080214	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	10.3
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	15	20080215	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	10.5
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	16	20080216	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	8.9
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	17	20080217	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	4.3
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	18	20080218	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	4.6
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	18	20080218	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0002	4.5
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	02	18	20080218	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	3.9
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	19	20080219	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	10.8
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	20	20080220	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	9.9
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	21	20080221	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	16.9
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	22	20080222	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	13
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	23	20080223	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	17.2
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	24	20080224	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	11.8
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	02	24	20080224	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	11.9
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	25	20080225	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	23.3
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	26	20080226	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	7.6
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	27	20080227	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	6.2
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	27	20080227	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0002	6
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	28	20080228	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	12.5
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	02	29	20080229	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	12.3
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	01	20080301	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	10.9
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	01	20080301	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0002	11.5
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	03	01	20080301	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	10.5
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	02	20080302	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	8.5
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	03	20080303	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	7.8
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	04	20080304	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	11
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	05	20080305	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	13.8
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	06	20080306	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	10.5
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	07	20080307	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	6.3
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	07	20080307	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0002	5.8
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	03	07	20080307	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	4.4
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	08	20080308	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	9.1
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	09	20080309	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	8.9
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	10	20080310	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	8.7
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	11	20080311	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	10
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	13	20080313	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	17.6
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	03	13	20080313	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	12.3
