"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-01","12.75",",,W"," 2344",",,X"," 2143",",,W","0.62",",,0,2400","0.0",",,0","0.0",",,0",,,"59",",,0","45",",,0","  350",",,X","  360",",,X","0.0",",,0","25.1",",,X","33.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-02","11.41",",,W"," 0102",",,X"," 0127",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"59",",,0","41",",,0","  350",",,X","  330",",,X","0.0",",,0","23.0",",,X","29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-03","3.13",",,W"," 1412",",,X"," 1515",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"64",",,0","35",",,0","  290",",,X","  310",",,X","0.0",",,0","12.1",",,X","15.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-04","5.14",",,W"," 1733",",,X"," 1557",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"67",",,0","40",",,0","  130",",,X","  150",",,X","0.0",",,0","16.1",",,X","19.9",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-05","6.93",",,W"," 1527",",,X"," 1154",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"64",",,0","42",",,0","  140",",,X","  130",",,X","0.0",",,0","19.9",",,X","23.9",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-06","7.61",",,W"," 1237",",,X"," 1326",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"69",",,0","43",",,0","  120",",,X","  120",",,X","0.0",",,0","17.0",",,X","23.0",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-07","9.40",",,W"," 1347",",,X"," 1349",",,W","0.00","T,,0,2400","0.0",",,0","0.0",",,0",,,"66",",,0","47",",,0","  130",",,X","  130",",,X","0.0",",,0","19.9",",,X","23.9",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-08","13.87",",,W"," 1311",",,X"," 1522",",,W","0.29",",,0,2400","0.0",",,0","0.0",",,0",,,"66",",,0","56",",,0","  130",",,X","  140",",,X","0.0",",,0","29.1",",,X","33.1",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-09","6.93",",,W"," 0405",",,X"," 2247",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"80",",,0","64",",,0","  170",",,X","  180",",,X","0.0",",,0","13.0",",,X","17.0",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-10","6.71",",,W"," 1127",",,X"," 1225",",,W","0.00","T,,0,2400","0.0",",,0","0.0",",,0",,,"77",",,0","62",",,0","  150",",,X","  140",",,X","0.0",",,0","17.9",",,X","23.9",",,X","    1",",,W",,,,,,,"    1",",,0",,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,"    1",",,X",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-11","5.37",",,W"," 2149",",,X"," 2136",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"79",",,0","56",",,0","  340",",,X","  330",",,X","0.0",",,0","23.0",",,X","31.1",",,X","    1",",,W","    1",",,X",,,,,,,,,,,"    1",",,X","    1",",,0",,,,,"    1",",,X",,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-12","10.96",",,W"," 1639",",,X"," 1556",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"69",",,0","50",",,0","  310",",,X","  300",",,X","0.0",",,0","23.0",",,X","34.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-13","7.61",",,W"," 1431",",,X"," 1210",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"73",",,0","50",",,0","  300",",,X","  310",",,X","0.0",",,0","21.0",",,X","25.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-14","2.91",",,W"," 1755",",,X"," 1410",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"81",",,0","45",",,0","  140",",,X","  200",",,X","0.0",",,0","15.0",",,X","17.9",",,X","    1",",,W",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2010-03-15","5.59",",,W"," 0850",",,X"," 1043",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0",,,"76",",,0","55",",,0","   70",",,X","   70",",,X","0.0",",,0","15.0",",,X","17.9",",,X","    1",",,X",,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
