"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-11","5.59",",,X"," 1630",",,X"," 1830",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","78",",,W","89",",,0","66",",,0","    0",",,X","   20",",,X","  120",",,X","0.0",",,0","15.0",",,X","31.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-12","3.80",",,X"," 1327",",,X"," 1545",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","78",",,W","90",",,0","65",",,0","    0",",,X","   70",",,X","   20",",,X","0.0",",,0","13.0",",,X","15.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-13","3.36",",,X"," 1427",",,X"," 1426",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","77",",,W","90",",,0","64",",,0",,,"  350",",,X","  350",",,X","0.0",",,0","13.0",",,X","15.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-14","3.80",",,X"," 1745",",,X"," 1508",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","77",",,W","90",",,0","63",",,0",,,"  120",",,X","   90",",,X","0.0",",,0","14.1",",,X","16.1",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-15","5.82",",,X"," 1617",",,X"," 1454",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","76",",,W","90",",,0","62",",,0",,,"  110",",,X","  100",",,X","0.0",",,0","17.9",",,X","25.1",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-16","4.25",",,X"," 1821",",,X"," 1734",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","75",",,W","90",",,0","60",",,0",,,"  110",",,X","  110",",,X","0.0",",,0","14.1",",,X","17.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-17","7.61",",,X"," 1629",",,X"," 1518",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","73",",,W","84",",,0","61",",,0",,,"  300",",,X","  300",",,X","0.0",",,0","17.9",",,X","23.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-18","6.49",",,X"," 1612",",,X"," 1611",",,W","0.14",",,0,2400","0.0",",,0","0.0",",,0","60",",,W","65",",,0","55",",,0",,,"  360",",,X","  360",",,X","0.0",",,0","13.0",",,X","15.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-19","8.05",",,X"," 1231",",,X"," 1231",",,W","0.21",",,0,2400","0.0",",,0","0.0",",,0","53",",,W","61",",,0","45",",,0","    0",",,X","  360",",,X","   10",",,X","0.0",",,0","17.9",",,X","21.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,0",,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-20","5.59",",,X"," 1314",",,X"," 1312",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","60",",,W","74",",,0","45",",,0",,,"  350",",,X","  350",",,X","0.0",",,0","17.0",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
