"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WV03"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-10","4.92"," 1658"," 1630","0.00","0.0","0.0","78","89","66",,"   10","   10","0.0","13.0","29.1","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-11","5.59"," 1630"," 1830","0.00","0.0","0.0","78","89","66","    0","   20","  120","0.0","15.0","31.1",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-12","3.80"," 1327"," 1545","0.00","0.0","0.0","78","90","65","    0","   70","   20","0.0","13.0","15.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-13","3.36"," 1427"," 1426","0.00","0.0","0.0","77","90","64",,"  350","  350","0.0","13.0","15.0","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-14","3.80"," 1745"," 1508","0.00","0.0","0.0","77","90","63",,"  120","   90","0.0","14.1","16.1","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-15","5.82"," 1617"," 1454","0.00","0.0","0.0","76","90","62",,"  110","  100","0.0","17.9","25.1","    1","    1",,,,,,"    1",,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-16","4.25"," 1821"," 1734","0.00","0.0","0.0","75","90","60",,"  110","  110","0.0","14.1","17.9","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-17","7.61"," 1629"," 1518","0.00","0.0","0.0","73","84","61",,"  300","  300","0.0","17.9","23.9","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-18","6.49"," 1612"," 1611","0.14","0.0","0.0","60","65","55",,"  360","  360","0.0","13.0","15.0","    1",,,,,,,,,,"    1","    1",,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-19","8.05"," 1231"," 1231","0.21","0.0","0.0","53","61","45","    0","  360","   10","0.0","17.9","21.9","    1",,,,,,,,,,"    1",,,"    1",,,,
