"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-06-21","12.53",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","87","H,,S","94",",,W","82",",,W","  170",",,W","  160",",,W","21.0",",,W","25.9",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-06-22","12.53",",,W",,,"0.02",",,W,2400","0.0",",,W","0.0",",,W","87","H,,S","93",",,W","82",",,W","  160",",,W","  150",",,W","23.0",",,W","28.0",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-06-23","13.87",",,W",,,"0.02",",,W,2400","0.0",",,W","0.0",",,W","87","H,,S","94",",,W","83",",,W","  150",",,W","  170",",,W","21.9",",,W","29.1",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-06-24","8.95",",,W",,,"1.28",",,W,2400","0.0",",,W","0.0",",,W","81","H,,S","88",",,W","68",",,W","   20",",,W","   30",",,W","32.0",",,W","38.0",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-06-25","8.05",",,W",,,"0.30",",,W,2400","0.0",",,W","0.0",",,W","78","H,,S","84",",,W","73",",,W","  110",",,W","  200",",,W","18.1",",,W","27.1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-06-26","7.38",",,W",,,"0.02",",,W,2400","0.0",",,W","0.0",",,W","78","H,,S","87",",,W","72",",,W","  120",",,W","  110",",,W","18.1",",,W","23.0",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-06-27","4.25",",,W",,,"0.08",",,W,2400","0.0",",,W","0.0",",,W","80","H,,S","90",",,W","74",",,W","  340",",,W","  350",",,W","19.9",",,W","27.1",",,W","    1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-06-28","3.58",",,W",,,"0.38",",,W,2400","0.0","T,,W","0.0",",,W","80","H,,S","94",",,W","71",",,W","  240",",,W","  180",",,W","25.1",",,W","36.9",",,W","    1",",,W",,,"    1",",,W",,,"    1",",,W",,,"    1",",,W",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-06-29","5.14",",,W",,,"0.80",",,W,2400","0.0",",,W","0.0",",,W","77","H,,S","90",",,W","71",",,W","  340",",,W","  350",",,W","32.0",",,W","42.1",",,W","    1",",,W",,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-06-30","3.36",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","76","H,,S","87",",,W","71",",,W","  150",",,W","  150",",,W","13.0",",,W","16.1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-01","6.71",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","82","H,,S","93",",,W","75",",,W","  130",",,W","  150",",,W","19.9",",,W","23.0",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-02","6.93",",,W",,,"0.13",",,W,2400","0.0",",,W","0.0",",,W","83","H,,S","90",",,W","74",",,W","  140",",,W","  140",",,W","23.0",",,W","33.1",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-03","6.49",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","79","H,,S","88",",,W","73",",,W","  140",",,W","  150",",,W","19.9",",,W","23.9",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
