Report: TAMIS002 - Raw Data Report (JMP) for 01/01/2008 - 09/01/2020
User: TAMIS User, Run Date: 09/11/2020 15:17:54

"?" represents a missing value.
"SOC" stands for Sampler Occurrence Code.  It distinguishes between different samplers of the same type at a site at the same time. This is a user defined code that once assigned should not be changed.
"AQS Code" is a unique code for the site.  It is a combination of the state FIPS code, county FIPS code and the site EPA code.

For more information about terminology and column definitions visit https://www17.tceq.texas.gov/tamis/index.cfm?fuseaction=report.terms&rt=1802
For questions about AMCVs visit http://www.tceq.texas.gov/toxicology/AirToxics.html/#list

State	Region	County	City	AQS Code	Site Name	Latitude	Longitude	Year	Month	Day	Date	Start Hour	Start Minute	Start Time	Duration	Sampler Type	SOC	Pm10 - Lc (ug/m3 (LC)) <85101>	Pm10 Total 0-10um Stp (ug/m3 (25 C)) <81102>	Pm10-2.5 - Local Conditions (ug/m3 (LC)) <86101>
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2015	10	30	20151030	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	38	?
TEXAS	HOUSTON	HARRIS	Houston	482010066	Houston Westhollow	29.723333	-95.635833	2015	10	30	20151030	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	14	?
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2015	11	02	20151102	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	27	?
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2015	11	02	20151102	00	00	00:00	24 HOURS	"PM10 (FRM)"	0002	?	25	?
TEXAS	HOUSTON	HARRIS	Houston	482010066	Houston Westhollow	29.723333	-95.635833	2015	11	02	20151102	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	9	?
TEXAS	HOUSTON	HARRIS	Houston	482010062	Houston Monroe	29.625556	-95.267222	2015	11	02	20151102	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	5	?
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2015	11	02	20151102	00	00	00:00	24 HOURS	"PM10 (FRM)"	0002	?	10	?
TEXAS	HOUSTON	HARRIS	Houston	482010047	Lang	29.834167	-95.489167	2015	11	04	20151104	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	16	?
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2015	11	05	20151105	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	34	?
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2015	11	08	20151108	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	13	?
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2015	11	08	20151108	00	00	00:00	24 HOURS	"PM10 (FRM)"	0002	?	12	?
TEXAS	HOUSTON	HARRIS	Houston	482010066	Houston Westhollow	29.723333	-95.635833	2015	11	08	20151108	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	8	?
TEXAS	HOUSTON	HARRIS	Houston	482010062	Houston Monroe	29.625556	-95.267222	2015	11	08	20151108	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	11	?
TEXAS	HOUSTON	HARRIS	Houston	482010047	Lang	29.834167	-95.489167	2015	11	08	20151108	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	22	?
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2015	11	08	20151108	00	00	00:00	24 HOURS	"PM10 (FRM)"	0002	?	10	?
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2015	11	11	20151111	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	53	?
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2015	11	14	20151114	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	19	?
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2015	11	14	20151114	00	00	00:00	24 HOURS	"PM10 (FRM)"	0002	?	19	?
TEXAS	HOUSTON	HARRIS	Houston	482010066	Houston Westhollow	29.723333	-95.635833	2015	11	14	20151114	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	12	?
TEXAS	HOUSTON	HARRIS	Houston	482010062	Houston Monroe	29.625556	-95.267222	2015	11	14	20151114	00	00	00:00	24 HOURS	"PM10 (FRM)"	0001	?	19	?
